F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13, F14, F15, F16, F17, F18, F19, F20, F21, F22, F23, F24, F25, F26, Class
0, 0, 37, 6, 37, 18, 54, 40, 3, 0, 25, 34, 0, 4, 0, 17, 29, 69, 36, 41, 0, 30, 7, 0, 19, 0, DNA
41, 0, 8, 17, 20, 26, 34, 11, 16, 0, 19, 30, 12, 16, 0, 69, 26, 22, 90, 46, 0, 14, 1, 0, 15, 0, DNA
41, 0, 5, 10, 25, 12, 57, 32, 4, 0, 16, 27, 6, 5, 0, 27, 13, 19, 27, 7, 0, 12, 1, 0, 7, 0, DNA
31, 0, 6, 7, 36, 5, 49, 6, 16, 0, 15, 37, 4, 10, 0, 42, 19, 23, 28, 23, 0, 34, 9, 0, 4, 0, DNA
62, 0, 4, 27, 22, 18, 30, 11, 25, 0, 14, 53, 7, 14, 0, 35, 43, 31, 25, 17, 0, 14, 18, 0, 14, 0, DNA
21, 0, 20, 10, 26, 21, 24, 14, 9, 0, 34, 26, 6, 18, 0, 25, 22, 40, 43, 26, 0, 23, 3, 0, 10, 0, DNA
43, 0, 11, 30, 54, 30, 43, 18, 21, 0, 33, 43, 17, 26, 0, 51, 31, 38, 75, 34, 0, 47, 12, 0, 8, 0, DNA
22, 0, 6, 26, 32, 15, 29, 8, 9, 0, 26, 36, 8, 13, 0, 22, 16, 25, 41, 20, 0, 14, 9, 0, 14, 0, DNA
62, 0, 1, 45, 50, 7, 25, 3, 20, 0, 34, 44, 7, 5, 0, 18, 22, 33, 20, 29, 0, 28, 4, 0, 9, 0, DNA
3, 0, 0, 4, 11, 2, 5, 1, 5, 0, 9, 8, 2, 4, 0, 2, 0, 3, 4, 2, 0, 3, 3, 0, 1, 0, DNA
33, 0, 14, 46, 32, 21, 49, 17, 36, 0, 38, 50, 19, 23, 0, 43, 18, 35, 67, 37, 0, 29, 4, 0, 15, 0, DNA
88, 0, 17, 57, 38, 25, 33, 25, 29, 0, 24, 84, 16, 37, 0, 51, 41, 61, 78, 44, 0, 36, 19, 0, 18, 0, DNA
14, 0, 5, 10, 13, 6, 10, 7, 9, 0, 7, 16, 2, 2, 0, 3, 5, 16, 5, 10, 0, 9, 5, 0, 2, 0, DNA
52, 0, 39, 32, 35, 16, 49, 8, 9, 0, 41, 41, 5, 6, 0, 64, 33, 62, 36, 32, 0, 29, 8, 0, 8, 0, DNA
30, 0, 0, 4, 6, 1, 8, 2, 6, 0, 58, 6, 2, 3, 0, 16, 5, 7, 21, 6, 0, 12, 0, 0, 3, 0, DNA
67, 0, 14, 62, 75, 30, 71, 19, 48, 0, 126, 90, 25, 36, 0, 44, 34, 33, 85, 42, 0, 68, 13, 0, 32, 0, DNA
8, 0, 1, 5, 14, 2, 4, 3, 7, 0, 8, 9, 3, 4, 0, 6, 3, 7, 6, 6, 0, 4, 2, 0, 3, 0, DNA
80, 0, 12, 61, 81, 41, 83, 20, 63, 0, 71, 87, 23, 38, 0, 45, 27, 55, 87, 64, 0, 80, 10, 0, 43, 0, DNA
16, 0, 1, 9, 14, 8, 23, 0, 4, 0, 6, 7, 2, 5, 0, 9, 3, 14, 16, 12, 0, 12, 3, 0, 1, 0, DNA
18, 0, 0, 4, 5, 1, 15, 6, 9, 0, 14, 12, 1, 1, 0, 3, 5, 9, 8, 8, 0, 7, 0, 0, 2, 0, DNA
16, 0, 0, 4, 5, 1, 15, 6, 9, 0, 14, 12, 1, 1, 0, 3, 5, 9, 9, 8, 0, 8, 0, 0, 2, 0, DNA
17, 0, 0, 6, 22, 11, 9, 2, 14, 0, 10, 27, 6, 11, 0, 4, 8, 21, 12, 6, 0, 6, 1, 0, 3, 0, DNA
38, 0, 9, 35, 34, 28, 57, 13, 31, 0, 27, 53, 14, 42, 0, 64, 59, 29, 53, 51, 0, 42, 2, 0, 15, 0, DNA
12, 0, 2, 21, 21, 17, 19, 6, 24, 0, 29, 19, 12, 11, 0, 12, 9, 14, 17, 21, 0, 18, 2, 0, 12, 0, DNA
21, 0, 7, 42, 45, 18, 29, 13, 27, 0, 43, 38, 16, 29, 0, 17, 20, 27, 43, 32, 0, 23, 8, 0, 13, 0, DNA
10, 0, 1, 5, 17, 6, 4, 2, 7, 0, 11, 10, 5, 8, 0, 2, 4, 7, 13, 3, 0, 9, 0, 0, 3, 0, DNA
9, 0, 4, 12, 3, 6, 6, 3, 12, 0, 8, 12, 4, 7, 0, 15, 5, 8, 11, 8, 0, 5, 3, 0, 6, 0, DNA
13, 0, 0, 1, 11, 1, 10, 2, 5, 0, 8, 11, 3, 3, 0, 4, 5, 11, 10, 2, 0, 7, 0, 0, 0, 0, DNA
57, 0, 14, 31, 47, 34, 32, 15, 20, 0, 40, 65, 9, 32, 0, 15, 27, 30, 49, 33, 0, 29, 11, 0, 15, 0, DNA
18, 0, 0, 11, 14, 4, 18, 1, 9, 0, 22, 3, 4, 6, 0, 9, 5, 7, 14, 7, 0, 6, 1, 0, 3, 0, DNA
61, 0, 6, 43, 24, 30, 60, 20, 29, 0, 35, 45, 13, 46, 0, 56, 40, 32, 45, 69, 0, 35, 16, 0, 29, 0, DNA
54, 0, 4, 40, 27, 33, 64, 15, 31, 0, 37, 42, 14, 56, 0, 61, 32, 32, 38, 62, 0, 41, 15, 0, 29, 0, DNA
34, 0, 23, 24, 28, 18, 57, 15, 9, 0, 24, 59, 5, 7, 0, 54, 19, 47, 59, 20, 0, 31, 12, 0, 14, 0, DNA
8, 0, 0, 1, 5, 2, 7, 1, 4, 0, 2, 6, 3, 6, 0, 1, 8, 5, 7, 3, 0, 3, 0, 0, 0, 0, DNA
34, 0, 6, 35, 17, 12, 43, 30, 16, 0, 17, 34, 24, 18, 0, 49, 27, 18, 42, 18, 0, 23, 3, 0, 11, 0, DNA
5, 0, 1, 6, 7, 1, 1, 2, 5, 0, 6, 10, 3, 5, 0, 3, 3, 3, 4, 1, 0, 5, 0, 0, 1, 0, DNA
7, 0, 0, 7, 5, 3, 6, 0, 4, 0, 2, 9, 2, 2, 0, 6, 1, 8, 6, 5, 0, 5, 0, 0, 1, 0, DNA
32, 0, 4, 32, 17, 14, 30, 15, 27, 0, 48, 37, 8, 19, 0, 20, 28, 28, 48, 40, 0, 24, 11, 0, 14, 0, DNA
28, 0, 2, 10, 13, 5, 16, 6, 9, 0, 3, 24, 5, 0, 0, 9, 7, 26, 10, 17, 0, 18, 2, 0, 5, 0, DNA
11, 0, 1, 13, 24, 9, 15, 7, 11, 0, 7, 20, 12, 5, 0, 14, 7, 22, 9, 12, 0, 22, 3, 0, 5, 0, DNA
42, 0, 10, 30, 51, 13, 30, 26, 29, 0, 44, 51, 10, 31, 0, 51, 35, 30, 57, 37, 0, 33, 12, 0, 14, 0, DNA
