Feature,[G3.3.1.1.1],[G3.3.1.1.2],[G3.3.1.1.3],[G3.3.1.1.4],[G3.3.1.1.5],[G3.3.1.1.6],[G3.3.1.1.7],[G3.3.1.1.8],[G3.3.1.1.9],[G3.3.1.1.10],[G3.3.1.1.11],[G3.3.1.1.12],[G3.3.1.1.13],[G3.3.1.1.14],[G3.3.1.1.15],[G3.3.1.1.16],[G3.3.1.1.17],[G3.3.1.1.18],[G3.3.1.1.19],[G3.3.1.1.20],[G3.3.1.1.21],[G3.3.1.1.22],[G3.3.1.1.23],[G3.3.1.1.24],[G3.3.1.1.25],[G3.3.1.1.26],[G3.3.1.1.27],[G3.3.1.1.28],[G3.3.1.1.29],[G3.3.1.1.30],[G3.3.2.1.1],[G3.3.2.1.2],[G3.3.2.1.3],[G3.3.2.1.4],[G3.3.2.1.5],[G3.3.2.1.6],[G3.3.2.1.7],[G3.3.2.1.8],[G3.3.2.1.9],[G3.3.2.1.10],[G3.3.2.1.11],[G3.3.2.1.12],[G3.3.2.1.13],[G3.3.2.1.14],[G3.3.2.1.15],[G3.3.2.1.16],[G3.3.2.1.17],[G3.3.2.1.18],[G3.3.2.1.19],[G3.3.2.1.20],[G3.3.2.1.21],[G3.3.2.1.22],[G3.3.2.1.23],[G3.3.2.1.24],[G3.3.2.1.25],[G3.3.2.1.26],[G3.3.2.1.27],[G3.3.2.1.28],[G3.3.2.1.29],[G3.3.2.1.30],[G3.3.4.1.1],[G3.3.4.1.2],[G3.3.4.1.3],[G3.3.4.1.4],[G3.3.4.1.5],[G3.3.4.1.6],[G3.3.4.1.7],[G3.3.4.1.8],[G3.3.4.1.9],[G3.3.4.1.10],[G3.3.4.1.11],[G3.3.4.1.12],[G3.3.4.1.13],[G3.3.4.1.14],[G3.3.4.1.15],[G3.3.4.1.16],[G3.3.4.1.17],[G3.3.4.1.18],[G3.3.4.1.19],[G3.3.4.1.20],[G3.3.4.1.21],[G3.3.4.1.22],[G3.3.4.1.23],[G3.3.4.1.24],[G3.3.4.1.25],[G3.3.4.1.26],[G3.3.4.1.27],[G3.3.4.1.28],[G3.3.4.1.29],[G3.3.4.1.30]
seq3000,1.228649,0.830568,1.012184,0.936628,0.917065,1.272301,0.778814,1.128757,0.944528,1.292528,0.882734,0.997390,1.154067,0.958234,1.019275,0.852754,1.173394,0.888734,1.156501,0.968091,1.121158,1.156094,1.071911,1.123329,1.067964,1.185839,0.712222,1.184513,0.844875,1.081664,1.107468,1.095771,0.881192,0.861586,1.154486,1.076005,1.161958,0.993773,1.032469,1.128821,0.959665,0.954717,0.949221,0.784615,1.163633,1.056942,0.734966,1.186091,1.102302,0.889597,0.987001,0.961091,0.996297,0.996001,0.947733,1.081016,0.904152,0.925701,1.094154,0.983868,1.060370,0.992968,0.897042,0.928575,1.073858,1.038531,0.952079,1.017001,1.088789,1.168050,1.161908,0.986766,1.046321,1.218387,0.924012,0.985350,0.744788,1.100490,0.790448,0.855418,0.970053,0.910738,1.100873,0.912523,0.991000,1.108917,0.996302,1.091220,1.077495,1.215292
seq3001,0.940776,0.995639,0.991794,0.769904,0.954628,1.199018,1.129724,1.050763,1.121933,1.123961,1.061615,0.893954,0.935722,1.018987,1.421423,1.027885,1.042893,0.979233,1.390752,1.251475,1.010433,1.068468,0.979772,0.971901,0.862831,1.052962,0.937828,0.967015,1.238919,0.791568,0.849832,0.856185,0.789408,0.715985,0.794639,0.913274,0.692933,0.740632,1.039706,0.928077,0.869409,0.765622,0.984410,0.968280,0.835121,0.774760,1.035365,1.044529,0.990956,0.944458,1.237109,0.853615,0.945085,1.160584,1.082374,1.160776,0.899861,1.043567,1.039296,1.024572,0.751585,0.787572,0.941609,0.754503,1.034667,0.948789,0.826815,0.857267,1.007836,1.013636,0.885512,1.087121,1.189434,1.195654,1.117290,1.133040,1.142224,1.064167,1.048952,1.148713,0.895889,0.899343,1.222751,1.307601,0.965071,0.772149,0.834522,0.692955,0.592802,0.844113
seq3002,0.841191,0.832417,0.750612,0.823697,1.019804,0.869024,0.891916,0.887316,1.071951,0.848792,0.793083,1.111884,1.038986,0.934284,0.966010,1.171168,0.874688,1.079413,1.063485,1.163947,0.903729,0.890559,1.108362,1.099092,0.885985,1.085340,1.077192,1.160229,1.013923,1.009205,0.840409,1.069740,1.152614,1.131388,1.096387,0.921030,1.099496,1.141023,1.116786,0.937125,0.797724,0.865748,1.091286,1.166715,1.130444,1.067703,0.883592,1.052261,0.890255,1.041295,1.082167,0.957820,0.797377,1.078525,1.137286,1.201494,1.027953,0.905720,0.729796,1.031580,0.834693,0.763452,0.733280,0.793080,0.795442,0.899175,1.078291,0.896668,0.983899,0.979376,0.852739,1.142609,1.035380,0.989775,0.942912,1.069631,0.981640,0.946656,0.904087,0.954997,1.026048,0.803112,0.988532,0.925061,1.003861,0.886069,0.918940,0.995811,0.763333,0.906584
seq3003,1.116390,1.007099,0.820411,1.093865,1.054026,0.988809,0.956334,1.155666,0.973941,1.059928,1.051915,0.972747,0.896556,0.711896,1.017317,0.968752,0.701726,1.185129,1.090478,0.998614,0.846897,1.069790,0.878496,0.986382,1.296737,0.910318,0.933395,1.119090,0.865357,0.817117,0.766766,0.984877,0.916285,0.810780,1.006876,0.984406,0.968259,1.102523,1.119512,0.993873,0.978471,0.998006,0.914369,0.858468,0.846183,0.892158,1.056432,0.994934,0.867528,0.837159,1.079302,0.981407,0.952965,0.912318,1.062472,1.024669,1.103684,0.985215,0.958198,0.845004,0.855277,1.201741,0.848874,0.787493,1.087360,1.302550,1.137247,1.089175,0.992987,0.944412,1.076476,0.957743,0.921929,0.930927,0.837773,0.900582,0.864616,0.772912,0.831641,0.855646,0.929123,1.119028,1.201921,1.117345,1.105850,1.117239,1.129613,1.123313,0.880505,0.775558
seq3004,0.940674,0.929083,1.063895,0.992180,0.863023,1.183688,1.145945,0.960518,0.889320,0.889932,0.972651,0.955441,0.950820,1.180818,1.172802,1.038164,1.244464,0.992162,1.090078,1.047088,0.914291,1.193254,1.058668,1.092767,1.025485,1.117773,1.108860,1.101564,1.021246,1.209166,0.843306,1.066629,0.912535,0.818045,0.969724,1.257217,0.904540,0.960117,1.116227,1.146745,1.013074,1.073155,0.990585,0.989558,0.843991,1.058822,1.040385,0.969893,1.055188,0.906380,0.966272,0.812674,0.972077,0.877906,1.058740,1.100229,1.114175,0.899383,0.827320,1.072058,0.765627,0.815420,0.863212,0.624659,0.843756,0.904061,0.924209,0.905887,1.061962,1.068903,0.949983,0.961049,1.028958,1.033412,0.987626,0.887923,0.769742,0.826471,0.904569,0.891271,0.809264,0.703249,0.952955,1.010629,0.799261,0.837456,0.975257,1.022761,0.913935,0.970998
seq3005,1.099084,0.748184,1.106071,1.019097,1.236939,0.971835,1.064596,0.949493,0.993047,0.965459,1.113609,0.858696,1.162866,0.743390,1.263286,0.985679,1.292522,1.079651,1.218612,0.825158,0.855038,0.912879,0.882943,1.057835,1.084228,0.940570,1.121761,0.828963,1.023503,0.924096,1.023958,1.078949,0.910660,1.109557,1.109888,0.974530,1.125629,1.004761,0.904288,0.936749,1.068467,1.038152,0.867274,0.948028,1.039336,0.962626,1.166152,0.992750,0.980956,1.155508,0.770031,0.962754,1.071184,0.841645,0.993075,0.945068,0.929345,0.958077,1.004815,1.146990,0.906634,1.003119,1.162881,1.071030,1.023504,1.035817,1.016252,1.119454,0.972803,1.074269,1.187405,0.950361,1.061438,0.976303,0.938717,0.893841,1.113368,1.259737,0.957223,0.975693,0.811002,0.821994,0.966206,0.871216,1.072168,1.031005,1.157882,0.846062,1.163454,1.103652
seq3006,0.837252,0.891352,1.023320,0.830206,0.969902,1.162899,1.152971,1.073990,0.874946,0.935200,0.991671,1.077161,0.905237,1.038450,1.072542,1.145074,1.090373,0.983829,1.017110,0.950711,1.104053,0.921430,0.999804,1.056172,1.033723,0.929371,1.078521,1.055025,1.167735,1.009538,1.009637,0.959910,0.809492,0.809822,1.098357,1.062518,1.049062,1.027101,0.851803,1.110198,1.014004,0.881923,0.859961,1.137051,1.030834,1.009720,1.099607,0.968514,1.283975,1.023715,1.162923,1.173980,1.172778,1.176490,1.083936,0.988790,1.173396,1.280770,0.855118,1.090751,0.966448,0.895538,0.894363,0.839673,0.873575,0.877267,0.985087,0.946189,0.825654,1.053215,1.038103,0.841013,0.951528,1.066924,1.065988,1.022705,0.856177,0.866378,1.154310,1.054202,0.676911,0.911535,1.021496,1.107081,0.974291,0.883994,0.881157,1.226714,1.089863,0.920670
seq3007,1.021901,0.948660,0.900919,1.190446,0.906127,1.017899,0.972085,0.982703,1.132978,0.879398,1.226794,1.117664,1.067270,1.290430,0.953530,1.101786,1.217191,0.899322,1.337026,1.003884,1.021738,1.125342,1.015764,1.226963,1.006021,1.098310,1.128518,0.808823,1.038716,0.778550,0.962462,1.016905,1.046682,1.088971,1.051102,1.031927,0.805310,0.911772,0.988853,0.888312,0.825682,0.830895,0.947464,0.871835,1.057770,1.117522,1.031299,0.821890,0.825762,0.998445,0.862070,0.832137,1.029148,0.829146,0.832328,0.887205,1.040677,0.870513,0.951201,0.898766,0.872518,1.010821,1.062431,0.938608,1.017438,1.182732,1.051359,0.998579,0.948019,0.942183,1.018449,0.988050,0.863792,1.045851,1.002258,1.052794,1.007151,0.869674,0.871935,1.115172,1.187210,1.237799,0.997909,1.123132,1.128613,0.892981,0.880231,0.706046,0.743914,0.632998
seq3008,0.961521,1.084857,1.071617,0.949136,0.968214,0.967393,1.045988,0.891820,0.891545,1.055349,1.132267,1.023503,1.136850,0.865910,1.134008,1.184673,1.047421,1.054374,1.074591,1.146918,1.043744,0.996317,1.260226,1.092215,1.146135,1.280938,1.130819,1.092695,1.062619,1.235823,1.024498,0.954970,1.056852,0.980380,1.131424,0.868694,0.984228,0.955043,0.898037,0.892198,1.064954,0.993005,1.045884,0.958540,1.086765,0.905410,0.857336,0.972837,0.898567,1.122425,0.958405,1.026613,0.961919,0.787884,0.781170,1.003641,0.949024,1.017343,1.005267,1.163185,1.109308,0.873692,1.222083,0.899681,1.089257,1.000356,0.983449,1.066482,1.064777,1.056718,1.103968,0.963331,1.016433,0.916249,1.149932,0.855222,0.962665,1.098752,0.861305,1.021771,0.856507,1.165511,0.806911,0.939378,0.999062,1.026463,1.093642,0.905908,0.831530,1.003819
seq3009,1.010015,1.030699,1.185406,1.011183,1.134042,1.067537,1.004692,0.987795,0.800139,0.941884,0.807398,1.230394,1.085338,1.196320,1.142654,1.005026,0.926205,0.671840,0.922666,0.990177,1.248353,0.933537,1.315476,1.064978,1.144686,0.757398,0.772439,0.892092,0.869266,1.071754,1.091230,1.103728,1.153455,0.932150,1.031673,1.008249,0.871567,1.068581,1.073069,0.869047,0.738728,0.972901,0.982726,1.306024,1.041642,0.953206,0.826434,1.107318,1.051077,0.850170,1.084515,0.855487,0.967956,1.031095,1.419561,1.027722,0.827717,0.874283,1.236920,0.816313,0.973254,1.162125,1.017635,1.073696,1.110606,1.111329,1.043133,0.811069,1.266205,1.022320,0.854785,1.036411,0.976573,1.043776,1.196158,0.895734,1.209464,1.249526,1.053337,0.941090,0.920925,0.895992,0.993674,0.931715,1.209921,1.153503,0.873301,1.016191,0.877124,0.986217
