Feature,[G5.1.1.1],[G5.1.1.2],[G5.1.1.3],[G5.1.1.4],[G5.1.1.5],[G5.1.1.6],[G5.1.1.7],[G5.1.1.8],[G5.1.1.9],[G5.1.1.10],[G5.1.1.11],[G5.1.1.12],[G5.1.1.13],[G5.1.1.14],[G5.1.1.15],[G5.1.1.16],[G5.1.1.17],[G5.1.1.18],[G5.1.1.19],[G5.1.1.20],[G5.1.1.21],[G5.1.1.22],[G5.1.1.23],[G5.1.1.24],[G5.1.1.25],[G5.1.1.26],[G5.1.1.27],[G5.1.1.28],[G5.1.1.29],[G5.1.1.30],[G5.1.2.1],[G5.1.2.2],[G5.1.2.3],[G5.1.2.4],[G5.1.2.5],[G5.1.2.6],[G5.1.2.7],[G5.1.2.8],[G5.1.2.9],[G5.1.2.10],[G5.1.2.11],[G5.1.2.12],[G5.1.2.13],[G5.1.2.14],[G5.1.2.15],[G5.1.2.16],[G5.1.2.17],[G5.1.2.18],[G5.1.2.19],[G5.1.2.20],[G5.1.2.21],[G5.1.2.22],[G5.1.2.23],[G5.1.2.24],[G5.1.2.25],[G5.1.2.26],[G5.1.2.27],[G5.1.2.28],[G5.1.2.29],[G5.1.2.30],[G5.1.2.31],[G5.1.2.32],[G5.1.2.33],[G5.1.2.34],[G5.1.2.35],[G5.1.2.36],[G5.1.2.37],[G5.1.2.38],[G5.1.2.39],[G5.1.2.40],[G5.1.2.41],[G5.1.2.42],[G5.1.2.43],[G5.1.2.44],[G5.1.2.45],[G5.1.2.46],[G5.1.2.47],[G5.1.2.48],[G5.1.2.49],[G5.1.2.50],[G5.2.1.1],[G5.2.1.2],[G5.2.1.3],[G5.2.1.4],[G5.2.1.5],[G5.2.1.6],[G5.2.1.7],[G5.2.1.8],[G5.2.1.9],[G5.2.1.10],[G5.2.1.11],[G5.2.1.12],[G5.2.1.13],[G5.2.1.14],[G5.2.1.15],[G5.2.1.16],[G5.2.1.17],[G5.2.1.18],[G5.2.1.19],[G5.2.1.20],[G5.2.1.21],[G5.2.1.22],[G5.2.1.23],[G5.2.1.24],[G5.2.1.25],[G5.2.1.26],[G5.2.1.27],[G5.2.1.28],[G5.2.1.29],[G5.2.1.30],[G5.2.2.1],[G5.2.2.2],[G5.2.2.3],[G5.2.2.4],[G5.2.2.5],[G5.2.2.6],[G5.2.2.7],[G5.2.2.8],[G5.2.2.9],[G5.2.2.10],[G5.2.2.11],[G5.2.2.12],[G5.2.2.13],[G5.2.2.14],[G5.2.2.15],[G5.2.2.16],[G5.2.2.17],[G5.2.2.18],[G5.2.2.19],[G5.2.2.20],[G5.2.2.21],[G5.2.2.22],[G5.2.2.23],[G5.2.2.24],[G5.2.2.25],[G5.2.2.26],[G5.2.2.27],[G5.2.2.28],[G5.2.2.29],[G5.2.2.30],[G5.2.2.31],[G5.2.2.32],[G5.2.2.33],[G5.2.2.34],[G5.2.2.35],[G5.2.2.36],[G5.2.2.37],[G5.2.2.38],[G5.2.2.39],[G5.2.2.40],[G5.2.2.41],[G5.2.2.42],[G5.2.2.43],[G5.2.2.44],[G5.2.2.45],[G5.2.2.46],[G5.2.2.47],[G5.2.2.48],[G5.2.2.49],[G5.2.2.50]
seq7000,29.705034,27.127683,22.155407,26.638874,24.508544,23.714974,28.023015,26.117091,24.919572,22.904289,23.173921,24.778290,25.861097,21.510313,22.477737,23.676337,23.201722,23.428179,18.937605,19.277953,21.955774,18.877890,16.639453,18.501348,17.004955,16.756083,21.178384,18.377750,17.733252,17.013595,0.000555,0.000000,0.000924,0.000370,0.001109,0.000370,0.000370,0.001294,0.001294,0.001479,0.000370,0.000185,0.001109,0.001109,0.000370,0.002588,0.000555,0.000739,0.000000,0.000000,0.043931,0.040119,0.032766,0.039396,0.036246,0.035072,0.041443,0.038625,0.036854,0.033873,0.034272,0.036645,0.038246,0.031812,0.033242,0.035015,0.034313,0.034648,0.028007,0.028510,0.032470,0.027919,0.024608,0.027362,0.025149,0.024781,0.031321,0.027179,0.026226,0.025161,18.927853,17.409562,14.866479,14.695771,14.543688,16.985873,14.507907,17.139513,16.317837,12.458994,14.357966,15.473510,17.229529,13.253975,11.955760,14.011228,13.128956,13.964392,11.276993,10.365041,12.648588,12.150741,10.117296,12.535965,12.063667,10.448545,11.941266,12.897220,11.284154,9.125603,0.000897,0.000598,0.000299,0.001495,0.000000,0.001794,0.000598,0.000598,0.000598,0.002093,0.002392,0.002093,0.000598,0.001794,0.001794,0.004186,0.000897,0.000000,0.000000,0.001196,0.045273,0.041641,0.035559,0.035150,0.034787,0.040628,0.034701,0.040995,0.039030,0.029800,0.034342,0.037011,0.041211,0.031702,0.028597,0.033513,0.031403,0.033401,0.026973,0.024792,0.030254,0.029063,0.024199,0.029984,0.028855,0.024992,0.028562,0.030848,0.026990,0.021827
seq7001,22.534962,23.882805,23.429820,23.985171,23.497748,23.682540,20.249372,20.323440,22.041202,18.470523,20.460012,20.778933,17.756321,18.953619,19.971355,22.380618,20.872634,19.786104,18.660259,16.654261,18.699136,17.721140,17.118550,16.315029,17.701460,17.068951,16.104227,14.403509,14.290567,16.560634,0.001893,0.000421,0.000631,0.000421,0.001262,0.000631,0.000210,0.000631,0.000210,0.001893,0.000631,0.000631,0.001052,0.000841,0.001052,0.001262,0.001052,0.001262,0.000841,0.000000,0.037915,0.040183,0.039421,0.040355,0.039535,0.039846,0.034069,0.034194,0.037084,0.031077,0.034424,0.034960,0.029875,0.031889,0.033602,0.037655,0.035118,0.033290,0.031396,0.028021,0.031461,0.029816,0.028802,0.027450,0.029783,0.028718,0.027095,0.024234,0.024044,0.027863,17.157036,18.103234,18.179903,18.848545,16.955457,14.902975,14.230308,17.069162,15.843007,16.332309,16.660595,16.508664,13.572872,15.207161,14.350914,16.840130,16.184813,14.830611,15.919135,12.533651,15.445322,12.841969,14.190092,13.166879,13.754657,13.896203,12.495403,11.390936,11.308102,13.785549,0.002432,0.001351,0.000811,0.000811,0.000541,0.001081,0.000541,0.000811,0.000270,0.000811,0.002432,0.000270,0.000811,0.001622,0.001351,0.001622,0.001351,0.001081,0.000000,0.001622,0.037096,0.039142,0.039307,0.040753,0.036660,0.032222,0.030768,0.036906,0.034255,0.035313,0.036022,0.035694,0.029346,0.032880,0.031029,0.036411,0.034994,0.032066,0.034419,0.027099,0.033395,0.027766,0.030681,0.028469,0.029739,0.030045,0.027017,0.024629,0.024450,0.029806
seq7002,29.167312,28.510107,24.430247,31.042318,27.777288,24.711235,27.294944,23.804610,20.286562,24.438539,21.663050,28.221025,22.973667,22.970382,23.916399,22.866275,21.582754,19.439501,20.683520,17.356004,22.555189,20.223740,21.487860,21.069156,20.472454,18.974862,21.283449,14.161606,16.243109,21.807587,0.001085,0.001627,0.000723,0.000723,0.000181,0.000904,0.000362,0.000723,0.000723,0.000723,0.000542,0.000000,0.000723,0.000362,0.000904,0.001085,0.001266,0.001085,0.000362,0.000362,0.042185,0.041234,0.035334,0.044897,0.040175,0.035740,0.039477,0.034429,0.029341,0.035346,0.031331,0.040816,0.033227,0.033222,0.034591,0.033072,0.031215,0.028116,0.029915,0.025102,0.032622,0.029250,0.031078,0.030473,0.029610,0.027444,0.030782,0.020482,0.023493,0.031541,24.944597,22.253586,18.765992,22.162445,23.447204,21.336030,18.993553,22.384446,22.676842,17.855749,21.350222,23.135143,18.387734,19.699924,21.661482,21.891379,15.998096,18.933304,19.702434,15.767442,18.536506,19.253369,16.559113,15.398724,17.597620,17.604630,14.916193,15.395738,16.728156,13.218150,0.001279,0.001066,0.000000,0.000852,0.001918,0.000426,0.000852,0.001066,0.000426,0.000852,0.000852,0.000852,0.000639,0.000213,0.000852,0.001279,0.001492,0.000426,0.000426,0.001279,0.042527,0.037939,0.031994,0.037784,0.039974,0.036375,0.032381,0.038163,0.038661,0.030442,0.036399,0.039442,0.031349,0.033586,0.036930,0.037322,0.027275,0.032279,0.033590,0.026881,0.031602,0.032824,0.028231,0.026253,0.030002,0.030014,0.025430,0.026248,0.028519,0.022535
seq7003,25.058656,19.790459,22.174369,24.420265,21.058935,22.600099,24.841723,21.704682,23.116281,21.254708,18.103791,21.616413,19.614017,20.215934,21.895907,18.546534,19.695025,20.268348,18.475292,17.120973,17.782263,15.008109,17.660344,15.454624,18.839861,15.306432,14.893789,17.101677,15.992269,15.235938,0.001051,0.000420,0.000841,0.000630,0.000420,0.000841,0.000630,0.000841,0.000210,0.001471,0.000841,0.001051,0.001681,0.001051,0.000420,0.000841,0.001261,0.000841,0.000210,0.001261,0.042126,0.033270,0.037277,0.041053,0.035402,0.037993,0.041761,0.036488,0.038861,0.035731,0.030434,0.036339,0.032973,0.033985,0.036809,0.031179,0.033109,0.034073,0.031059,0.028782,0.029894,0.025230,0.029689,0.025981,0.031672,0.025732,0.025038,0.028750,0.026885,0.025613,17.733997,16.425333,15.731293,18.100617,13.222910,16.296376,16.764867,15.374300,16.528935,14.214040,14.291639,12.823905,12.407290,13.411747,14.547864,11.937307,11.956885,12.560022,12.822434,13.278010,11.960260,11.349335,12.940032,10.093434,12.282185,11.045343,9.906349,12.625635,11.726468,11.010124,0.001505,0.000602,0.001505,0.001204,0.000602,0.001505,0.000903,0.001204,0.000903,0.001204,0.002107,0.000301,0.001204,0.000602,0.002407,0.001204,0.001806,0.000301,0.001806,0.001204,0.042695,0.039544,0.037873,0.043577,0.031834,0.039233,0.040361,0.037014,0.039793,0.034220,0.034407,0.030874,0.029871,0.032289,0.035024,0.028739,0.028786,0.030238,0.030870,0.031967,0.028794,0.027324,0.031153,0.024300,0.029569,0.026592,0.023850,0.030396,0.028231,0.026507
seq7004,30.022630,26.174369,31.628848,29.591405,30.500266,30.251722,28.399377,28.584128,24.028488,22.606562,24.077112,21.636769,25.927856,28.521028,26.055583,29.716505,22.897538,24.709318,20.861106,22.230591,21.967832,20.163457,22.968899,24.407442,22.095519,25.088830,22.460724,22.088472,17.247346,18.613614,0.000993,0.000000,0.001324,0.000331,0.000496,0.001489,0.000331,0.000165,0.000827,0.000827,0.000165,0.000662,0.000331,0.000496,0.000827,0.002647,0.000331,0.000331,0.000165,0.000496,0.039738,0.034644,0.041863,0.039167,0.040370,0.040041,0.037589,0.037834,0.031804,0.029922,0.031868,0.028638,0.034318,0.037750,0.034487,0.039332,0.030307,0.032705,0.027611,0.029424,0.029076,0.026688,0.030401,0.032305,0.029245,0.033207,0.029729,0.029236,0.022828,0.024637,17.516019,15.705809,15.753142,16.467215,15.541006,15.111844,15.805041,16.648415,13.637685,15.650016,13.142001,13.607766,15.362639,15.561147,14.510914,14.669508,12.994916,14.112753,13.523353,11.585160,13.022153,10.895100,11.169951,14.352082,11.930038,12.576290,10.976290,11.417307,8.741936,10.757642,0.001774,0.001478,0.001183,0.002365,0.000000,0.000887,0.000591,0.002661,0.000591,0.000296,0.001478,0.001478,0.000296,0.000887,0.000591,0.004731,0.000591,0.000296,0.000887,0.000591,0.041434,0.037152,0.037264,0.038953,0.036762,0.035747,0.037387,0.039382,0.032260,0.037020,0.031087,0.032189,0.036340,0.036810,0.034325,0.034701,0.030739,0.033384,0.031989,0.027405,0.030804,0.025772,0.026422,0.033950,0.028220,0.029749,0.025964,0.027008,0.020679,0.025447
seq7005,27.954173,23.722800,25.389246,26.779397,25.843455,26.867275,21.773704,25.573038,24.128827,24.678596,23.435085,20.232648,24.685808,21.273068,19.719643,23.027272,18.858549,22.439885,18.731486,25.430049,18.483186,20.367223,23.984750,17.692004,19.934735,17.927259,20.579971,17.384194,18.280283,18.039185,0.001485,0.000000,0.000928,0.000557,0.001114,0.000928,0.000371,0.001485,0.000743,0.002042,0.000743,0.000000,0.000371,0.000371,0.000557,0.001300,0.000557,0.000743,0.000000,0.000557,0.041523,0.035238,0.037713,0.039778,0.038388,0.039909,0.032343,0.037986,0.035841,0.036658,0.034811,0.030054,0.036668,0.031599,0.029292,0.034205,0.028013,0.033332,0.027824,0.037774,0.027455,0.030254,0.035627,0.026280,0.029611,0.026629,0.030570,0.025823,0.027154,0.026796,15.553705,15.617198,16.078356,16.798702,17.477469,14.689822,14.392645,13.826241,15.634765,14.849670,12.911866,13.724370,14.482185,13.533067,13.448935,14.618280,12.518053,12.957858,10.348556,15.268534,10.947734,11.114548,13.371769,11.151758,9.870525,13.016441,12.163267,12.654538,11.575554,9.963267,0.002412,0.000905,0.000000,0.001508,0.000000,0.000603,0.000905,0.001508,0.000603,0.002412,0.003317,0.001206,0.001206,0.001809,0.000603,0.002111,0.000905,0.000000,0.000905,0.001206,0.037519,0.037672,0.038784,0.040522,0.042159,0.035435,0.034718,0.033352,0.037714,0.035820,0.031146,0.033106,0.034934,0.032644,0.032441,0.035262,0.030196,0.031257,0.024963,0.036831,0.026408,0.026810,0.032255,0.026900,0.023810,0.031398,0.029340,0.030525,0.027923,0.024033
seq7006,29.802282,27.190401,26.034836,26.912297,23.500615,25.727176,23.902423,25.766872,24.660147,20.910555,21.507417,23.440472,21.129504,18.681368,22.407672,19.776176,20.404236,21.009400,17.125953,22.244159,18.965005,19.966718,21.002827,16.303782,19.938310,17.537559,16.511003,17.978310,16.390591,14.762182,0.002111,0.000000,0.000384,0.001151,0.000192,0.001727,0.000192,0.001343,0.000384,0.000384,0.000576,0.000384,0.000192,0.000192,0.001151,0.001343,0.000767,0.002686,0.000000,0.000192,0.045745,0.041736,0.039962,0.041309,0.036072,0.039490,0.036689,0.039551,0.037852,0.032096,0.033013,0.035980,0.032433,0.028675,0.034394,0.030355,0.031319,0.032248,0.026287,0.034144,0.029110,0.030648,0.032238,0.025025,0.030604,0.026919,0.025343,0.027596,0.025159,0.022659,16.330103,14.848718,14.615684,14.511866,13.774300,13.326079,14.276539,13.535122,13.223234,12.278983,12.240000,12.315608,11.894170,12.119870,12.606555,10.335533,11.777242,11.451552,10.223321,11.880498,10.373434,11.374776,11.320411,10.732569,11.353683,9.563613,9.175684,10.204521,9.062282,8.291314,0.003726,0.002032,0.000677,0.000677,0.000000,0.000339,0.002032,0.003049,0.000339,0.002371,0.000677,0.000677,0.001016,0.000339,0.000339,0.002371,0.001355,0.000000,0.000339,0.004742,0.044253,0.040239,0.039607,0.039326,0.037327,0.036112,0.038688,0.036679,0.035834,0.033275,0.033169,0.033374,0.032232,0.032844,0.034163,0.028008,0.031915,0.031033,0.027704,0.032195,0.028111,0.030825,0.030677,0.029084,0.030767,0.025916,0.024865,0.027653,0.024558,0.022469
seq7007,25.286756,26.221224,23.499181,22.762007,25.422567,23.910671,22.493671,25.494123,24.885763,22.602922,22.039469,21.718272,22.612201,21.286825,21.028423,20.047241,22.110287,20.943279,20.393942,23.361006,19.166801,20.935463,22.000690,18.246828,17.581511,18.497736,18.011189,15.982696,17.042142,17.881846,0.001530,0.000000,0.000574,0.000574,0.000383,0.001530,0.000574,0.001148,0.000956,0.001530,0.000191,0.000574,0.000574,0.001148,0.000383,0.001148,0.000574,0.001530,0.000000,0.000383,0.038696,0.040126,0.035961,0.034833,0.038904,0.036590,0.034422,0.039014,0.038083,0.034589,0.033727,0.033235,0.034603,0.032575,0.032180,0.030678,0.033835,0.032049,0.031209,0.035749,0.029331,0.032038,0.033668,0.027923,0.026905,0.028307,0.027563,0.024458,0.026080,0.027365,14.685170,15.792147,14.092115,14.379686,14.471888,13.923137,14.003483,14.071520,13.173045,14.262585,12.952255,13.316236,11.383256,13.693499,13.089324,11.830525,11.246577,10.246512,12.961882,13.017415,10.094516,10.829292,12.463537,10.382304,11.574170,10.403418,10.095706,9.643548,10.413975,9.352688,0.002619,0.000655,0.000982,0.000982,0.000000,0.001964,0.000982,0.002619,0.000982,0.001964,0.002619,0.001637,0.000327,0.000655,0.000982,0.001964,0.000982,0.000000,0.000655,0.002619,0.038458,0.041357,0.036905,0.037658,0.037900,0.036463,0.036673,0.036851,0.034498,0.037352,0.033920,0.034873,0.029811,0.035861,0.034279,0.030982,0.029453,0.026834,0.033945,0.034091,0.026436,0.028360,0.032640,0.027190,0.030311,0.027245,0.026439,0.025255,0.027273,0.024493
seq7008,30.427669,32.646944,29.525589,31.283723,26.425004,30.280497,27.065772,28.111962,26.610788,19.872090,26.653408,26.146283,26.957108,29.480609,27.985951,21.810961,23.091009,27.806629,21.589253,21.506748,20.342072,20.065680,21.434618,21.613853,21.540779,20.192560,21.439534,20.936244,17.781717,20.033744,0.002664,0.000000,0.001499,0.000666,0.000333,0.001166,0.000167,0.000333,0.000500,0.001665,0.000500,0.000000,0.000333,0.000333,0.000833,0.000500,0.000167,0.000833,0.000333,0.000500,0.040535,0.043491,0.039333,0.041675,0.035202,0.040339,0.036056,0.037450,0.035450,0.026473,0.035507,0.034831,0.035911,0.039273,0.037282,0.029056,0.030761,0.037043,0.028760,0.028650,0.027099,0.026731,0.028554,0.028793,0.028696,0.026900,0.028561,0.027890,0.023688,0.026688,18.474289,18.337891,15.999091,19.004976,15.116777,17.811444,17.651098,14.227150,17.529064,12.370860,13.989356,16.815511,14.291466,16.565668,16.452958,12.512450,14.712169,14.471801,11.532612,12.968826,12.098821,11.616593,12.245170,11.659535,11.801233,11.952125,11.284283,13.109032,10.939124,10.652893,0.004564,0.001426,0.000000,0.002567,0.000000,0.000571,0.001141,0.001997,0.000285,0.000571,0.002853,0.000856,0.000856,0.000571,0.000571,0.000856,0.000285,0.000571,0.000856,0.001426,0.042160,0.041849,0.036511,0.043371,0.034498,0.040647,0.040281,0.032468,0.040003,0.028231,0.031925,0.038375,0.032614,0.037804,0.037547,0.028555,0.033575,0.033026,0.026318,0.029596,0.027611,0.026510,0.027945,0.026608,0.026932,0.027276,0.025752,0.029916,0.024964,0.024311
seq7009,25.609648,25.729563,23.484611,22.124724,21.890717,24.499503,23.589343,16.091974,22.537243,23.443199,24.280419,20.292250,21.330124,22.385587,19.579837,18.461658,19.804108,20.956770,22.153047,18.456263,18.961243,20.463382,17.455098,16.853526,16.123796,19.355534,17.418388,14.998435,15.952128,16.891146,0.001811,0.000000,0.000604,0.000201,0.001006,0.001610,0.000402,0.000805,0.000604,0.001409,0.000805,0.001207,0.000201,0.000805,0.000604,0.001207,0.000805,0.001409,0.000402,0.000201,0.041228,0.041421,0.037807,0.035618,0.035241,0.039441,0.037975,0.025906,0.036282,0.037740,0.039088,0.032668,0.034338,0.036038,0.031521,0.029721,0.031882,0.033737,0.035663,0.029712,0.030525,0.032943,0.028100,0.027132,0.025957,0.031160,0.028041,0.024145,0.025681,0.027192,18.118810,15.002012,16.343213,15.938972,15.499145,14.823148,14.843115,12.540314,14.731509,14.440887,16.724630,13.351455,15.618302,15.133413,13.448718,13.084435,13.691401,12.309400,14.118161,12.995911,13.228729,13.166750,10.896355,11.655425,11.047637,13.093240,11.092288,10.975598,10.726274,9.337912,0.002692,0.000897,0.001794,0.000897,0.000000,0.001196,0.000299,0.002392,0.000598,0.001196,0.002093,0.000897,0.001196,0.001495,0.000299,0.001794,0.001196,0.000598,0.000299,0.002093,0.043349,0.035892,0.039101,0.038134,0.037081,0.035464,0.035512,0.030002,0.035245,0.034549,0.040013,0.031943,0.037366,0.036206,0.032176,0.031304,0.032756,0.029450,0.033777,0.031092,0.031649,0.031501,0.026069,0.027885,0.026431,0.031325,0.026538,0.026259,0.025662,0.022341
