Feature,[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50]
seq6000,0.061516,0.027340,0.006835,0.006835,0.006835,0.027340,0.034175,0.054681,0.006835,0.034175,0.054681,0.013670,0.027340,0.020505,0.047846,0.041011,0.020505,0.000000,0.013670,0.041011,0.015344,0.015864,0.013679,0.014561,0.014965,0.013896,0.017482,0.016977,0.014343,0.015720,0.014472,0.014244,0.016103,0.014213,0.013372,0.016078,0.013025,0.014189,0.015812,0.016059,0.015693,0.013726,0.014171,0.016816,0.016926,0.012619,0.015362,0.013549,0.016747,0.017183,0.111613,0.049606,0.012401,0.012401,0.012401,0.049606,0.062007,0.099211,0.012401,0.062007,0.099211,0.024803,0.049606,0.037204,0.086810,0.074408,0.037204,0.000000,0.024803,0.074408,0.000232,0.000222,0.000272,0.000256,0.000268,0.000285,0.000304,0.000294,0.000286,0.000313,0.000330,0.000323,0.000312,0.000322,0.000296,0.000255,0.000238,0.000222,0.000210,0.000232,0.000241,0.000206,0.000237,0.000208,0.000209,0.000230,0.000239,0.000284,0.000245,0.000316,0.054706,0.024314,0.006078,0.006078,0.006078,0.024314,0.030392,0.048627,0.006078,0.030392,0.048627,0.012157,0.024314,0.018235,0.042549,0.036470,0.018235,0.000000,0.012157,0.036470,0.016979,0.020348,0.015032,0.015390,0.016580,0.014842,0.021381,0.019712,0.013854,0.019820,0.017820,0.016332,0.018231,0.019106,0.013915,0.018589,0.015062,0.014109,0.016060,0.017466,0.019850,0.014809,0.015364,0.020211,0.019652,0.013480,0.016770,0.015641,0.018050,0.019274
seq6001,0.014264,0.064190,0.014264,0.035661,0.007132,0.049925,0.028529,0.007132,0.014264,0.042793,0.042793,0.057058,0.014264,0.035661,0.049925,0.028529,0.014264,0.000000,0.007132,0.042793,0.014046,0.015295,0.013807,0.015954,0.016044,0.013617,0.012961,0.014040,0.015085,0.013581,0.013118,0.014886,0.011448,0.014520,0.014439,0.013080,0.015021,0.013663,0.013058,0.013775,0.012409,0.014499,0.017447,0.014602,0.016237,0.013899,0.013980,0.015061,0.013687,0.016166,0.024779,0.111505,0.024779,0.061947,0.012389,0.086726,0.049558,0.012389,0.024779,0.074337,0.074337,0.099116,0.024779,0.061947,0.086726,0.049558,0.024779,0.000000,0.012389,0.074337,0.000233,0.000270,0.000255,0.000244,0.000297,0.000323,0.000314,0.000316,0.000270,0.000299,0.000256,0.000271,0.000270,0.000292,0.000323,0.000386,0.000317,0.000295,0.000339,0.000267,0.000307,0.000324,0.000219,0.000263,0.000331,0.000316,0.000272,0.000346,0.000340,0.000288,0.012450,0.056024,0.012450,0.031125,0.006225,0.043574,0.024900,0.006225,0.012450,0.037349,0.037349,0.049799,0.012450,0.031125,0.043574,0.024900,0.012450,0.000000,0.006225,0.037349,0.015592,0.017689,0.016706,0.016407,0.017909,0.017905,0.014812,0.017192,0.018788,0.016975,0.014531,0.016656,0.015312,0.015376,0.014414,0.016823,0.016042,0.015824,0.017949,0.017797,0.012806,0.015339,0.021485,0.016877,0.018277,0.016723,0.018388,0.015413,0.015389,0.020613
seq6002,0.013982,0.062919,0.020973,0.020973,0.000000,0.041946,0.048937,0.006991,0.013982,0.048937,0.048937,0.055928,0.013982,0.034955,0.034955,0.020973,0.020973,0.000000,0.006991,0.041946,0.014116,0.015227,0.014015,0.017002,0.017148,0.013616,0.014269,0.015234,0.013981,0.014258,0.013198,0.014843,0.012544,0.015402,0.013728,0.013644,0.016452,0.014562,0.013853,0.014273,0.012822,0.013617,0.017296,0.015161,0.014961,0.014966,0.014615,0.015612,0.014546,0.015757,0.024786,0.111535,0.037178,0.037178,0.000000,0.074357,0.086750,0.012393,0.024786,0.086750,0.086750,0.099142,0.024786,0.061964,0.061964,0.037178,0.037178,0.000000,0.012393,0.074357,0.000250,0.000273,0.000253,0.000263,0.000280,0.000271,0.000312,0.000294,0.000269,0.000337,0.000256,0.000303,0.000287,0.000298,0.000332,0.000358,0.000269,0.000268,0.000282,0.000239,0.000320,0.000328,0.000239,0.000239,0.000313,0.000314,0.000275,0.000333,0.000236,0.000288,0.012429,0.055931,0.018644,0.018644,0.000000,0.037287,0.043502,0.006215,0.012429,0.043502,0.043502,0.049716,0.012429,0.031073,0.031073,0.018644,0.018644,0.000000,0.006215,0.037287,0.014686,0.017048,0.014367,0.018313,0.019784,0.016457,0.016548,0.018428,0.017017,0.017213,0.014577,0.016472,0.015392,0.015614,0.012649,0.016465,0.017373,0.015486,0.017723,0.016969,0.013701,0.016099,0.020391,0.017511,0.017572,0.017454,0.018561,0.017879,0.016394,0.018694
seq6003,0.013982,0.062919,0.020973,0.020973,0.000000,0.041946,0.048937,0.006991,0.013982,0.048937,0.048937,0.055928,0.013982,0.034955,0.034955,0.020973,0.020973,0.000000,0.006991,0.041946,0.014116,0.015227,0.014015,0.017002,0.017148,0.013616,0.014269,0.015234,0.013981,0.014258,0.013198,0.014843,0.012544,0.015402,0.013728,0.013644,0.016452,0.014562,0.013853,0.014273,0.012822,0.013617,0.017296,0.015161,0.014961,0.014966,0.014615,0.015612,0.014546,0.015757,0.024786,0.111535,0.037178,0.037178,0.000000,0.074357,0.086750,0.012393,0.024786,0.086750,0.086750,0.099142,0.024786,0.061964,0.061964,0.037178,0.037178,0.000000,0.012393,0.074357,0.000250,0.000273,0.000253,0.000263,0.000280,0.000271,0.000312,0.000294,0.000269,0.000337,0.000256,0.000303,0.000287,0.000298,0.000332,0.000358,0.000269,0.000268,0.000282,0.000239,0.000320,0.000328,0.000239,0.000239,0.000313,0.000314,0.000275,0.000333,0.000236,0.000288,0.012429,0.055931,0.018644,0.018644,0.000000,0.037287,0.043502,0.006215,0.012429,0.043502,0.043502,0.049716,0.012429,0.031073,0.031073,0.018644,0.018644,0.000000,0.006215,0.037287,0.014686,0.017048,0.014367,0.018313,0.019784,0.016457,0.016548,0.018428,0.017017,0.017213,0.014577,0.016472,0.015392,0.015614,0.012649,0.016465,0.017373,0.015486,0.017723,0.016969,0.013701,0.016099,0.020391,0.017511,0.017572,0.017454,0.018561,0.017879,0.016394,0.018694
seq6004,0.013982,0.062917,0.020972,0.020972,0.000000,0.041945,0.048935,0.006991,0.013982,0.048935,0.048935,0.055926,0.013982,0.034954,0.034954,0.013982,0.027963,0.000000,0.006991,0.041945,0.014106,0.015241,0.014025,0.017017,0.017126,0.013624,0.014291,0.015238,0.013988,0.014226,0.013151,0.014849,0.012553,0.015408,0.013737,0.013645,0.016451,0.014574,0.013837,0.014275,0.012815,0.013600,0.017278,0.015172,0.014968,0.014970,0.014629,0.015616,0.014559,0.015772,0.024787,0.111541,0.037180,0.037180,0.000000,0.074361,0.086754,0.012393,0.024787,0.086754,0.086754,0.099148,0.024787,0.061967,0.061967,0.024787,0.049574,0.000000,0.012393,0.074361,0.000251,0.000271,0.000252,0.000262,0.000278,0.000269,0.000315,0.000287,0.000269,0.000334,0.000252,0.000302,0.000285,0.000297,0.000335,0.000358,0.000268,0.000267,0.000276,0.000239,0.000314,0.000321,0.000233,0.000237,0.000313,0.000316,0.000274,0.000326,0.000234,0.000287,0.012429,0.055931,0.018644,0.018644,0.000000,0.037287,0.043502,0.006215,0.012429,0.043502,0.043502,0.049716,0.012429,0.031073,0.031073,0.012429,0.024858,0.000000,0.006215,0.037287,0.014686,0.017048,0.014367,0.018313,0.019784,0.016457,0.016548,0.018428,0.017017,0.017213,0.014577,0.016472,0.015392,0.015614,0.012649,0.016465,0.017373,0.015486,0.017723,0.016969,0.013701,0.016099,0.020391,0.017511,0.017572,0.017454,0.018561,0.017879,0.016394,0.018694
seq6005,0.034362,0.041234,0.027490,0.034362,0.000000,0.027490,0.041234,0.061852,0.013745,0.048107,0.041234,0.027490,0.020617,0.034362,0.013745,0.034362,0.020617,0.000000,0.020617,0.006872,0.016661,0.017523,0.014094,0.016341,0.013487,0.014499,0.014527,0.013674,0.017003,0.017678,0.012997,0.013326,0.017642,0.015469,0.014943,0.015080,0.013973,0.015487,0.014858,0.013032,0.018521,0.014408,0.012094,0.014425,0.013178,0.016897,0.015175,0.013170,0.015145,0.014902,0.061839,0.074207,0.049471,0.061839,0.000000,0.049471,0.074207,0.111310,0.024736,0.086574,0.074207,0.049471,0.037103,0.061839,0.024736,0.061839,0.037103,0.000000,0.037103,0.012368,0.000367,0.000311,0.000398,0.000375,0.000397,0.000340,0.000310,0.000302,0.000323,0.000343,0.000341,0.000405,0.000391,0.000423,0.000315,0.000323,0.000289,0.000329,0.000451,0.000311,0.000401,0.000343,0.000352,0.000306,0.000412,0.000350,0.000305,0.000354,0.000309,0.000406,0.029642,0.035570,0.023714,0.029642,0.000000,0.023714,0.035570,0.053356,0.011857,0.041499,0.035570,0.023714,0.017785,0.029642,0.011857,0.029642,0.017785,0.000000,0.017785,0.005928,0.019405,0.019496,0.018892,0.020675,0.012311,0.018174,0.016353,0.017291,0.019999,0.019971,0.015583,0.014647,0.021617,0.017217,0.018353,0.017857,0.015340,0.018920,0.016597,0.014564,0.022617,0.013711,0.014809,0.016760,0.015378,0.020929,0.018591,0.017242,0.015450,0.016979
seq6006,0.069346,0.027739,0.034673,0.048543,0.000000,0.013869,0.006935,0.027739,0.006935,0.041608,0.083216,0.006935,0.013869,0.013869,0.020804,0.048543,0.055477,0.000000,0.000000,0.034673,0.019205,0.013533,0.013592,0.015795,0.013678,0.014590,0.017510,0.012526,0.014037,0.016163,0.012467,0.016759,0.013010,0.016455,0.015091,0.014942,0.013704,0.015495,0.015750,0.013990,0.015812,0.013936,0.017135,0.014717,0.013095,0.014309,0.014578,0.013609,0.017719,0.012027,0.123715,0.049486,0.061857,0.086600,0.000000,0.024743,0.012371,0.049486,0.012371,0.074229,0.148458,0.012371,0.024743,0.024743,0.037114,0.086600,0.098972,0.000000,0.000000,0.061857,0.000384,0.000281,0.000330,0.000327,0.000358,0.000328,0.000387,0.000369,0.000347,0.000389,0.000271,0.000382,0.000276,0.000400,0.000289,0.000364,0.000318,0.000360,0.000368,0.000312,0.000417,0.000366,0.000366,0.000340,0.000419,0.000294,0.000370,0.000235,0.000328,0.000306,0.062504,0.025002,0.031252,0.043753,0.000000,0.012501,0.006250,0.025002,0.006250,0.037502,0.075005,0.006250,0.012501,0.012501,0.018751,0.043753,0.050003,0.000000,0.000000,0.031252,0.020054,0.014450,0.016880,0.016627,0.018161,0.015543,0.019748,0.013766,0.016673,0.018073,0.015466,0.018188,0.017082,0.018571,0.018252,0.015430,0.016654,0.015090,0.018098,0.015374,0.021154,0.016187,0.018249,0.014202,0.014982,0.014795,0.014104,0.015781,0.017548,0.014784
seq6007,0.058739,0.051397,0.007342,0.051397,0.000000,0.014685,0.036712,0.058739,0.000000,0.029370,0.014685,0.014685,0.022027,0.051397,0.058739,0.029370,0.029370,0.000000,0.014685,0.044054,0.013794,0.013253,0.014064,0.014128,0.012672,0.015028,0.011719,0.013566,0.015853,0.012904,0.014697,0.014367,0.015775,0.013135,0.011227,0.011852,0.013029,0.014018,0.014403,0.015756,0.012412,0.012522,0.015828,0.014662,0.015421,0.013101,0.015482,0.014430,0.012264,0.011246,0.098990,0.086616,0.012374,0.086616,0.000000,0.024748,0.061869,0.098990,0.000000,0.049495,0.024748,0.024748,0.037121,0.086616,0.098990,0.049495,0.049495,0.000000,0.024748,0.074243,0.000347,0.000290,0.000326,0.000340,0.000313,0.000270,0.000310,0.000401,0.000302,0.000363,0.000368,0.000333,0.000387,0.000384,0.000375,0.000350,0.000399,0.000350,0.000360,0.000454,0.000287,0.000441,0.000274,0.000274,0.000296,0.000348,0.000333,0.000278,0.000323,0.000219,0.048321,0.042281,0.006040,0.042281,0.000000,0.012080,0.030200,0.048321,0.000000,0.024160,0.012080,0.012080,0.018120,0.042281,0.048321,0.024160,0.024160,0.000000,0.012080,0.036241,0.018264,0.017160,0.018955,0.018119,0.015205,0.019244,0.014714,0.017480,0.020675,0.014993,0.017634,0.016963,0.020780,0.016098,0.010557,0.014156,0.015967,0.019243,0.017715,0.017866,0.016083,0.014707,0.020116,0.020759,0.019157,0.015964,0.019739,0.019399,0.016018,0.013062
seq6008,0.021135,0.035225,0.035225,0.028180,0.007045,0.014090,0.077495,0.021135,0.014090,0.070450,0.049315,0.021135,0.007045,0.021135,0.007045,0.049315,0.035225,0.000000,0.007045,0.042270,0.016798,0.014647,0.014960,0.013309,0.015019,0.013307,0.015910,0.013440,0.012800,0.015593,0.015368,0.016116,0.014324,0.014155,0.014657,0.015460,0.014787,0.014119,0.017266,0.013182,0.015222,0.015325,0.012975,0.013152,0.013833,0.010708,0.016368,0.015540,0.012155,0.015907,0.037116,0.061859,0.061859,0.049487,0.012372,0.024744,0.136090,0.037116,0.024744,0.123718,0.086603,0.037116,0.012372,0.037116,0.012372,0.086603,0.061859,0.000000,0.012372,0.074231,0.000270,0.000381,0.000344,0.000327,0.000381,0.000419,0.000420,0.000359,0.000285,0.000339,0.000385,0.000317,0.000299,0.000324,0.000330,0.000369,0.000434,0.000395,0.000328,0.000369,0.000400,0.000355,0.000276,0.000248,0.000291,0.000282,0.000292,0.000272,0.000305,0.000458,0.018014,0.030023,0.030023,0.024018,0.006005,0.012009,0.066051,0.018014,0.012009,0.060046,0.042032,0.018014,0.006005,0.018014,0.006005,0.042032,0.030023,0.000000,0.006005,0.036028,0.019823,0.017334,0.018954,0.017215,0.016834,0.014890,0.020201,0.014295,0.015221,0.017459,0.019566,0.018129,0.017140,0.017076,0.018089,0.017529,0.017992,0.014893,0.020818,0.014510,0.019189,0.018911,0.015116,0.015271,0.016587,0.011490,0.021140,0.019625,0.016382,0.017951
seq6009,0.052046,0.007435,0.014870,0.066916,0.029740,0.037176,0.044611,0.044611,0.000000,0.044611,0.044611,0.014870,0.007435,0.014870,0.022305,0.037176,0.059481,0.000000,0.022305,0.029740,0.014205,0.014499,0.014734,0.013484,0.015522,0.013519,0.013156,0.013707,0.015107,0.013515,0.011574,0.013462,0.011905,0.014076,0.014585,0.013217,0.013016,0.012100,0.013289,0.012156,0.013394,0.015177,0.012140,0.013927,0.016512,0.014622,0.010966,0.012073,0.013142,0.012409,0.086600,0.012371,0.024743,0.111343,0.049486,0.061857,0.074229,0.074229,0.000000,0.074229,0.074229,0.024743,0.012371,0.024743,0.037114,0.061857,0.098971,0.000000,0.037114,0.049486,0.000334,0.000342,0.000336,0.000432,0.000353,0.000317,0.000351,0.000327,0.000425,0.000364,0.000406,0.000425,0.000272,0.000347,0.000407,0.000320,0.000405,0.000293,0.000282,0.000337,0.000257,0.000331,0.000325,0.000282,0.000358,0.000292,0.000280,0.000420,0.000318,0.000344,0.043697,0.006242,0.012485,0.056182,0.024970,0.031212,0.037455,0.037455,0.000000,0.037455,0.037455,0.012485,0.006242,0.012485,0.018727,0.031212,0.049939,0.000000,0.018727,0.024970,0.016998,0.017441,0.017932,0.014507,0.019050,0.016102,0.016964,0.019175,0.018427,0.016664,0.015679,0.016523,0.014194,0.015953,0.017717,0.018148,0.013197,0.013557,0.017325,0.016342,0.016973,0.018384,0.016094,0.017169,0.018809,0.018638,0.012759,0.014969,0.019105,0.015809
