seq,class,predicted class na夫e,predicted class knn,nondrna na夫e,rna na夫e,drna na夫e,dna na夫e,nondrna knn,rna knn,drna knn,dna knn,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
1,DNA,DNA,DNA,1.04E-04,9.51E-08,6.29E-05,0.999832693,0.399986371,0,0,0.600013629,0,0,37,6,37,18,54,40,3,0,25,34,0,4,0,17,29,69,36,41,0,30,7,0,19,0
2,DNA,DNA,nonDRNA,2.24E-05,0.384678942,3.07E-07,0.615298401,0.792264926,0,0,0.207735074,62,0,4,27,22,18,30,11,25,0,14,53,7,14,0,35,43,31,25,17,0,14,18,0,14,0
3,DNA,DNA,nonDRNA,5.23E-07,0.455315206,5.77E-10,0.544684271,0.800363384,0,0.199636616,0,22,0,6,26,32,15,29,8,9,0,26,36,8,13,0,22,16,25,41,20,0,14,9,0,14,0
4,DNA,DNA,nonDRNA,6.41E-06,4.45E-09,2.04E-06,0.999991541,1,0,0,0,52,0,39,32,35,16,49,8,9,0,41,41,5,6,0,64,33,62,36,32,0,29,8,0,8,0
5.00,DNA,DRNA,DNA,0.00,0.00,1.00,0.00,0,0,0,1,80.00,0.00,12.00,61.00,81.00,41.00,83.00,20.00,63.00,0.00,71.00,87.00,23.00,38.00,0.00,45.00,27.00,55.00,87.00,64.00,0.00,80.00,10.00,0.00,43.00,0.00
6,DNA,RNA,nonDRNA,5.10E-08,0.986101566,5.09E-12,0.013898383,0.802990995,0.197009005,0,0,16,0,1,9,14,8,23,0,4,0,6,7,2,5,0,9,3,14,16,12,0,12,3,0,1,0
7,DNA,RNA,nonDRNA,1.59E-07,0.847348351,8.31E-11,0.152651489,1,0,0,0,12,0,2,21,21,17,19,6,24,0,29,19,12,11,0,12,9,14,17,21,0,18,2,0,12,0
8,DNA,RNA,DNA,3.98E-08,0.995889303,3.42E-12,0.004110657,0,0,0,1,13,0,0,1,11,1,10,2,5,0,8,11,3,3,0,4,5,11,10,2,0,7,0,0,0,0
9,DNA,DNA,DNA,1.73E-05,0.011197109,7.84E-07,0.988784838,0.398734672,0,0,0.601265328,57,0,14,31,47,34,32,15,20,0,40,65,9,32,0,15,27,30,49,33,0,29,11,0,15,0
10,DNA,RNA,nonDRNA,4.77E-08,0.987503252,6.57E-12,0.0124967,0.589826506,0,0,0.410173494,18,0,0,11,14,4,18,1,9,0,22,3,4,6,0,9,5,7,14,7,0,6,1,0,3,0
