Feature,[G3.3.1.1.1],[G3.3.1.1.2],[G3.3.1.1.3],[G3.3.1.1.4],[G3.3.1.1.5],[G3.3.1.1.6],[G3.3.1.1.7],[G3.3.1.1.8],[G3.3.1.1.9],[G3.3.1.1.10],[G3.3.1.1.11],[G3.3.1.1.12],[G3.3.1.1.13],[G3.3.1.1.14],[G3.3.1.1.15],[G3.3.1.1.16],[G3.3.1.1.17],[G3.3.1.1.18],[G3.3.1.1.19],[G3.3.1.1.20],[G3.3.1.1.21],[G3.3.1.1.22],[G3.3.1.1.23],[G3.3.1.1.24],[G3.3.1.1.25],[G3.3.1.1.26],[G3.3.1.1.27],[G3.3.1.1.28],[G3.3.1.1.29],[G3.3.1.1.30],[G3.3.2.1.1],[G3.3.2.1.2],[G3.3.2.1.3],[G3.3.2.1.4],[G3.3.2.1.5],[G3.3.2.1.6],[G3.3.2.1.7],[G3.3.2.1.8],[G3.3.2.1.9],[G3.3.2.1.10],[G3.3.2.1.11],[G3.3.2.1.12],[G3.3.2.1.13],[G3.3.2.1.14],[G3.3.2.1.15],[G3.3.2.1.16],[G3.3.2.1.17],[G3.3.2.1.18],[G3.3.2.1.19],[G3.3.2.1.20],[G3.3.2.1.21],[G3.3.2.1.22],[G3.3.2.1.23],[G3.3.2.1.24],[G3.3.2.1.25],[G3.3.2.1.26],[G3.3.2.1.27],[G3.3.2.1.28],[G3.3.2.1.29],[G3.3.2.1.30],[G3.3.4.1.1],[G3.3.4.1.2],[G3.3.4.1.3],[G3.3.4.1.4],[G3.3.4.1.5],[G3.3.4.1.6],[G3.3.4.1.7],[G3.3.4.1.8],[G3.3.4.1.9],[G3.3.4.1.10],[G3.3.4.1.11],[G3.3.4.1.12],[G3.3.4.1.13],[G3.3.4.1.14],[G3.3.4.1.15],[G3.3.4.1.16],[G3.3.4.1.17],[G3.3.4.1.18],[G3.3.4.1.19],[G3.3.4.1.20],[G3.3.4.1.21],[G3.3.4.1.22],[G3.3.4.1.23],[G3.3.4.1.24],[G3.3.4.1.25],[G3.3.4.1.26],[G3.3.4.1.27],[G3.3.4.1.28],[G3.3.4.1.29],[G3.3.4.1.30]
seq2000,1.108295,1.063674,0.915730,0.904698,0.964888,0.907202,0.935935,0.876177,0.792404,0.991836,0.994127,0.885395,0.880208,0.915061,0.963862,0.900848,0.712216,1.175624,0.909600,0.769219,1.026187,1.027192,1.049356,0.988978,1.146484,0.778130,1.088726,0.988517,0.930146,1.158547,1.156023,1.063895,1.117262,0.853318,0.994235,1.136688,0.972857,1.097656,0.710938,1.041763,1.023950,0.822696,0.944348,1.218922,1.163926,0.982693,0.880334,1.098599,0.872094,0.924860,0.863841,0.924023,0.951403,1.090503,1.008164,1.021125,1.185957,0.757214,0.880928,0.823453,0.863876,0.929958,1.064614,0.911525,1.026868,0.955290,0.812791,1.000730,0.831940,1.188281,1.046256,1.002674,0.687993,1.109104,1.103162,0.979981,1.043205,1.110091,0.948726,0.617995,0.830491,0.917200,1.246068,1.277598,0.973381,0.885104,1.038632,1.053793,0.940124,1.150904
seq2001,1.064086,0.788468,1.035217,1.145891,1.002442,1.118503,0.891970,1.066148,0.921420,0.978013,0.907707,0.840724,0.910059,0.960022,1.035320,1.099909,0.990616,1.131813,0.833086,0.983583,0.986403,1.048538,1.004014,0.907969,1.097941,0.992685,0.831186,0.913626,0.987623,1.048214,0.931637,0.916594,0.826256,1.114819,1.189011,1.019907,0.985086,1.084891,1.052387,1.048192,1.090973,1.220700,0.977111,1.155089,0.942843,1.011032,0.950732,0.852382,0.899589,0.787350,0.783266,0.853561,0.799852,0.817388,0.702594,0.782980,1.074181,0.932147,0.981136,1.071605,0.882187,0.911738,0.949220,0.962108,0.923305,1.051851,0.881384,0.952491,0.843216,1.109139,0.925689,1.085089,0.935609,1.052658,1.007710,0.873164,0.909150,0.638163,0.956258,0.847611,0.776635,0.875937,1.024390,1.043562,0.709190,0.764200,0.971320,1.041865,1.049348,0.940342
seq2002,1.099674,1.108158,1.085917,1.054543,0.929299,1.065771,0.731007,0.928587,1.023475,1.029417,1.257141,1.114035,0.997492,0.923025,0.962615,1.021956,1.063935,1.271773,1.148595,0.965992,0.904935,0.932962,1.054254,0.985397,0.997001,1.045636,1.012318,0.853929,0.973218,0.739568,1.036546,1.067013,0.642967,0.931855,0.878018,0.923174,0.978720,0.858504,1.074513,1.133750,0.748727,1.105976,1.299927,0.917868,1.058267,1.065142,1.172109,1.026018,0.900792,1.256112,1.167847,0.902948,1.245354,1.235952,1.140290,1.216778,1.021481,1.153281,1.047358,1.020040,0.922933,1.068740,0.901538,1.103235,1.103811,1.149203,0.850930,1.010981,1.005001,1.087813,0.930605,1.041133,1.229367,1.086801,1.019014,0.908466,1.170389,0.766768,0.862842,1.001820,0.999464,1.270724,1.065215,1.241399,1.243225,1.136297,0.800240,1.009588,1.162354,0.965360
seq2003,0.992578,1.002794,1.030702,1.249385,1.045393,1.004622,1.091485,0.906468,1.047019,0.999817,1.195973,1.152494,1.054215,0.860601,0.914212,0.990796,1.100083,1.211384,1.052331,0.928187,1.095854,0.739938,0.818725,1.121916,0.936498,1.057821,1.130256,0.979834,1.190097,0.884247,1.008498,1.168743,0.988048,0.881464,1.241181,1.012203,0.866241,1.148280,1.000677,1.112902,1.115608,1.091108,0.873122,1.057177,1.027314,0.951281,0.954758,0.911112,1.209272,1.007301,1.112599,0.932264,1.193310,0.814644,0.952713,1.041729,0.861423,0.923386,1.038068,1.050706,0.900587,1.056975,0.971828,0.663684,0.716232,0.973070,0.963590,0.948771,0.919568,1.073242,1.011729,1.099856,0.854615,0.916579,1.060363,1.011883,0.929584,0.742745,0.860174,1.063001,0.902102,0.687074,0.955263,0.870657,0.859460,0.947972,0.888062,1.074542,0.838307,1.129812
seq2004,1.198921,1.037398,1.088056,1.015634,1.020203,1.046597,1.029838,0.921397,0.945944,1.146034,0.949333,1.055763,0.909152,1.151596,0.918093,1.234223,0.746876,1.105911,0.956946,0.967463,1.109660,0.898256,0.898931,1.013013,1.096740,0.766850,1.092152,0.838272,1.207088,0.876815,1.036253,0.934758,1.116684,1.284795,1.118711,1.180906,1.001060,0.906177,1.036551,0.842995,1.038885,0.867596,1.035599,0.982682,0.860650,0.998386,0.882409,1.070142,0.998718,0.981804,0.771912,0.889651,0.903206,1.070828,0.995000,1.062571,1.130305,0.996164,0.713552,0.833909,0.874273,1.162344,0.993196,1.057162,1.221129,1.246986,0.963518,0.697707,0.819441,0.848551,0.944457,1.127482,1.126373,1.204611,1.002987,1.158176,0.992653,0.669249,0.848153,0.882878,1.054345,1.183703,1.151497,1.214151,1.155775,0.763047,0.884436,0.845577,0.870281,0.959716
seq2005,1.138825,1.029302,0.999673,0.713317,1.099657,0.921398,0.892338,1.017494,1.171736,0.890858,0.972137,0.970232,1.161884,0.887733,1.038921,1.074716,0.889420,0.858518,1.188155,1.081648,0.771825,1.076926,0.937407,0.982831,0.914178,1.145712,0.931082,0.941711,1.097883,1.085564,1.033822,1.118157,1.063954,1.077332,0.986170,0.944002,0.993855,0.842490,1.187793,1.187621,1.144902,1.008150,1.000698,0.869132,1.134268,0.988218,1.063851,1.191604,1.074773,0.937705,0.974863,1.038844,1.039193,1.266925,1.069507,1.089153,0.955685,0.947486,0.820343,1.084142,0.900304,0.888945,0.900604,0.946013,0.876541,1.059498,0.816276,1.008009,0.983397,1.137616,1.150745,1.029649,1.016941,1.002962,0.880070,1.126089,0.982253,1.080522,1.200534,0.998347,1.076941,1.010029,1.024368,1.092841,1.045711,0.976921,1.181813,1.182881,0.773104,0.827445
seq2006,1.022650,1.003238,0.814760,0.978344,0.854655,0.840490,1.005517,0.878535,0.995415,0.980090,0.973450,0.874040,1.075812,0.959532,0.754968,1.120556,1.041187,0.828106,1.272122,0.985053,0.986220,1.087833,1.045579,1.273112,0.817048,1.184389,1.079917,0.981272,0.996165,0.918245,0.889722,1.105802,1.159960,0.939530,0.934637,1.204407,0.986515,1.010965,0.762196,1.050937,1.065488,1.008435,0.838507,1.030980,1.131640,0.925244,0.943506,0.804428,1.108979,1.042760,1.105054,0.912513,0.864887,1.010122,0.935120,1.156911,0.882715,1.115811,0.939339,1.143249,0.860456,1.129905,1.071604,0.991925,0.944556,1.043900,0.875961,0.849727,0.954023,0.910327,1.048664,1.007425,0.962132,1.169269,0.922495,0.703268,0.769374,0.989693,1.058239,0.928502,0.920074,0.954868,0.903996,0.988653,0.990216,0.836969,1.047605,1.188836,0.952524,0.959124
seq2007,1.150904,0.923390,1.013899,0.833780,1.253970,1.091766,0.925982,0.892863,1.299102,0.927917,0.917904,1.103544,1.114717,0.903327,1.011818,1.038686,1.131842,0.817827,1.023977,1.082381,0.972954,1.000100,1.048941,1.206780,0.998645,0.858290,1.144481,0.962568,0.746156,0.897638,1.119905,1.100232,1.039551,0.810230,1.188864,0.913607,0.920737,1.035916,1.024549,0.955765,1.023405,0.910046,0.843492,0.923069,0.973786,1.011495,0.847873,0.978505,0.814457,0.952467,0.815643,1.118593,0.956070,1.171650,0.817227,0.947375,0.873124,1.090820,0.878120,1.088952,1.044086,0.888131,1.084003,0.831857,1.056186,0.914901,0.788602,1.017681,1.058506,0.912102,0.717018,1.090545,0.992617,0.838721,0.784526,0.993875,0.775628,0.929583,1.027269,1.044195,0.664980,0.959673,0.936641,1.078798,0.819361,0.943147,0.782529,0.789861,0.918395,1.099996
seq2008,0.931220,0.908738,1.130136,1.056172,0.965434,1.217398,0.994223,1.217832,1.054200,0.999868,0.868897,0.993046,1.147399,1.164850,1.095575,0.802691,0.948588,0.982379,1.114514,0.879101,0.900148,1.105464,1.096628,1.207610,1.161210,1.060195,0.873048,0.766485,1.084868,0.953774,1.206010,1.146081,0.888684,1.036844,0.913810,1.045465,1.232185,0.838271,0.975666,1.244262,1.053316,0.888449,0.878814,1.248493,1.078320,0.904304,0.924984,1.092897,1.170083,0.927890,1.011186,1.121372,1.170356,0.906265,0.972062,1.051708,1.258367,0.992969,0.844648,1.228344,1.154419,0.998503,0.874226,0.899453,1.177300,1.106613,1.050445,1.020849,0.903925,1.167065,1.020800,0.996935,0.949504,1.253124,0.813845,1.000058,1.093472,0.902790,1.081218,1.234927,0.942872,1.173614,1.346548,0.929377,0.996397,0.982074,0.814604,0.930017,0.726488,0.780923
seq2009,1.008781,0.926085,1.020845,0.909072,0.864240,1.065454,1.093976,1.132162,1.185021,0.934228,0.945541,1.071374,0.944219,1.072014,0.863739,0.938248,0.884361,0.967533,1.036371,1.050255,0.806239,0.809319,0.979825,0.991333,1.033212,0.806844,0.834060,0.906766,1.190484,1.239621,0.892734,1.057543,0.984343,0.923792,1.062223,1.116988,0.921266,0.879280,0.997490,0.944059,0.838442,0.810430,0.916846,0.999025,0.995899,1.004993,1.023839,1.048287,1.001855,1.001628,1.158242,0.862790,0.850810,1.065829,1.161696,1.131188,1.030473,1.296025,1.045661,0.994730,1.130663,0.924797,0.961180,1.037318,0.939701,1.014898,1.116301,1.044437,1.072414,0.927912,0.750932,1.059211,1.066897,0.897458,1.106571,0.999357,1.023928,1.136850,0.816544,1.088054,0.851635,0.891121,0.993955,0.969800,0.874953,1.067355,0.999437,1.082804,1.039202,0.687797
