Feature,[G3.2.1.1.1],[G3.2.1.1.2],[G3.2.1.1.3],[G3.2.1.1.4],[G3.2.1.1.5],[G3.2.1.1.6],[G3.2.1.1.7],[G3.2.1.1.8],[G3.2.1.1.9],[G3.2.1.1.10],[G3.2.1.1.11],[G3.2.1.1.12],[G3.2.1.1.13],[G3.2.1.1.14],[G3.2.1.1.15],[G3.2.1.1.16],[G3.2.1.1.17],[G3.2.1.1.18],[G3.2.1.1.19],[G3.2.1.1.20],[G3.2.1.1.21],[G3.2.1.1.22],[G3.2.1.1.23],[G3.2.1.1.24],[G3.2.1.1.25],[G3.2.1.1.26],[G3.2.1.1.27],[G3.2.1.1.28],[G3.2.1.1.29],[G3.2.1.1.30],[G3.2.2.1.1],[G3.2.2.1.2],[G3.2.2.1.3],[G3.2.2.1.4],[G3.2.2.1.5],[G3.2.2.1.6],[G3.2.2.1.7],[G3.2.2.1.8],[G3.2.2.1.9],[G3.2.2.1.10],[G3.2.2.1.11],[G3.2.2.1.12],[G3.2.2.1.13],[G3.2.2.1.14],[G3.2.2.1.15],[G3.2.2.1.16],[G3.2.2.1.17],[G3.2.2.1.18],[G3.2.2.1.19],[G3.2.2.1.20],[G3.2.2.1.21],[G3.2.2.1.22],[G3.2.2.1.23],[G3.2.2.1.24],[G3.2.2.1.25],[G3.2.2.1.26],[G3.2.2.1.27],[G3.2.2.1.28],[G3.2.2.1.29],[G3.2.2.1.30],[G3.2.4.1.1],[G3.2.4.1.2],[G3.2.4.1.3],[G3.2.4.1.4],[G3.2.4.1.5],[G3.2.4.1.6],[G3.2.4.1.7],[G3.2.4.1.8],[G3.2.4.1.9],[G3.2.4.1.10],[G3.2.4.1.11],[G3.2.4.1.12],[G3.2.4.1.13],[G3.2.4.1.14],[G3.2.4.1.15],[G3.2.4.1.16],[G3.2.4.1.17],[G3.2.4.1.18],[G3.2.4.1.19],[G3.2.4.1.20],[G3.2.4.1.21],[G3.2.4.1.22],[G3.2.4.1.23],[G3.2.4.1.24],[G3.2.4.1.25],[G3.2.4.1.26],[G3.2.4.1.27],[G3.2.4.1.28],[G3.2.4.1.29],[G3.2.4.1.30]
seq7000,-0.183231,-0.012948,-0.070874,0.097167,-0.035925,-0.017322,0.053925,-0.267781,-0.092550,-0.034645,0.076594,0.017107,-0.112224,-0.086550,0.232029,-0.075091,0.144035,-0.115069,0.146608,-0.094981,0.034373,0.003346,-0.139373,0.106251,-0.008380,0.097510,-0.101285,-0.076435,-0.185497,0.119149,-0.159867,0.031558,0.044887,0.045557,-0.025917,-0.166477,-0.053047,0.006106,-0.248028,0.207370,-0.067184,0.086289,-0.143438,-0.079823,0.126710,-0.206944,-0.094300,0.128587,0.088487,0.077994,-0.101230,0.068631,0.107322,-0.019519,-0.175340,-0.039517,-0.097829,-0.075912,0.149886,0.062757,-0.260060,-0.176697,0.029333,-0.011633,0.213072,-0.156325,-0.048352,0.065432,-0.199271,0.195794,0.005577,-0.021690,-0.259264,0.145780,0.328267,-0.256212,0.040519,0.023485,-0.003015,0.116180,-0.230625,0.020440,0.131136,-0.151084,0.138227,0.052662,-0.093590,-0.031663,-0.023824,0.119775
seq7001,-0.010532,0.016333,-0.026430,-0.016514,-0.086125,0.039805,-0.080394,-0.098082,-0.011505,-0.429200,-0.093843,0.006861,-0.055542,-0.032040,0.127239,-0.063907,0.034627,0.265309,0.102413,0.176097,-0.121449,-0.066346,-0.066264,0.109977,-0.176702,0.116723,0.006780,-0.006030,-0.214110,0.075354,0.038371,-0.023295,0.073094,-0.167927,0.104131,0.088094,0.137748,0.064632,-0.146638,-0.028486,-0.010052,-0.051910,0.066473,-0.026886,-0.042412,-0.115927,-0.076847,-0.086976,0.030994,0.116869,-0.200018,0.002979,-0.069221,0.055156,0.235105,0.112573,-0.035242,-0.124373,0.213988,-0.061666,0.284490,0.131950,0.042138,0.040598,0.187881,0.035393,0.204088,0.175812,0.188193,-0.064193,-0.128843,0.027426,0.045706,0.093259,0.101500,-0.162673,-0.165615,-0.210351,-0.186198,0.122046,0.052308,0.099363,0.014147,0.047832,-0.160013,-0.268533,0.006718,0.043865,0.273951,-0.003835
seq7002,-0.113205,-0.150986,-0.009475,-0.139784,-0.120257,0.118695,0.249122,-0.122342,-0.253401,0.152043,-0.019479,-0.153905,0.282134,0.137727,-0.129067,-0.070482,0.153942,-0.203982,-0.124226,0.244195,-0.047691,-0.235911,0.079656,0.022213,-0.117539,0.012685,0.123709,0.011851,-0.255907,0.091157,0.061417,-0.118734,-0.092803,0.036686,0.015291,-0.096874,-0.121216,-0.009594,0.075720,-0.027338,-0.045426,-0.076773,-0.025220,0.045952,-0.178304,-0.224674,0.088970,0.073417,0.044448,-0.042714,-0.081126,0.097870,0.189788,-0.060646,-0.119632,-0.140928,-0.082676,0.120169,-0.100570,-0.054374,-0.071538,-0.013333,0.063557,-0.178550,-0.070402,0.154222,-0.121853,0.031462,-0.126729,0.026262,0.060144,-0.056064,-0.057786,0.231032,-0.014963,0.013702,-0.028341,-0.125314,-0.021901,-0.010011,0.038449,-0.030963,-0.037154,-0.110725,-0.033373,-0.158148,-0.013184,0.157578,0.130088,-0.122822
seq7003,0.055864,-0.013067,-0.041450,-0.078847,0.172662,-0.224054,-0.176843,0.018236,-0.003716,0.270379,0.209138,-0.080597,0.288335,-0.023276,0.027625,-0.064475,-0.222569,0.156481,-0.131353,0.055081,0.085563,0.033166,0.118441,0.165815,-0.145105,0.081968,-0.098681,-0.125669,0.019586,-0.187822,-0.147439,0.053755,-0.032381,-0.051204,-0.024797,0.001826,-0.074269,0.130307,-0.246220,0.055177,0.031051,0.224750,0.068153,-0.164039,-0.028272,0.084170,-0.069918,-0.002969,0.047548,-0.150846,0.113971,0.047162,-0.035585,0.242476,-0.120878,-0.054223,0.161821,-0.258636,0.190826,-0.196524,-0.009426,-0.047307,0.216238,-0.015260,-0.048740,-0.113451,-0.009511,-0.066451,0.128064,-0.141590,-0.028416,-0.014754,0.033047,-0.001796,-0.253089,0.122696,-0.001362,-0.018033,-0.016539,0.069316,0.123464,-0.166507,0.031050,0.134648,-0.068596,0.028310,-0.008536,-0.181048,-0.203942,0.082295
seq7004,-0.019272,-0.008375,-0.055718,-0.033318,-0.047116,-0.046841,0.199108,-0.008379,-0.005615,-0.078961,0.075682,0.208871,-0.147413,-0.031628,0.016314,-0.173017,-0.114811,0.104492,-0.054941,0.025194,-0.034508,0.073886,0.021868,-0.077685,0.170968,-0.167471,-0.132400,-0.142358,0.205047,0.176683,0.051223,0.092983,0.171496,0.022634,-0.005925,-0.021726,-0.117066,-0.123047,-0.006259,-0.200961,-0.175092,0.127543,-0.029652,0.002425,-0.043274,-0.097808,0.055896,-0.213603,0.082305,0.011544,-0.075016,0.076179,-0.092388,-0.232302,0.018680,-0.116115,0.004853,-0.053973,0.163321,-0.160105,-0.094369,0.094835,-0.084337,0.075501,0.083164,-0.097032,0.025267,-0.120680,0.373039,0.043875,0.229361,0.030481,-0.112511,-0.071414,0.066736,-0.048774,-0.082830,0.053374,-0.011792,0.288088,-0.094329,0.141397,-0.091826,0.105741,-0.166023,-0.190366,0.137376,-0.086273,0.200442,-0.102956
seq7005,0.213379,-0.122248,-0.095636,-0.081805,-0.129789,-0.195821,-0.047178,-0.105123,-0.143399,0.146211,0.141219,0.047533,-0.096133,-0.125542,-0.006169,-0.132965,-0.073216,0.092354,-0.007860,0.043321,0.126738,0.281074,0.165603,0.126280,0.024861,-0.343117,-0.172002,-0.142627,-0.015519,-0.002053,0.125686,-0.086985,-0.023638,-0.056147,-0.295190,0.022785,0.075795,-0.127279,-0.037025,0.051802,0.048127,-0.058216,0.046118,0.054383,0.089639,0.036803,0.000888,0.070374,0.013765,-0.092923,0.132209,0.017297,-0.020300,0.081829,0.141136,-0.346299,-0.211414,-0.133377,-0.155651,0.087844,-0.159080,0.146168,-0.042425,-0.026895,-0.088479,0.040300,0.134319,0.147503,-0.000813,-0.005261,0.142141,0.013457,-0.132513,0.051692,-0.006171,-0.126579,0.152405,-0.055683,0.281047,-0.363904,0.012994,0.053367,-0.175779,0.071228,0.056050,-0.064914,0.077328,-0.175884,0.007556,-0.137361
seq7006,-0.140834,0.020547,-0.039620,-0.135219,-0.074016,-0.005902,0.000570,0.128305,0.060651,-0.084981,-0.038233,0.011863,0.149562,-0.084967,-0.012576,-0.000219,0.038895,-0.228748,-0.061389,-0.047346,0.129476,-0.124953,-0.235505,0.095059,0.000060,-0.009590,-0.013738,0.078136,0.094835,0.004299,-0.031872,-0.140029,-0.107120,-0.083259,0.161137,0.023391,-0.219765,0.111735,-0.076512,0.090720,0.172736,-0.033322,-0.018010,-0.124373,-0.049074,0.228054,0.029424,-0.020330,-0.104171,0.069978,0.162316,-0.139225,-0.090706,-0.036886,-0.194476,-0.042842,-0.024940,0.113687,0.110156,-0.041877,-0.054445,-0.149085,0.042107,0.082785,-0.110464,0.196814,-0.066945,0.062642,-0.052646,-0.050894,-0.045779,0.039679,-0.031396,0.145223,-0.017373,0.215528,-0.165625,0.098316,0.166673,-0.078537,-0.234157,0.210784,-0.020101,0.148470,-0.156077,-0.045128,0.044442,0.014308,-0.097881,0.276355
seq7007,0.113009,0.055409,0.086706,0.115074,-0.110584,-0.023280,0.011116,0.001654,0.081094,0.094583,-0.100713,-0.168141,0.067239,-0.045818,0.066649,0.178370,0.163803,0.034814,0.179322,0.045254,0.024005,-0.116750,0.038631,0.120595,0.076196,0.184482,-0.070764,-0.062353,0.055730,-0.139803,-0.031267,-0.059593,0.044513,0.008314,0.100836,-0.018071,0.075202,-0.016694,0.102314,-0.096680,-0.200757,0.004718,0.111379,-0.095102,-0.074322,-0.052535,-0.020486,0.017848,-0.136177,-0.180985,-0.017670,0.037627,-0.387461,0.012145,-0.020071,-0.146885,-0.006013,0.003126,-0.019151,-0.059988,0.160565,-0.142258,0.126469,-0.005100,0.013238,-0.026670,-0.083935,-0.062239,-0.021180,-0.005331,0.184419,0.052658,-0.032611,-0.042875,-0.122482,-0.042363,-0.029416,0.076196,-0.121020,-0.153216,0.146631,0.040162,-0.097147,-0.018118,-0.026426,-0.127827,0.049257,0.216200,0.082415,0.122272
seq7008,-0.004940,-0.155124,0.152832,0.002976,-0.166483,-0.072461,0.098209,-0.331582,-0.052348,0.194063,-0.051198,-0.175408,-0.112495,-0.041965,0.031184,-0.146164,0.073992,-0.054748,0.000997,0.129898,-0.051616,0.149663,0.023780,0.231956,0.020451,-0.020256,0.082883,-0.018018,0.108067,-0.092563,-0.285956,0.170435,0.110508,-0.195953,0.013689,0.108412,-0.222320,0.341796,-0.163305,0.131301,0.166774,-0.169512,0.088175,-0.023298,-0.324472,-0.005236,-0.186580,-0.082773,0.272028,-0.256660,0.097044,-0.034852,-0.082243,-0.083625,0.020188,-0.096887,0.028220,-0.174589,0.114117,-0.073228,-0.075762,-0.238363,0.049255,-0.117179,0.009144,-0.074829,-0.007903,0.064220,-0.109861,0.198502,0.071727,-0.012222,0.050521,-0.243726,-0.182920,0.014049,0.155185,-0.132716,-0.139297,0.175971,0.058971,0.061252,0.049229,-0.133092,0.003792,-0.094656,-0.085400,0.008013,0.098695,0.104446
seq7009,-0.022147,-0.102641,-0.015742,0.042580,-0.105742,0.085397,0.274355,-0.204961,-0.199482,-0.035300,-0.033964,-0.011386,0.023925,0.034564,-0.174205,-0.020251,-0.108977,-0.076895,-0.038289,-0.058009,-0.026304,-0.173392,0.180696,-0.133243,-0.042175,0.041264,0.072120,-0.085366,0.080412,0.277937,-0.180233,0.007736,-0.182114,-0.002103,-0.070922,0.063253,-0.079387,0.152115,-0.087076,0.055934,-0.183271,0.100828,-0.111420,-0.080459,-0.058333,0.073997,-0.116986,0.236216,0.023410,-0.177935,0.015441,0.122449,0.070107,0.095578,0.072202,-0.156932,0.046500,-0.077913,-0.020780,0.098526,-0.041891,0.042590,0.222675,-0.014967,0.011138,0.082843,0.088035,0.191177,0.063796,0.021688,0.019066,0.187798,-0.105934,-0.177667,0.279580,-0.059627,-0.084005,0.118903,-0.176839,0.048631,-0.150675,-0.158924,-0.091011,0.001025,-0.088472,-0.063523,0.036748,-0.007460,-0.200000,-0.058449
