Feature,[G3.1.1.1.1],[G3.1.1.1.2],[G3.1.1.1.3],[G3.1.1.1.4],[G3.1.1.1.5],[G3.1.1.1.6],[G3.1.1.1.7],[G3.1.1.1.8],[G3.1.1.1.9],[G3.1.1.1.10],[G3.1.1.1.11],[G3.1.1.1.12],[G3.1.1.1.13],[G3.1.1.1.14],[G3.1.1.1.15],[G3.1.1.1.16],[G3.1.1.1.17],[G3.1.1.1.18],[G3.1.1.1.19],[G3.1.1.1.20],[G3.1.1.1.21],[G3.1.1.1.22],[G3.1.1.1.23],[G3.1.1.1.24],[G3.1.1.1.25],[G3.1.1.1.26],[G3.1.1.1.27],[G3.1.1.1.28],[G3.1.1.1.29],[G3.1.1.1.30],[G3.1.2.1.1],[G3.1.2.1.2],[G3.1.2.1.3],[G3.1.2.1.4],[G3.1.2.1.5],[G3.1.2.1.6],[G3.1.2.1.7],[G3.1.2.1.8],[G3.1.2.1.9],[G3.1.2.1.10],[G3.1.2.1.11],[G3.1.2.1.12],[G3.1.2.1.13],[G3.1.2.1.14],[G3.1.2.1.15],[G3.1.2.1.16],[G3.1.2.1.17],[G3.1.2.1.18],[G3.1.2.1.19],[G3.1.2.1.20],[G3.1.2.1.21],[G3.1.2.1.22],[G3.1.2.1.23],[G3.1.2.1.24],[G3.1.2.1.25],[G3.1.2.1.26],[G3.1.2.1.27],[G3.1.2.1.28],[G3.1.2.1.29],[G3.1.2.1.30],[G3.1.4.1.1],[G3.1.4.1.2],[G3.1.4.1.3],[G3.1.4.1.4],[G3.1.4.1.5],[G3.1.4.1.6],[G3.1.4.1.7],[G3.1.4.1.8],[G3.1.4.1.9],[G3.1.4.1.10],[G3.1.4.1.11],[G3.1.4.1.12],[G3.1.4.1.13],[G3.1.4.1.14],[G3.1.4.1.15],[G3.1.4.1.16],[G3.1.4.1.17],[G3.1.4.1.18],[G3.1.4.1.19],[G3.1.4.1.20],[G3.1.4.1.21],[G3.1.4.1.22],[G3.1.4.1.23],[G3.1.4.1.24],[G3.1.4.1.25],[G3.1.4.1.26],[G3.1.4.1.27],[G3.1.4.1.28],[G3.1.4.1.29],[G3.1.4.1.30]
seq4000,0.181917,0.029881,-0.117200,-0.049029,0.063231,0.162113,0.218121,0.202015,0.030588,-0.101601,-0.037660,0.037443,0.060393,-0.170810,0.039913,-0.058341,-0.079413,0.093253,0.164320,0.146367,-0.117655,-0.249282,-0.038678,0.302331,0.169099,0.264252,-0.272483,0.025361,-0.002257,-0.105279,-0.134605,-0.008614,0.029906,-0.261644,0.191792,-0.087650,0.067892,0.011944,-0.015083,0.051896,-0.272096,-0.024305,-0.215005,-0.101336,0.287416,-0.188093,0.114575,-0.002594,-0.342827,0.226654,-0.166771,0.299512,0.183160,-0.063276,0.147952,-0.341341,0.051072,0.039446,-0.014226,0.046651,-0.088464,0.042323,0.036598,-0.020610,-0.100499,-0.120730,-0.082638,0.020917,-0.160842,-0.035482,0.029582,0.012855,-0.232898,0.194726,0.190889,-0.123979,0.169544,0.069392,0.039255,0.004189,-0.056804,0.116754,0.049172,-0.086939,0.213492,-0.088324,-0.104792,-0.143053,0.135297,-0.208366
seq4001,0.048698,-0.134437,-0.061636,0.019719,0.209214,-0.073718,-0.048359,0.022830,0.105155,0.017354,-0.007484,-0.150250,0.059992,-0.026966,0.118724,0.254234,-0.110821,0.058837,-0.200059,-0.005056,0.244834,-0.120673,0.032628,0.094919,0.077686,0.194431,-0.086923,-0.144126,-0.021884,-0.054341,-0.104009,0.025718,-0.058095,0.170407,0.059634,0.045116,-0.024467,0.122729,-0.042729,0.026790,0.102892,-0.068599,-0.111746,0.027358,0.042508,-0.076439,-0.085323,-0.006152,-0.046925,-0.111686,-0.114441,0.073564,0.128536,-0.242404,-0.024312,-0.050658,0.004705,-0.069703,0.070953,0.019405,-0.239768,-0.166310,-0.082861,0.386808,-0.059844,-0.104620,-0.046809,0.244531,-0.042192,-0.004194,0.050391,-0.069505,-0.024511,-0.054994,0.134151,-0.121506,-0.173013,0.067176,0.237801,-0.276956,-0.079467,0.269761,0.046620,-0.112104,-0.245120,0.021475,0.083131,-0.135387,0.071331,-0.049014
seq4002,0.025335,0.048201,0.103391,0.117087,0.285632,0.056942,0.157580,0.145119,0.181612,0.171892,0.177146,0.135194,0.070255,0.262725,0.112473,0.091457,-0.101382,0.170604,0.075034,0.134907,0.165099,-0.093757,0.100419,0.252449,0.251362,0.039429,-0.043358,0.119744,0.031788,0.135229,-0.039109,0.010257,-0.017998,-0.097551,0.048764,0.058125,0.129666,-0.193425,-0.011501,0.007993,-0.151345,0.090024,-0.039700,0.061440,0.096759,0.076394,0.060705,-0.224038,0.067760,-0.015891,0.092460,0.058135,-0.140789,-0.093326,-0.206611,-0.016831,0.144843,0.013548,-0.019105,0.061135,-0.001339,-0.212366,0.141803,-0.225628,-0.074571,0.321663,0.054156,-0.224277,0.182894,0.023023,0.113977,0.172341,-0.035710,0.064618,0.088631,0.063365,0.182377,0.137187,-0.136230,0.107270,0.233553,-0.022989,-0.012597,0.083664,-0.099739,0.132810,0.323208,0.037062,-0.120722,-0.205038
seq4003,0.061511,-0.004749,0.013022,0.059495,0.202882,0.078651,0.039924,0.019234,0.204001,0.109117,-0.083318,0.027537,0.124453,-0.037488,0.205136,-0.117954,-0.049404,0.008463,0.015419,-0.049308,-0.021036,0.124425,-0.054685,-0.033352,0.040172,-0.049996,-0.083384,-0.031965,0.083747,-0.097433,-0.059951,-0.259490,-0.013565,0.041582,0.025305,0.062602,-0.033013,-0.099839,0.075182,0.051968,0.013134,-0.075714,-0.022087,-0.181100,-0.101916,0.272485,-0.110371,-0.088141,0.088003,-0.047890,0.074417,0.146689,-0.032438,-0.314787,0.114607,0.123585,0.049091,-0.034331,0.085471,-0.154864,-0.010299,-0.029145,0.027028,0.222603,0.076819,-0.039199,-0.015423,-0.024378,-0.044348,-0.007647,0.113265,0.148683,0.065969,-0.063354,0.061888,0.136489,0.000636,-0.004945,-0.137345,-0.269786,0.108960,-0.197546,-0.011920,-0.194564,-0.009290,0.106763,-0.238410,-0.047295,0.040256,-0.085359
seq4004,0.052847,0.290402,0.560755,-0.090651,0.547731,0.245272,0.121961,0.450168,0.060788,0.316784,0.332402,-0.005080,0.528222,0.188101,0.135547,0.416792,-0.072060,0.229231,0.346619,-0.007059,0.429909,0.323904,0.261871,0.459997,0.144627,0.214281,0.421976,0.171459,0.298262,0.400581,0.099823,-0.010124,0.019481,0.096706,-0.021982,0.116808,0.221647,0.075422,0.119108,0.232824,0.085248,-0.170287,0.055363,0.202951,0.086645,0.035847,0.181295,-0.073917,0.096615,0.097726,0.164638,-0.005297,0.177907,0.243626,-0.029385,-0.071876,-0.108695,0.109103,0.159069,0.332529,-0.115175,-0.060029,0.002847,-0.078152,-0.215562,-0.004338,0.100560,0.109580,-0.060707,0.255447,0.094252,-0.171135,-0.021956,-0.119409,-0.170635,-0.020133,0.176256,0.079130,-0.081925,0.050229,-0.038867,-0.090779,0.111109,-0.004550,-0.069340,-0.196468,0.031588,-0.040930,0.198206,-0.039761
seq4005,-0.062355,0.133866,0.138773,0.259288,-0.035115,0.240198,-0.104404,0.112528,-0.094079,0.072126,-0.014790,0.070313,-0.004397,-0.102100,-0.160771,-0.044129,0.026134,-0.310446,-0.360653,0.275363,-0.199890,-0.199103,-0.108486,-0.004379,-0.199127,0.198936,-0.089811,-0.038106,-0.041236,0.029424,-0.017299,0.046122,0.022731,-0.011519,0.033999,-0.069372,0.025988,-0.236456,0.151447,-0.066675,0.146425,0.043327,0.048572,0.062111,-0.205262,0.113530,-0.027178,0.198756,-0.106457,0.111253,0.117711,-0.166103,0.054765,-0.034215,0.250304,-0.152232,0.050851,-0.115799,-0.030056,0.233372,-0.155018,-0.004761,0.065254,0.096400,0.127510,0.060811,-0.100804,0.296704,0.115264,-0.085889,-0.031568,0.087957,0.124447,0.017523,-0.081064,0.199731,-0.067379,0.003383,-0.007758,0.013629,0.130516,0.089668,-0.144079,0.100207,0.068527,-0.070170,0.052845,0.007513,-0.059537,0.236318
seq4006,0.468777,0.255051,0.139871,0.308170,0.335503,0.194370,0.233897,0.174555,0.331315,0.321587,0.184150,0.185695,0.241180,0.179978,0.137637,0.183395,0.381999,0.316282,0.227620,0.321606,0.287364,0.214067,0.255312,0.139892,0.235873,0.372111,0.467075,0.097497,0.137623,0.117814,0.012326,0.097347,-0.130146,-0.016899,0.100329,0.022085,0.054154,-0.147446,-0.027516,-0.106486,0.009741,0.065839,0.006478,-0.109296,-0.016653,-0.097303,0.135512,0.082642,0.128073,0.050525,-0.088659,-0.022547,-0.107520,-0.008858,-0.053979,-0.158347,-0.121799,-0.050954,0.063175,0.138309,0.185887,0.122951,0.196419,0.234036,0.226590,0.343944,0.203209,0.155564,-0.136540,0.232298,-0.196205,0.049815,-0.122439,-0.024900,-0.133729,-0.086119,-0.326837,-0.112113,-0.164608,-0.103159,-0.187510,0.126470,-0.111542,0.122999,0.196466,0.229923,-0.147933,0.018774,0.085564,0.333737
seq4007,-0.061356,0.059467,-0.035709,0.177152,-0.004708,0.094939,0.181025,-0.081445,0.060546,0.138203,0.204958,0.099253,0.176749,0.030281,0.064923,0.019503,0.337354,-0.031143,0.140074,0.137879,0.095001,-0.016398,0.138065,0.186203,-0.091503,0.115773,-0.004678,0.003314,0.049466,0.302246,-0.100903,0.153758,-0.012567,0.038421,0.043089,-0.101979,-0.024351,-0.013067,0.022375,0.033296,0.009939,0.094942,0.068558,0.098701,0.006636,-0.022985,-0.020548,0.055081,-0.017534,0.054738,0.076653,-0.096030,0.027237,-0.017092,0.138294,-0.030955,-0.080246,0.107515,-0.018511,0.020008,0.043547,-0.022327,0.129930,-0.033158,-0.039072,0.107436,0.049495,0.070599,0.188632,-0.175268,0.082462,-0.059284,-0.094873,0.148451,0.051784,-0.147373,-0.019962,0.097393,-0.080903,0.047905,-0.064644,0.190853,-0.036815,-0.205505,-0.000901,0.017422,-0.057059,0.053839,0.168561,0.015269
seq4008,0.031138,0.295842,0.014224,0.115094,0.148134,0.005380,0.154896,-0.179314,0.060783,-0.279306,0.186658,-0.042364,0.112294,0.101475,0.036787,0.255142,0.142315,0.273367,0.078298,0.338195,-0.065162,0.152337,-0.037511,0.080293,0.007408,0.027801,0.010942,-0.190185,0.143516,-0.215588,0.010256,0.002468,-0.024448,0.004135,-0.099037,0.027631,0.174387,0.034989,0.145631,-0.211602,-0.006716,-0.097722,-0.001595,-0.184884,0.082657,-0.001585,0.067085,-0.008233,0.046242,0.020526,-0.151638,-0.146647,-0.069122,0.145192,-0.088289,0.097197,-0.090114,0.079535,-0.147891,-0.043196,-0.098571,0.131775,-0.039455,0.143640,-0.143515,0.183513,0.006648,-0.001517,-0.051688,-0.034663,-0.055336,0.020180,0.330495,-0.189080,0.040661,0.172672,0.039967,0.034552,0.291804,-0.151056,0.056004,-0.089551,0.222708,-0.063308,0.137505,-0.020189,-0.102498,0.048416,0.093586,-0.210005
seq4009,0.126157,-0.048751,0.020844,-0.174200,0.106300,0.185885,0.140399,-0.063975,-0.036952,0.118574,-0.014215,0.103508,0.168747,-0.023014,0.090507,0.173834,0.139364,0.011850,0.084401,0.143362,0.019144,-0.053001,-0.102018,-0.015413,0.206409,0.100553,0.200820,0.240960,0.039543,0.098427,-0.100520,-0.092061,0.148662,0.068104,0.054235,-0.077997,0.041919,0.193757,-0.048844,-0.131180,0.023554,0.013285,-0.042837,-0.070142,-0.144174,-0.068282,-0.098063,-0.067586,-0.069135,-0.200606,0.134141,-0.100159,-0.140504,-0.198864,0.069713,-0.040020,-0.169618,0.049829,0.023388,0.020852,-0.017404,0.232189,0.231947,0.119955,0.149305,0.068225,0.148124,0.165033,-0.177062,0.145347,0.230652,0.126210,0.019910,-0.030724,0.036804,-0.146433,-0.005083,-0.046644,-0.139845,-0.074965,-0.153639,0.025086,0.040388,-0.205722,0.081497,-0.321646,0.164641,-0.163687,0.060511,0.016135
