Feature,[G7.1.1.1],[G7.1.1.2],[G7.1.1.3],[G7.1.1.4],[G7.1.1.5],[G7.1.1.6],[G7.1.1.7],[G7.1.1.8],[G7.1.1.9],[G7.1.1.10],[G7.1.1.11],[G7.1.1.12],[G7.1.1.13],[G7.1.1.14],[G7.1.1.15],[G7.1.1.16],[G7.1.1.17],[G7.1.1.18],[G7.1.1.19],[G7.1.1.20],[G7.1.1.21],[G7.1.1.22],[G7.1.1.23],[G7.1.1.24],[G7.1.1.25],[G7.1.1.26],[G7.1.1.27],[G7.1.1.28],[G7.1.1.29],[G7.1.1.30],[G7.1.1.31],[G7.1.1.32],[G7.1.1.33],[G7.1.1.34],[G7.1.1.35],[G7.1.1.36],[G7.1.1.37],[G7.1.1.38],[G7.1.1.39],[G7.1.1.40],[G7.1.1.41],[G7.1.1.42],[G7.1.1.43],[G7.1.1.44],[G7.1.1.45],[G7.1.1.46],[G7.1.1.47],[G7.1.1.48],[G7.1.1.49],[G7.1.1.50],[G7.1.1.51],[G7.1.1.52],[G7.1.1.53],[G7.1.1.54],[G7.1.1.55],[G7.1.1.56],[G7.1.1.57],[G7.1.1.58],[G7.1.1.59],[G7.1.1.60],[G7.1.1.61],[G7.1.1.62],[G7.1.1.63],[G7.1.1.64],[G7.1.1.65],[G7.1.1.66],[G7.1.1.67],[G7.1.1.68],[G7.1.1.69],[G7.1.1.70],[G7.1.1.71],[G7.1.1.72],[G7.1.1.73],[G7.1.1.74],[G7.1.1.75],[G7.1.1.76],[G7.1.1.77],[G7.1.1.78],[G7.1.1.79],[G7.1.1.80]
seq7000,0.037068,0.024712,0.012356,0.061780,0.000000,0.074136,0.024712,0.024712,0.024712,0.086492,0.098848,0.086492,0.024712,0.074136,0.074136,0.172984,0.037068,0.000000,0.000000,0.049424,-0.005993,-0.011769,-0.005893,-0.007571,0.004107,0.003491,-0.004086,-0.002938,0.010128,0.003558,0.003572,0.004408,-0.008060,-0.002661,-0.003281,0.000144,0.004729,-0.006149,0.005469,-0.002304,0.009406,0.008823,0.000681,0.003850,-0.011638,-0.013434,0.004941,0.001460,0.008757,0.013184,-0.006234,-0.013163,-0.004529,0.004142,-0.001421,-0.001644,0.004636,0.005357,0.003913,-0.002951,-0.000009,-0.005287,-0.002595,0.000983,0.008482,0.010594,-0.001202,-0.005175,0.005252,0.002989,0.005845,0.002078,-0.010976,-0.012147,0.001199,-0.003042,0.006151,0.003646,0.003178,0.008515
seq7001,0.098325,0.054625,0.032775,0.032775,0.021850,0.043700,0.021850,0.032775,0.010925,0.032775,0.098325,0.010925,0.032775,0.065550,0.054625,0.065550,0.054625,0.043700,0.000000,0.065550,0.006840,0.007974,0.006299,0.005974,-0.000969,0.003565,-0.000690,0.002726,0.002730,0.006873,-0.000924,-0.004070,0.004583,0.007014,0.008998,0.010062,0.001265,0.006946,0.002123,0.009752,0.000929,-0.001075,0.005755,0.006959,0.010080,0.003827,0.004706,0.000963,0.007593,0.002360,-0.002504,-0.003968,-0.006276,-0.002389,-0.007975,-0.002212,0.000583,-0.001749,0.002067,0.010372,0.001623,-0.004713,0.000045,-0.003314,-0.000105,-0.001167,0.003962,0.000410,-0.000733,0.002707,-0.002118,-0.007220,0.007100,0.011556,0.006103,0.005136,0.003510,0.003521,-0.006937,-0.008481
seq7002,0.077875,0.064896,0.000000,0.051917,0.116813,0.025958,0.051917,0.064896,0.025958,0.051917,0.051917,0.051917,0.038938,0.012979,0.051917,0.077875,0.090855,0.025958,0.025958,0.077875,-0.004508,-0.003799,-0.003578,-0.003079,0.009829,0.003401,-0.012755,-0.012710,0.001510,-0.004173,0.003500,-0.001043,-0.006828,-0.000803,0.006798,0.005573,0.008030,0.007669,-0.000649,-0.002676,0.010491,0.004837,-0.009088,-0.013789,-0.001414,0.000939,0.005083,0.000164,-0.004902,-0.003205,-0.007682,0.000589,0.003447,-0.001752,0.002478,0.003185,0.001445,0.000921,0.012364,0.003550,-0.006163,-0.000548,-0.002722,0.008062,-0.000945,-0.005801,-0.009311,-0.007250,-0.002111,-0.002626,0.001122,-0.010321,-0.011507,-0.010354,0.014821,0.011487,0.009193,0.014870,-0.013960,-0.011646
seq7003,0.063891,0.025557,0.063891,0.051113,0.025557,0.063891,0.038335,0.051113,0.038335,0.051113,0.089448,0.012778,0.051113,0.025557,0.102226,0.051113,0.076670,0.012778,0.076670,0.051113,-0.006661,-0.000544,0.007818,0.005435,-0.001248,0.001676,-0.002020,0.003846,0.001785,-0.002919,-0.004374,-0.001259,-0.003705,-0.000128,0.001019,0.002213,-0.001238,-0.006152,0.000821,-0.001496,0.001024,0.004497,0.001777,0.001820,-0.001907,0.003076,0.003650,-0.004059,-0.002469,-0.004349,0.000613,-0.000741,0.004254,-0.006485,-0.002314,-0.000745,0.000061,0.000033,0.004687,0.009042,-0.006696,-0.005300,0.008592,-0.000797,-0.006219,0.003405,0.000939,0.006344,-0.005641,-0.009810,-0.000531,0.004664,-0.000186,0.001262,-0.006206,-0.009242,-0.005405,-0.002569,0.004501,0.002295
seq7004,0.060140,0.050117,0.040093,0.080187,0.000000,0.030070,0.020047,0.090210,0.020047,0.010023,0.050117,0.050117,0.010023,0.030070,0.020047,0.160374,0.020047,0.010023,0.030070,0.020047,0.007256,0.005401,0.006246,0.003949,-0.001389,-0.004281,-0.000917,0.000089,-0.002021,-0.001999,-0.002930,-0.004632,0.001142,-0.002691,0.001564,0.000359,0.011240,0.012800,0.013703,0.009350,0.011547,0.007642,0.010653,0.009220,0.003169,0.004676,-0.002187,-0.004197,0.003444,0.000144,-0.003201,-0.009540,0.005005,0.001858,0.002006,0.002619,0.007001,0.006243,0.014333,0.016046,0.012249,0.006830,0.007060,0.005629,-0.000098,-0.002002,0.005194,0.005677,-0.006184,-0.007315,-0.001916,-0.009304,0.002657,-0.003772,0.000686,-0.004086,0.009940,0.015878,0.013567,0.008718
seq7005,0.090920,0.034095,0.000000,0.056825,0.000000,0.022730,0.034095,0.056825,0.022730,0.090920,0.125015,0.045460,0.045460,0.068190,0.022730,0.079555,0.034095,0.000000,0.034095,0.045460,-0.001200,0.008836,0.006417,0.008316,0.002423,0.003132,-0.005995,-0.005397,0.000088,0.003510,-0.001706,0.000566,0.006826,0.010479,0.001256,0.002094,0.002875,0.009608,-0.000095,0.005526,0.001213,0.005483,0.008933,0.010875,-0.003051,-0.004698,0.008328,0.004328,0.004949,0.000987,-0.004729,-0.000249,0.004772,0.004273,-0.006476,-0.003428,0.008231,0.011292,-0.010051,-0.004522,0.001957,0.005767,0.009243,0.003818,-0.004955,-0.001209,0.004508,0.007216,-0.001908,-0.001124,0.002938,0.009394,-0.013827,-0.011560,-0.000052,0.001535,-0.004152,-0.003451,-0.001885,-0.005473
seq7006,0.133889,0.073030,0.024343,0.024343,0.000000,0.012172,0.073030,0.109545,0.012172,0.085202,0.024343,0.024343,0.036515,0.012172,0.012172,0.085202,0.048687,0.000000,0.012172,0.170404,-0.006598,-0.009059,-0.002906,0.000208,0.002765,-0.003989,-0.003949,-0.005053,-0.001958,-0.000452,-0.002911,0.000872,0.000748,0.000601,-0.000510,0.001116,-0.001862,-0.006297,0.001744,-0.002233,0.004290,0.008881,-0.003456,-0.006370,0.002287,0.007095,0.007638,0.009155,-0.001482,0.002211,0.002519,0.000901,0.002928,0.003866,-0.004483,-0.001357,0.008657,0.015596,-0.009040,-0.014758,-0.000105,-0.001421,0.000731,-0.001428,-0.004450,-0.007959,0.006327,0.007047,-0.007039,-0.000841,0.002811,0.004944,0.007330,0.004000,-0.003449,-0.001052,0.001377,0.004491,0.008104,0.011486
seq7007,0.099429,0.024857,0.037286,0.037286,0.000000,0.074572,0.037286,0.099429,0.037286,0.074572,0.099429,0.062143,0.012429,0.024857,0.037286,0.074572,0.037286,0.000000,0.024857,0.099429,-0.000822,0.003914,-0.006396,-0.007803,0.003664,0.007082,0.001993,0.001207,0.000376,0.000883,0.000007,0.003317,0.000401,0.002987,-0.004350,-0.006125,-0.000714,-0.003525,0.003076,0.001178,0.002687,0.005298,0.005948,0.009890,0.002159,0.000556,0.001307,-0.007614,0.001076,-0.001828,0.003577,0.012282,-0.002872,-0.000170,0.003373,0.000852,-0.003606,-0.002795,-0.010860,-0.012004,0.008015,0.000526,-0.004168,-0.002569,-0.004089,-0.000142,0.004339,0.004172,0.002849,0.000318,-0.003224,-0.004744,-0.002589,0.006117,0.000993,0.009493,-0.005523,-0.005826,-0.000416,-0.005431
seq7008,0.197888,0.061840,0.000000,0.111312,0.000000,0.024736,0.049472,0.086576,0.012368,0.024736,0.123680,0.037104,0.037104,0.024736,0.024736,0.037104,0.012368,0.024736,0.037104,0.061840,-0.003180,-0.002495,-0.003373,-0.010674,0.001930,0.004607,-0.011279,0.003075,0.007316,0.001307,-0.010533,-0.007643,0.000650,0.007021,-0.004261,-0.009910,0.002353,0.003785,0.021896,0.012091,0.002387,-0.003776,0.006320,0.003542,0.003292,0.000345,-0.007105,-0.012324,-0.005684,-0.007371,0.001721,0.005436,-0.000078,0.004753,-0.010757,-0.015739,0.007458,-0.001861,0.005963,0.010783,0.005657,0.006129,0.011278,0.002697,-0.001539,-0.004010,0.004007,-0.001503,-0.003855,-0.000428,-0.004114,0.001352,-0.009940,-0.008789,-0.004119,0.001205,0.010060,0.011559,0.002882,0.002046
seq7009,0.113732,0.037911,0.075821,0.037911,0.000000,0.050548,0.012637,0.101095,0.025274,0.050548,0.088458,0.037911,0.050548,0.063184,0.012637,0.075821,0.050548,0.025274,0.012637,0.088458,-0.000891,0.001963,-0.006058,-0.006534,0.002588,0.008849,0.002790,-0.002655,0.000398,0.004344,-0.004332,-0.003344,-0.000437,0.002100,0.010197,0.012278,0.000339,0.000178,-0.003701,-0.002146,-0.002866,0.000315,-0.000441,0.001718,0.000910,0.000801,-0.003963,-0.006980,0.003910,0.000330,0.004394,0.001592,0.000025,-0.001260,-0.005503,-0.004958,-0.007867,-0.010182,0.002250,0.004530,-0.002860,-0.000815,-0.004305,-0.004414,0.001547,-0.000426,0.001587,0.006381,0.001048,0.005706,-0.006493,-0.006498,-0.008283,0.006994,0.005470,0.008497,0.002675,-0.004645,-0.003944,-0.000857
