Name,hydrophobicity,class
seq0,-1.043,DNA
seq1,-0.561,DNA
seq2,-0.669,DNA
seq3,-0.307,DNA
seq4,-0.365,DNA
seq5,-0.825,DNA
seq6,-0.569,DNA
seq7,-0.808,DNA
seq8,-0.614,DNA
seq9,-0.719,DNA
seq10,-0.486,DNA
seq11,-0.463,DNA
seq12,-0.36,DNA
seq13,-0.765,DNA
seq14,-1.122,DNA
seq15,-0.536,DNA
seq16,-0.748,DNA
seq17,-0.294,DNA
seq18,-0.553,DNA
seq19,-0.309,DNA
seq20,-0.311,DNA
seq21,-0.354,DNA
seq22,-0.551,DNA
seq23,-0.443,DNA
seq24,-0.837,DNA
seq25,-0.527,DNA
seq26,-0.35,DNA
seq27,-0.479,DNA
seq28,-0.394,DNA
seq29,-0.992,DNA
seq30,-0.61,DNA
seq31,-0.591,DNA
seq32,-0.451,DNA
seq33,-0.507,DNA
seq34,-0.605,DNA
seq35,-0.357,DNA
seq36,-0.252,DNA
seq37,-0.707,DNA
seq38,-0.073,DNA
seq39,-0.372,DNA
seq40,-0.754,DNA
seq41,-0.678,DNA
seq42,-0.579,DNA
seq43,-0.604,DNA
seq44,-0.618,DNA
seq45,-0.583,DNA
seq46,-0.568,DNA
seq47,-0.471,DNA
seq48,-0.764,DNA
seq49,-0.329,DNA
seq50,-0.379,DNA
seq51,-0.004,DNA
seq52,-0.554,DNA
seq53,-0.382,DNA
seq54,-0.155,DNA
seq55,-0.161,DNA
seq56,-0.454,DNA
seq57,-0.24,DNA
seq58,-0.742,DNA
seq59,0.178,DNA
seq60,-0.042,DNA
seq61,-0.744,DNA
seq62,-0.617,DNA
seq63,-0.445,DNA
seq64,-0.797,DNA
seq65,-0.877,DNA
seq66,-0.695,DNA
seq67,-0.457,DNA
seq68,-0.868,DNA
seq69,-0.547,DNA
seq70,-0.52,DNA
seq71,-0.448,DNA
seq72,-0.387,DNA
seq73,-0.408,DNA
seq74,-0.247,DNA
seq75,-0.012,DNA
seq76,-0.398,DNA
seq77,-0.355,DNA
seq78,-0.855,DNA
seq79,-0.213,DNA
seq80,-0.47,DNA
seq81,-0.361,DNA
seq82,-0.309,DNA
seq83,-0.386,DNA
seq84,-0.683,DNA
seq85,-0.458,DNA
seq86,-0.571,DNA
seq87,-0.369,DNA
seq88,-0.167,DNA
seq89,-1.287,DNA
seq90,-0.524,DNA
seq91,-0.742,DNA
seq92,-0.889,DNA
seq93,-0.756,DNA
seq94,-0.604,DNA
seq95,-0.67,DNA
seq96,0.079,DNA
seq97,-0.98,DNA
seq98,-1.067,DNA
seq99,-0.177,DNA
seq100,-0.429,DNA
seq101,-0.485,DNA
seq102,-0.024,DNA
seq103,-0.25,DNA
seq104,-0.794,DNA
seq105,-0.341,DNA
seq106,-0.679,DNA
seq107,-0.476,DNA
seq108,-0.254,DNA
seq109,-0.144,DNA
seq110,-0.441,DNA
seq111,-0.692,DNA
seq112,-0.569,DNA
seq113,-0.239,DNA
seq114,-0.746,DNA
seq115,-0.474,DNA
seq116,-0.643,DNA
seq117,-0.486,DNA
seq118,-0.454,DNA
seq119,-0.626,DNA
seq120,-0.412,DNA
seq121,-0.066,DNA
seq122,-0.137,DNA
seq123,-0.39,DNA
seq124,-0.448,DNA
seq125,-0.267,DNA
seq126,-0.227,DNA
seq127,-0.421,DNA
seq128,-0.197,DNA
seq129,-0.656,DNA
seq130,-0.755,DNA
seq131,-0.269,DNA
seq132,-0.531,DNA
seq133,-0.314,DNA
seq134,-0.349,DNA
seq135,-0.703,DNA
seq136,-0.187,DNA
seq137,-0.465,DNA
seq138,-0.498,DNA
seq139,-0.434,DNA
seq140,-0.308,DNA
seq141,-0.896,DNA
seq142,-0.121,DNA
seq143,-0.617,DNA
seq144,-1.61,DNA
seq145,-0.239,DNA
seq146,-0.252,DNA
seq147,-0.576,DNA
seq148,-0.565,DNA
seq149,-0.632,DNA
seq150,-0.575,DNA
seq151,-0.669,DNA
seq152,-0.535,DNA
seq153,-0.76,DNA
seq154,-0.461,DNA
seq155,-0.204,DNA
seq156,-0.76,DNA
seq157,-0.468,DNA
seq158,-0.467,DNA
seq159,-0.311,DNA
seq160,-0.531,DNA
seq161,-0.36,DNA
seq162,-0.515,DNA
seq163,0.057,DNA
seq164,-0.17,DNA
seq165,-0.456,DNA
seq166,-0.487,DNA
seq167,-0.438,DNA
seq168,-0.089,DNA
seq169,-0.208,DNA
seq170,-0.721,DNA
seq171,-0.099,DNA
seq172,-0.748,DNA
seq173,-0.176,DNA
seq174,-0.469,DNA
seq175,-0.412,DNA
