Feature,[G3.2.1.1.1],[G3.2.1.1.2],[G3.2.1.1.3],[G3.2.1.1.4],[G3.2.1.1.5],[G3.2.1.1.6],[G3.2.1.1.7],[G3.2.1.1.8],[G3.2.1.1.9],[G3.2.1.1.10],[G3.2.1.1.11],[G3.2.1.1.12],[G3.2.1.1.13],[G3.2.1.1.14],[G3.2.1.1.15],[G3.2.1.1.16],[G3.2.1.1.17],[G3.2.1.1.18],[G3.2.1.1.19],[G3.2.1.1.20],[G3.2.1.1.21],[G3.2.1.1.22],[G3.2.1.1.23],[G3.2.1.1.24],[G3.2.1.1.25],[G3.2.1.1.26],[G3.2.1.1.27],[G3.2.1.1.28],[G3.2.1.1.29],[G3.2.1.1.30],[G3.2.2.1.1],[G3.2.2.1.2],[G3.2.2.1.3],[G3.2.2.1.4],[G3.2.2.1.5],[G3.2.2.1.6],[G3.2.2.1.7],[G3.2.2.1.8],[G3.2.2.1.9],[G3.2.2.1.10],[G3.2.2.1.11],[G3.2.2.1.12],[G3.2.2.1.13],[G3.2.2.1.14],[G3.2.2.1.15],[G3.2.2.1.16],[G3.2.2.1.17],[G3.2.2.1.18],[G3.2.2.1.19],[G3.2.2.1.20],[G3.2.2.1.21],[G3.2.2.1.22],[G3.2.2.1.23],[G3.2.2.1.24],[G3.2.2.1.25],[G3.2.2.1.26],[G3.2.2.1.27],[G3.2.2.1.28],[G3.2.2.1.29],[G3.2.2.1.30],[G3.2.4.1.1],[G3.2.4.1.2],[G3.2.4.1.3],[G3.2.4.1.4],[G3.2.4.1.5],[G3.2.4.1.6],[G3.2.4.1.7],[G3.2.4.1.8],[G3.2.4.1.9],[G3.2.4.1.10],[G3.2.4.1.11],[G3.2.4.1.12],[G3.2.4.1.13],[G3.2.4.1.14],[G3.2.4.1.15],[G3.2.4.1.16],[G3.2.4.1.17],[G3.2.4.1.18],[G3.2.4.1.19],[G3.2.4.1.20],[G3.2.4.1.21],[G3.2.4.1.22],[G3.2.4.1.23],[G3.2.4.1.24],[G3.2.4.1.25],[G3.2.4.1.26],[G3.2.4.1.27],[G3.2.4.1.28],[G3.2.4.1.29],[G3.2.4.1.30]
seq1000,0.038113,-0.102338,-0.067454,0.208834,0.042249,-0.181507,-0.080925,-0.028289,0.062446,0.010115,-0.017899,0.102976,0.160574,0.033347,-0.277184,0.139268,-0.200137,-0.424745,-0.462126,0.063387,0.102105,-0.071156,-0.222960,0.087572,0.132319,0.112053,-0.043620,-0.020857,-0.002682,-0.230272,0.032327,-0.055234,0.020407,-0.152877,0.206914,0.000253,-0.083487,-0.004753,-0.172545,0.197123,0.137187,-0.017773,0.157642,-0.021892,-0.163215,-0.134421,-0.156594,0.145081,-0.037346,-0.021303,0.187499,-0.065409,-0.035853,0.298553,-0.136978,-0.119547,-0.035927,-0.012675,-0.028759,-0.175113,-0.013468,-0.115599,-0.090127,0.202743,-0.153344,-0.080517,-0.133383,0.095719,-0.128928,0.034347,-0.073396,0.303231,-0.060543,-0.024939,-0.089797,0.009528,-0.137802,0.056619,-0.097059,-0.037855,0.105025,0.233651,-0.182863,0.161483,-0.070421,0.030198,0.044358,-0.191194,-0.132844,-0.165137
seq1001,-0.147298,-0.076716,-0.080978,-0.114779,-0.079908,-0.077625,0.068019,0.041988,0.124634,0.120280,-0.035273,-0.229030,-0.046205,-0.037709,-0.182431,0.090812,0.228156,0.186750,-0.082522,-0.224880,0.057253,-0.117424,0.066901,-0.087605,0.102351,-0.062161,0.293264,-0.130346,-0.178257,-0.066268,0.163296,0.005504,-0.003808,0.147133,-0.208353,-0.271484,-0.139106,0.032074,0.075421,-0.048219,0.177203,0.134848,0.066429,-0.006653,0.026249,0.026056,-0.257061,-0.172765,-0.146314,-0.130982,-0.195350,-0.040088,-0.052872,-0.143899,0.036642,0.156413,0.119265,-0.145490,0.084864,0.020898,-0.012955,0.022684,-0.267710,0.170120,-0.129554,0.062706,-0.041014,-0.005336,0.059766,0.079299,0.136006,-0.048262,-0.071867,-0.032798,0.052797,-0.022135,-0.057676,0.000278,-0.025953,-0.166800,-0.083774,-0.037622,0.022428,-0.182745,0.129243,0.003782,0.223878,-0.232876,0.114863,-0.088511
seq1002,-0.320975,0.055453,0.175357,0.023354,-0.108525,-0.025052,0.265803,-0.405937,0.159744,-0.018192,-0.132967,0.047743,0.020150,-0.011711,-0.176274,0.198533,-0.149928,-0.116503,0.138586,-0.148905,0.030952,-0.137113,0.277707,-0.187974,-0.103766,0.247791,-0.187090,0.246087,-0.091988,0.150450,0.005806,0.057371,-0.046723,-0.077165,0.032415,-0.185567,-0.032368,-0.160960,-0.147828,-0.120870,-0.041088,0.031068,0.027747,0.125141,0.088733,0.067851,0.113428,0.013229,-0.029145,-0.081338,0.281764,0.059288,0.043790,-0.158844,-0.099647,-0.198722,-0.214165,0.035921,-0.259202,0.170171,0.134196,-0.002072,0.006940,-0.016354,-0.122315,-0.260853,-0.188751,-0.153178,-0.104505,0.006975,0.096977,0.299399,0.092514,0.015642,0.028028,-0.045067,-0.141407,-0.201478,-0.022019,-0.123646,-0.153580,0.042508,0.080817,0.021444,0.127909,-0.119804,0.184294,0.186265,-0.109048,-0.267632
seq1003,-0.320975,0.055453,0.175357,0.023354,-0.108525,-0.025052,0.265803,-0.405937,0.159744,-0.018192,-0.132967,0.047743,0.020150,-0.011711,-0.176274,0.198533,-0.149928,-0.116503,0.138586,-0.148905,0.030952,-0.137113,0.277707,-0.187974,-0.103766,0.247791,-0.187090,0.246087,-0.091988,0.150450,0.005806,0.057371,-0.046723,-0.077165,0.032415,-0.185567,-0.032368,-0.160960,-0.147828,-0.120870,-0.041088,0.031068,0.027747,0.125141,0.088733,0.067851,0.113428,0.013229,-0.029145,-0.081338,0.281764,0.059288,0.043790,-0.158844,-0.099647,-0.198722,-0.214165,0.035921,-0.259202,0.170171,0.134196,-0.002072,0.006940,-0.016354,-0.122315,-0.260853,-0.188751,-0.153178,-0.104505,0.006975,0.096977,0.299399,0.092514,0.015642,0.028028,-0.045067,-0.141407,-0.201478,-0.022019,-0.123646,-0.153580,0.042508,0.080817,0.021444,0.127909,-0.119804,0.184294,0.186265,-0.109048,-0.267632
seq1004,-0.258996,0.108519,-0.013923,-0.112957,0.038631,-0.041884,0.087618,-0.299320,0.174138,-0.083054,-0.028637,0.126952,0.023203,0.074393,-0.126203,0.016790,-0.112536,-0.017310,0.009225,-0.229377,-0.000196,-0.100076,0.269865,-0.044211,-0.134490,0.093838,-0.031114,0.163533,-0.071117,0.039727,-0.037216,0.127297,-0.081537,0.019985,-0.016093,-0.059657,-0.252529,-0.055644,-0.130900,-0.049957,0.078535,0.070315,-0.008208,0.032321,0.073096,-0.031429,-0.027771,-0.055013,-0.008313,0.080700,-0.033137,-0.100856,-0.065221,0.083765,-0.206079,0.076921,-0.177384,0.044197,-0.137561,0.115028,0.091325,-0.089197,0.069597,-0.035288,-0.240614,-0.191233,-0.124776,-0.112237,-0.140067,-0.135986,0.183494,0.269747,0.160946,0.107244,0.094291,-0.004869,-0.111854,-0.176946,0.016554,-0.076200,-0.153059,-0.060847,0.184714,-0.106004,0.120483,0.011432,-0.087410,0.021590,-0.151247,-0.091340
seq1005,-0.046162,0.023095,-0.052634,0.076044,-0.118270,-0.174608,0.034422,0.122830,-0.041966,-0.040164,-0.104179,0.100912,0.029444,0.100310,-0.001486,0.121502,-0.086706,-0.204331,-0.225106,0.046507,-0.056232,0.020135,0.048560,0.142135,-0.100073,-0.048471,0.002049,0.119132,-0.158669,0.153770,0.129650,-0.033889,-0.202299,-0.317290,-0.147334,0.075189,0.032450,0.212374,0.071214,-0.066220,-0.122059,-0.246331,-0.071157,0.073903,0.278607,0.190856,-0.025098,-0.128380,-0.205207,-0.118623,-0.062687,0.240696,0.089176,-0.076927,0.009818,-0.103136,-0.061133,0.030999,-0.019943,0.252985,0.102905,0.073883,-0.027234,-0.080377,-0.099418,-0.105649,0.016875,0.123649,0.033728,-0.087718,0.053657,-0.030914,0.289190,0.107758,0.078195,0.153258,-0.127279,-0.081507,-0.172844,-0.064388,0.002900,-0.029096,0.071150,-0.064665,0.130691,0.084498,0.062972,-0.041848,0.079111,-0.206115
seq1006,0.044043,-0.211768,0.063612,0.163291,-0.104468,-0.103215,0.143674,0.048754,0.008248,0.084618,-0.165353,-0.227389,-0.059434,0.038111,-0.095909,0.027160,0.048896,0.066889,-0.151318,-0.251635,0.061481,-0.050556,-0.065614,0.149226,0.250426,-0.000955,-0.243107,0.010397,-0.060936,-0.300966,-0.052977,0.021735,0.019795,0.146655,-0.101107,-0.060917,-0.079229,-0.035219,-0.237020,-0.104776,0.005345,-0.190291,-0.125697,0.144502,0.095010,-0.089899,0.181909,0.012858,0.129722,-0.031798,0.105646,-0.075614,-0.002597,0.025515,0.135415,-0.316665,0.042580,-0.023968,-0.113171,-0.141671,0.012749,0.003515,-0.146864,0.122998,-0.055490,0.050111,-0.156852,-0.117034,-0.155631,-0.124703,-0.113527,-0.076405,0.076127,0.007427,0.094334,-0.025244,0.142922,-0.035154,0.259219,0.186471,0.097557,-0.133055,-0.032692,-0.120453,0.002812,-0.202059,-0.238711,0.050307,-0.122689,-0.009632
seq1007,-0.201633,0.156775,-0.076791,-0.120374,-0.045868,-0.044929,0.214081,-0.085549,0.102585,-0.047315,-0.116020,0.069766,-0.197690,0.141156,-0.063171,0.252253,-0.276679,0.235688,-0.000391,0.093317,-0.047425,-0.323288,0.264898,-0.349809,0.126972,0.070653,-0.079920,0.028964,-0.279464,0.206352,-0.042141,-0.115496,-0.016953,0.196645,0.021960,-0.126139,-0.165471,-0.097170,0.022704,-0.020020,-0.194058,-0.221340,0.187297,0.114443,-0.162396,0.020883,0.093260,0.122816,-0.102465,-0.092493,-0.190072,0.215585,-0.032153,-0.220070,-0.072840,-0.001327,0.351405,0.034337,-0.194817,0.166068,-0.081228,-0.070873,0.201175,0.097485,0.118071,-0.067609,-0.001876,-0.182214,0.260024,0.082188,-0.139262,-0.007180,0.207925,0.022187,0.010211,0.012631,-0.187145,0.196230,-0.036634,-0.329068,-0.090845,0.182663,-0.097295,-0.183338,0.062589,-0.009001,0.129632,0.131927,-0.150166,-0.020031
seq1008,-0.024125,-0.249227,-0.015696,0.047441,-0.083623,0.120745,0.009053,-0.237997,-0.054895,0.104615,-0.061983,-0.121672,0.017805,-0.036061,-0.017923,0.276252,0.039702,-0.076629,-0.146324,-0.161452,0.056128,0.115071,0.031220,-0.096976,0.019182,0.012913,0.133498,0.042887,-0.054790,-0.050670,-0.087414,-0.014115,-0.087138,-0.014930,-0.064617,-0.111852,-0.023515,-0.108574,0.054220,0.190464,-0.023656,0.000515,0.082313,0.006771,0.003383,-0.208046,0.195362,-0.006809,-0.024836,-0.144797,-0.014672,0.139337,0.039336,0.086649,-0.192263,0.105193,-0.015090,-0.022841,-0.149288,-0.048557,-0.037434,-0.102483,-0.295447,0.085388,0.183343,-0.104659,-0.043419,-0.218949,0.166437,0.001113,-0.080393,-0.027587,0.051365,0.173295,-0.093017,-0.020758,-0.040532,-0.096943,-0.078415,-0.072590,0.057446,-0.079222,0.092046,-0.078577,-0.103373,-0.005066,0.095307,0.089947,-0.012871,-0.040411
seq1009,-0.192040,0.051169,-0.003662,-0.116003,-0.026400,0.017094,-0.147706,-0.036399,0.099021,-0.167833,0.053096,-0.079773,-0.134393,0.075782,0.037095,-0.105212,0.255634,-0.033651,0.003099,0.036514,-0.201277,0.084266,0.038342,-0.049253,-0.078644,-0.079093,-0.039785,0.216366,-0.049897,-0.020202,-0.246270,-0.181085,0.078676,-0.066587,-0.018375,0.057535,-0.038980,-0.037086,-0.048663,-0.091501,0.068298,-0.045806,0.021751,-0.114478,0.061196,-0.005192,0.215942,0.038411,-0.113846,0.029167,0.012335,0.038800,-0.056901,0.169667,-0.113184,-0.220106,0.026608,0.232110,-0.038703,-0.133775,-0.126311,-0.054045,0.053117,-0.125980,-0.015144,-0.013068,-0.089591,0.047138,-0.095266,-0.189371,0.119137,-0.069752,0.172105,-0.009107,0.087831,-0.022195,-0.051911,-0.098786,0.021552,-0.156641,0.015509,0.025876,-0.105829,0.130621,-0.032595,-0.029616,0.131142,0.387909,-0.253726,-0.034767
