F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13, F14, F15, F16, F17, F18, F19, F20, F21, F22, F23, F24, F25, F26, Class
19, 0, 23, 16, 27, 17, 20, 25, 6, 0, 44, 26, 4, 13, 0, 15, 10, 20, 26, 23, 0, 19, 2, 0, 11, 0, DRNA
8, 0, 8, 4, 28, 10, 26, 8, 4, 0, 21, 11, 6, 7, 0, 21, 15, 18, 29, 10, 0, 12, 1, 0, 6, 0, DRNA
26, 0, 6, 14, 17, 16, 37, 8, 16, 0, 19, 13, 15, 22, 0, 23, 35, 13, 29, 24, 0, 26, 10, 0, 17, 0, DRNA
130, 0, 17, 94, 97, 46, 119, 48, 55, 0, 106, 200, 22, 44, 0, 162, 94, 116, 83, 129, 0, 90, 38, 0, 48, 0, DRNA
12, 0, 2, 10, 36, 17, 30, 1, 28, 0, 36, 32, 3, 6, 0, 19, 2, 14, 17, 15, 0, 25, 3, 0, 14, 0, DRNA
16, 0, 4, 17, 22, 17, 24, 0, 28, 0, 32, 31, 10, 21, 0, 9, 15, 11, 28, 19, 0, 16, 3, 0, 13, 0, DRNA
134, 0, 11, 74, 160, 41, 111, 23, 71, 0, 99, 162, 26, 28, 0, 79, 60, 120, 57, 61, 0, 149, 11, 0, 47, 0, DRNA
130, 0, 11, 76, 159, 42, 113, 24, 70, 0, 93, 161, 28, 28, 0, 76, 56, 128, 61, 60, 0, 151, 10, 0, 47, 0, DRNA
36, 0, 0, 21, 68, 8, 22, 6, 25, 0, 39, 57, 5, 6, 0, 26, 17, 31, 21, 16, 0, 22, 3, 0, 9, 0, DRNA
48, 0, 16, 56, 77, 32, 63, 23, 46, 0, 67, 81, 20, 27, 0, 32, 25, 52, 42, 42, 0, 80, 10, 0, 31, 0, DRNA
83, 0, 7, 84, 102, 35, 102, 19, 65, 0, 52, 97, 31, 43, 0, 59, 37, 78, 66, 67, 0, 110, 9, 0, 23, 0, DRNA
5, 0, 0, 2, 10, 7, 9, 1, 3, 0, 5, 2, 1, 3, 0, 1, 4, 1, 3, 2, 0, 7, 1, 0, 0, 0, DRNA
83, 0, 21, 52, 90, 47, 91, 30, 49, 0, 89, 109, 26, 50, 0, 84, 56, 71, 111, 63, 0, 61, 10, 0, 33, 0, DRNA
20, 0, 3, 21, 19, 15, 23, 8, 22, 0, 24, 26, 5, 18, 0, 8, 16, 13, 20, 20, 0, 17, 1, 0, 16, 0, DRNA
91, 0, 0, 42, 87, 27, 58, 18, 25, 0, 42, 124, 16, 12, 0, 48, 16, 76, 31, 30, 0, 51, 14, 0, 24, 0, DRNA
80, 0, 17, 77, 93, 50, 83, 33, 91, 0, 74, 106, 40, 41, 0, 53, 48, 79, 75, 70, 0, 61, 7, 0, 46, 0, DRNA
26, 0, 6, 22, 22, 22, 55, 5, 14, 0, 20, 21, 18, 28, 0, 16, 24, 20, 41, 15, 0, 25, 6, 0, 8, 0, DRNA
104, 0, 20, 104, 115, 56, 111, 34, 100, 0, 91, 134, 55, 64, 0, 133, 82, 86, 160, 102, 0, 110, 14, 0, 68, 0, DRNA
282, 0, 97, 123, 118, 91, 248, 65, 132, 0, 97, 300, 57, 87, 0, 205, 91, 175, 222, 220, 0, 236, 65, 0, 99, 0, DRNA
28, 0, 5, 12, 21, 13, 27, 9, 10, 0, 17, 15, 7, 12, 0, 14, 11, 24, 17, 12, 0, 18, 8, 0, 6, 0, DRNA
45, 0, 2, 21, 30, 16, 24, 15, 11, 0, 14, 57, 3, 18, 0, 27, 34, 36, 28, 20, 0, 16, 12, 0, 5, 0, DRNA
20, 0, 2, 35, 53, 47, 19, 9, 66, 0, 81, 58, 6, 58, 0, 24, 12, 12, 31, 25, 0, 30, 3, 0, 48, 0, DRNA
