Feature,[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50]
seq5000,0.041656,0.027771,0.006943,0.020828,0.006943,0.055542,0.006943,0.034714,0.006943,0.006943,0.090255,0.013885,0.006943,0.013885,0.034714,0.041656,0.020828,0.006943,0.048599,0.062484,0.013161,0.010581,0.014617,0.011466,0.015740,0.014875,0.016108,0.014395,0.015349,0.013770,0.015918,0.012534,0.014708,0.013311,0.013510,0.014522,0.015085,0.015723,0.016694,0.016219,0.016658,0.017544,0.014187,0.017060,0.013280,0.017468,0.012459,0.017371,0.013344,0.016927,0.074389,0.049592,0.012398,0.037194,0.012398,0.099185,0.012398,0.061990,0.012398,0.012398,0.161175,0.024796,0.012398,0.024796,0.061990,0.074389,0.037194,0.012398,0.086787,0.111583,0.000260,0.000308,0.000255,0.000252,0.000278,0.000283,0.000294,0.000313,0.000251,0.000265,0.000280,0.000258,0.000280,0.000280,0.000254,0.000239,0.000289,0.000313,0.000303,0.000237,0.000306,0.000276,0.000318,0.000258,0.000288,0.000227,0.000188,0.000286,0.000251,0.000263,0.036000,0.024000,0.006000,0.018000,0.006000,0.048000,0.006000,0.030000,0.006000,0.006000,0.078000,0.012000,0.006000,0.012000,0.030000,0.036000,0.018000,0.006000,0.042000,0.054000,0.015222,0.012573,0.017056,0.012788,0.017993,0.015384,0.018576,0.015416,0.018002,0.016231,0.017715,0.013538,0.018208,0.015744,0.014685,0.015544,0.018577,0.020304,0.020552,0.018877,0.018743,0.022352,0.016887,0.018436,0.017458,0.020641,0.017313,0.018709,0.016746,0.019732
seq5001,0.041334,0.027556,0.020667,0.020667,0.013778,0.013778,0.013778,0.034445,0.000000,0.034445,0.068889,0.055112,0.013778,0.020667,0.034445,0.068889,0.020667,0.006889,0.006889,0.034445,0.016121,0.015089,0.014871,0.016667,0.015334,0.015579,0.014782,0.014437,0.012140,0.013024,0.016983,0.015163,0.014856,0.017340,0.015856,0.016567,0.015514,0.015328,0.010986,0.014210,0.016066,0.015682,0.016061,0.015150,0.014977,0.015892,0.011936,0.013840,0.013168,0.015265,0.074331,0.049554,0.037166,0.037166,0.024777,0.024777,0.024777,0.061943,0.000000,0.061943,0.123885,0.099108,0.024777,0.037166,0.061943,0.123885,0.037166,0.012389,0.012389,0.061943,0.000326,0.000281,0.000325,0.000380,0.000316,0.000309,0.000284,0.000361,0.000227,0.000281,0.000280,0.000268,0.000385,0.000285,0.000351,0.000280,0.000262,0.000230,0.000256,0.000317,0.000213,0.000383,0.000247,0.000349,0.000318,0.000258,0.000295,0.000248,0.000301,0.000302,0.036928,0.024619,0.018464,0.018464,0.012309,0.012309,0.012309,0.030774,0.000000,0.030774,0.061547,0.049238,0.012309,0.018464,0.030774,0.061547,0.018464,0.006155,0.006155,0.030774,0.018283,0.019974,0.017916,0.020040,0.014788,0.020146,0.019025,0.017632,0.013157,0.012413,0.020901,0.018592,0.016492,0.016293,0.018202,0.019684,0.017638,0.014645,0.009038,0.015891,0.018767,0.016892,0.017496,0.016072,0.017339,0.019589,0.012873,0.014841,0.014725,0.018274
seq5002,0.089509,0.013771,0.006885,0.027541,0.000000,0.013771,0.013771,0.048197,0.000000,0.027541,0.089509,0.013771,0.041312,0.041312,0.013771,0.027541,0.027541,0.000000,0.006885,0.048197,0.016020,0.015101,0.013579,0.015372,0.013230,0.014593,0.015971,0.017237,0.012715,0.013631,0.014662,0.015079,0.015986,0.014740,0.013629,0.014973,0.014612,0.014158,0.015438,0.014310,0.017589,0.017407,0.016133,0.014636,0.014270,0.014113,0.013587,0.017074,0.014913,0.014419,0.161017,0.024772,0.012386,0.049544,0.000000,0.024772,0.024772,0.086702,0.000000,0.049544,0.161017,0.024772,0.074316,0.074316,0.024772,0.049544,0.049544,0.000000,0.012386,0.086702,0.000339,0.000277,0.000263,0.000310,0.000316,0.000333,0.000281,0.000312,0.000263,0.000296,0.000262,0.000308,0.000260,0.000323,0.000276,0.000314,0.000279,0.000255,0.000268,0.000307,0.000284,0.000336,0.000282,0.000342,0.000382,0.000238,0.000423,0.000327,0.000366,0.000301,0.085764,0.013194,0.006597,0.026389,0.000000,0.013194,0.013194,0.046181,0.000000,0.026389,0.085764,0.013194,0.039583,0.039583,0.013194,0.026389,0.026389,0.000000,0.006597,0.046181,0.019328,0.015070,0.014064,0.016682,0.014718,0.016850,0.015585,0.019574,0.015284,0.014202,0.014869,0.013525,0.013385,0.014825,0.013288,0.016123,0.015402,0.014370,0.018145,0.015499,0.017953,0.018613,0.014810,0.014272,0.016291,0.016444,0.011954,0.019691,0.015282,0.016120
seq5003,0.081790,0.052048,0.000000,0.029742,0.014871,0.007435,0.074354,0.029742,0.014871,0.014871,0.066919,0.037177,0.007435,0.022306,0.014871,0.037177,0.014871,0.000000,0.037177,0.037177,0.012829,0.014261,0.013983,0.011786,0.014763,0.015157,0.015011,0.015018,0.014599,0.014356,0.013080,0.012802,0.012288,0.013433,0.013679,0.011398,0.010618,0.014523,0.014540,0.012029,0.012673,0.015014,0.014577,0.013522,0.012261,0.014418,0.012896,0.014072,0.011693,0.013888,0.136495,0.086860,0.000000,0.049634,0.024817,0.012409,0.124086,0.049634,0.024817,0.024817,0.111677,0.062043,0.012409,0.037226,0.024817,0.062043,0.024817,0.000000,0.062043,0.062043,0.000235,0.000255,0.000220,0.000258,0.000280,0.000230,0.000230,0.000255,0.000232,0.000268,0.000310,0.000219,0.000267,0.000236,0.000264,0.000249,0.000248,0.000285,0.000232,0.000236,0.000204,0.000185,0.000223,0.000234,0.000264,0.000189,0.000273,0.000272,0.000232,0.000227,0.080106,0.050977,0.000000,0.029129,0.014565,0.007282,0.072824,0.029129,0.014565,0.014565,0.065541,0.036412,0.007282,0.021847,0.014565,0.036412,0.014565,0.000000,0.036412,0.036412,0.013606,0.016206,0.014501,0.013792,0.017383,0.016922,0.013045,0.016157,0.014019,0.014688,0.012293,0.013592,0.014839,0.012912,0.014936,0.013420,0.012745,0.013308,0.015689,0.013978,0.011469,0.015160,0.011736,0.012123,0.011299,0.016508,0.011947,0.011773,0.013129,0.014235
seq5004,0.020793,0.020793,0.013862,0.006931,0.006931,0.020793,0.013862,0.034656,0.006931,0.055449,0.062380,0.034656,0.013862,0.048518,0.041587,0.027725,0.041587,0.000000,0.020793,0.062380,0.015058,0.014946,0.013617,0.014076,0.013397,0.014961,0.012932,0.014416,0.015488,0.015282,0.012789,0.013912,0.014146,0.014140,0.014569,0.015433,0.013940,0.016543,0.015327,0.016732,0.015438,0.014680,0.017961,0.013989,0.017578,0.013622,0.012161,0.015547,0.016077,0.016749,0.037114,0.037114,0.024743,0.012371,0.012371,0.037114,0.024743,0.061857,0.012371,0.098971,0.111342,0.061857,0.024743,0.086599,0.074228,0.049485,0.074228,0.000000,0.037114,0.111342,0.000353,0.000330,0.000304,0.000258,0.000333,0.000327,0.000274,0.000288,0.000349,0.000388,0.000326,0.000320,0.000303,0.000435,0.000361,0.000329,0.000335,0.000459,0.000356,0.000327,0.000361,0.000463,0.000362,0.000284,0.000380,0.000391,0.000290,0.000282,0.000391,0.000332,0.017253,0.017253,0.011502,0.005751,0.005751,0.017253,0.011502,0.028755,0.005751,0.046008,0.051759,0.028755,0.011502,0.040257,0.034506,0.023004,0.034506,0.000000,0.017253,0.051759,0.020359,0.018850,0.017628,0.016936,0.016367,0.019862,0.017019,0.017542,0.018689,0.020728,0.016026,0.016593,0.015072,0.019207,0.017714,0.016717,0.016618,0.020707,0.016504,0.016829,0.019562,0.016525,0.021566,0.015353,0.022961,0.014682,0.012279,0.019336,0.021148,0.020543
seq5005,0.042833,0.035694,0.000000,0.021416,0.014278,0.021416,0.035694,0.092804,0.007139,0.000000,0.085665,0.014278,0.035694,0.007139,0.049971,0.042833,0.028555,0.000000,0.014278,0.021416,0.013959,0.014041,0.011822,0.012952,0.014329,0.012338,0.012496,0.012223,0.013517,0.013619,0.014987,0.014430,0.015211,0.014664,0.014959,0.013000,0.016815,0.015097,0.015028,0.014513,0.014285,0.013786,0.017450,0.015688,0.015225,0.016516,0.016119,0.011907,0.013586,0.014335,0.074416,0.062014,0.000000,0.037208,0.024805,0.037208,0.062014,0.161235,0.012403,0.000000,0.148832,0.024805,0.062014,0.012403,0.086819,0.074416,0.049611,0.000000,0.024805,0.037208,0.000288,0.000309,0.000137,0.000306,0.000265,0.000139,0.000309,0.000281,0.000152,0.000322,0.000266,0.000167,0.000329,0.000255,0.000195,0.000354,0.000278,0.000206,0.000309,0.000285,0.000202,0.000335,0.000291,0.000201,0.000330,0.000252,0.000193,0.000317,0.000290,0.000221,0.041679,0.034733,0.000000,0.020840,0.013893,0.020840,0.034733,0.090305,0.006947,0.000000,0.083358,0.013893,0.034733,0.006947,0.048626,0.041679,0.027786,0.000000,0.013893,0.020840,0.015369,0.018839,0.011774,0.017027,0.016106,0.012122,0.015141,0.014643,0.012395,0.016012,0.015776,0.013875,0.014634,0.016209,0.014229,0.011656,0.016396,0.016442,0.012515,0.014426,0.013580,0.011445,0.017439,0.015976,0.015117,0.018262,0.015473,0.011662,0.013850,0.015892
seq5006,0.055050,0.041288,0.041288,0.055050,0.013763,0.020644,0.034407,0.013763,0.027525,0.048169,0.082576,0.013763,0.013763,0.020644,0.013763,0.006881,0.006881,0.000000,0.000000,0.041288,0.016399,0.014117,0.015692,0.016032,0.015214,0.014888,0.015518,0.016137,0.013986,0.016119,0.012066,0.015032,0.014870,0.015292,0.014523,0.015545,0.014649,0.015228,0.016919,0.016773,0.016807,0.012301,0.016601,0.014240,0.016825,0.015464,0.011868,0.013751,0.012319,0.014321,0.098881,0.074161,0.074161,0.098881,0.024720,0.037080,0.061801,0.024720,0.049441,0.086521,0.148322,0.024720,0.024720,0.037080,0.024720,0.012360,0.012360,0.000000,0.000000,0.074161,0.000416,0.000412,0.000368,0.000429,0.000348,0.000426,0.000328,0.000335,0.000380,0.000407,0.000366,0.000327,0.000368,0.000389,0.000387,0.000358,0.000386,0.000405,0.000385,0.000355,0.000355,0.000438,0.000348,0.000395,0.000315,0.000377,0.000312,0.000285,0.000460,0.000328,0.053543,0.040157,0.040157,0.053543,0.013386,0.020079,0.033464,0.013386,0.026772,0.046850,0.080315,0.013386,0.013386,0.020079,0.013386,0.006693,0.006693,0.000000,0.000000,0.040157,0.017702,0.014964,0.016050,0.016532,0.014754,0.015115,0.014574,0.016642,0.015744,0.016590,0.013578,0.015062,0.017392,0.016980,0.017372,0.014817,0.014672,0.014936,0.015148,0.015771,0.017033,0.013762,0.015262,0.014524,0.020307,0.016397,0.013806,0.012509,0.012520,0.014053
seq5007,0.115472,0.061585,0.007698,0.015396,0.007698,0.061585,0.030793,0.046189,0.015396,0.007698,0.076981,0.015396,0.007698,0.007698,0.076981,0.015396,0.015396,0.007698,0.000000,0.023094,0.012391,0.013593,0.011926,0.011937,0.013538,0.012093,0.010020,0.011056,0.010972,0.011955,0.014263,0.013216,0.012994,0.011843,0.013183,0.011728,0.011543,0.013120,0.013358,0.013763,0.012842,0.012796,0.012504,0.012909,0.013788,0.013329,0.015035,0.014196,0.013737,0.014522,0.186522,0.099478,0.012435,0.024870,0.012435,0.099478,0.049739,0.074609,0.024870,0.012435,0.124348,0.024870,0.012435,0.012435,0.124348,0.024870,0.024870,0.012435,0.000000,0.037304,0.000201,0.000188,0.000200,0.000214,0.000160,0.000162,0.000188,0.000158,0.000203,0.000188,0.000154,0.000189,0.000147,0.000202,0.000168,0.000140,0.000169,0.000137,0.000209,0.000197,0.000151,0.000171,0.000145,0.000131,0.000207,0.000162,0.000183,0.000161,0.000146,0.000187,0.100882,0.053804,0.006725,0.013451,0.006725,0.053804,0.026902,0.040353,0.013451,0.006725,0.067255,0.013451,0.006725,0.006725,0.067255,0.013451,0.013451,0.006725,0.000000,0.020176,0.017384,0.018631,0.013390,0.013078,0.016082,0.013652,0.014401,0.013831,0.015774,0.015015,0.016295,0.016023,0.014455,0.014917,0.017300,0.016901,0.012729,0.017046,0.015169,0.014582,0.014596,0.016684,0.014120,0.015031,0.017258,0.014949,0.015738,0.016273,0.014668,0.015985
seq5008,0.020284,0.020284,0.040568,0.033807,0.006761,0.000000,0.006761,0.033807,0.000000,0.054091,0.074375,0.013523,0.006761,0.040568,0.020284,0.027046,0.060853,0.000000,0.040568,0.040568,0.015491,0.014741,0.016137,0.016765,0.010116,0.013758,0.014465,0.017667,0.017956,0.012656,0.011784,0.014153,0.016377,0.018208,0.015459,0.014372,0.012514,0.015657,0.017193,0.015925,0.016561,0.014836,0.015720,0.015671,0.017994,0.015641,0.014922,0.013250,0.015575,0.017524,0.037029,0.037029,0.074059,0.061716,0.012343,0.000000,0.012343,0.061716,0.000000,0.098745,0.135774,0.024686,0.012343,0.074059,0.037029,0.049372,0.111088,0.000000,0.074059,0.074059,0.000408,0.000439,0.000378,0.000401,0.000394,0.000433,0.000348,0.000417,0.000387,0.000316,0.000455,0.000436,0.000525,0.000427,0.000458,0.000451,0.000397,0.000465,0.000473,0.000336,0.000467,0.000462,0.000403,0.000435,0.000428,0.000380,0.000387,0.000490,0.000427,0.000326,0.016759,0.016759,0.033517,0.027931,0.005586,0.000000,0.005586,0.027931,0.000000,0.044690,0.061448,0.011172,0.005586,0.033517,0.016759,0.022345,0.050276,0.000000,0.033517,0.033517,0.017455,0.018096,0.020610,0.023167,0.013322,0.016181,0.018052,0.021604,0.022589,0.016976,0.013443,0.017148,0.018450,0.021390,0.021254,0.017773,0.013873,0.016924,0.018162,0.022214,0.019652,0.021418,0.017016,0.017490,0.021848,0.016735,0.020349,0.013977,0.017580,0.018358
seq5009,0.035063,0.049089,0.021038,0.000000,0.021038,0.007013,0.028051,0.056101,0.007013,0.014025,0.098177,0.049089,0.007013,0.021038,0.035063,0.042076,0.021038,0.000000,0.021038,0.028051,0.012892,0.014274,0.014377,0.012937,0.013406,0.012090,0.012361,0.011442,0.012763,0.013699,0.016310,0.013993,0.014192,0.012659,0.014560,0.017418,0.013351,0.014556,0.015645,0.014783,0.016473,0.015989,0.018447,0.016965,0.014637,0.014203,0.016565,0.017864,0.015324,0.014814,0.062017,0.086824,0.037210,0.000000,0.037210,0.012403,0.049614,0.099228,0.012403,0.024807,0.173648,0.086824,0.012403,0.037210,0.062017,0.074421,0.037210,0.000000,0.037210,0.049614,0.000278,0.000255,0.000265,0.000243,0.000262,0.000233,0.000281,0.000255,0.000213,0.000263,0.000256,0.000247,0.000291,0.000269,0.000246,0.000293,0.000257,0.000239,0.000271,0.000259,0.000254,0.000309,0.000249,0.000261,0.000262,0.000228,0.000252,0.000271,0.000237,0.000222,0.032278,0.045189,0.019367,0.000000,0.019367,0.006456,0.025822,0.051645,0.006456,0.012911,0.090379,0.045189,0.006456,0.019367,0.032278,0.038734,0.019367,0.000000,0.019367,0.025822,0.017038,0.014322,0.016726,0.013769,0.015758,0.013397,0.014127,0.014569,0.016182,0.015313,0.017700,0.015519,0.017517,0.015119,0.014701,0.021190,0.015426,0.015349,0.016631,0.018319,0.018701,0.016593,0.019704,0.015517,0.014931,0.014330,0.017677,0.018135,0.014306,0.014986
