Feature,[G5.1.1.1],[G5.1.1.2],[G5.1.1.3],[G5.1.1.4],[G5.1.1.5],[G5.1.1.6],[G5.1.1.7],[G5.1.1.8],[G5.1.1.9],[G5.1.1.10],[G5.1.1.11],[G5.1.1.12],[G5.1.1.13],[G5.1.1.14],[G5.1.1.15],[G5.1.1.16],[G5.1.1.17],[G5.1.1.18],[G5.1.1.19],[G5.1.1.20],[G5.1.1.21],[G5.1.1.22],[G5.1.1.23],[G5.1.1.24],[G5.1.1.25],[G5.1.1.26],[G5.1.1.27],[G5.1.1.28],[G5.1.1.29],[G5.1.1.30],[G5.1.2.1],[G5.1.2.2],[G5.1.2.3],[G5.1.2.4],[G5.1.2.5],[G5.1.2.6],[G5.1.2.7],[G5.1.2.8],[G5.1.2.9],[G5.1.2.10],[G5.1.2.11],[G5.1.2.12],[G5.1.2.13],[G5.1.2.14],[G5.1.2.15],[G5.1.2.16],[G5.1.2.17],[G5.1.2.18],[G5.1.2.19],[G5.1.2.20],[G5.1.2.21],[G5.1.2.22],[G5.1.2.23],[G5.1.2.24],[G5.1.2.25],[G5.1.2.26],[G5.1.2.27],[G5.1.2.28],[G5.1.2.29],[G5.1.2.30],[G5.1.2.31],[G5.1.2.32],[G5.1.2.33],[G5.1.2.34],[G5.1.2.35],[G5.1.2.36],[G5.1.2.37],[G5.1.2.38],[G5.1.2.39],[G5.1.2.40],[G5.1.2.41],[G5.1.2.42],[G5.1.2.43],[G5.1.2.44],[G5.1.2.45],[G5.1.2.46],[G5.1.2.47],[G5.1.2.48],[G5.1.2.49],[G5.1.2.50],[G5.2.1.1],[G5.2.1.2],[G5.2.1.3],[G5.2.1.4],[G5.2.1.5],[G5.2.1.6],[G5.2.1.7],[G5.2.1.8],[G5.2.1.9],[G5.2.1.10],[G5.2.1.11],[G5.2.1.12],[G5.2.1.13],[G5.2.1.14],[G5.2.1.15],[G5.2.1.16],[G5.2.1.17],[G5.2.1.18],[G5.2.1.19],[G5.2.1.20],[G5.2.1.21],[G5.2.1.22],[G5.2.1.23],[G5.2.1.24],[G5.2.1.25],[G5.2.1.26],[G5.2.1.27],[G5.2.1.28],[G5.2.1.29],[G5.2.1.30],[G5.2.2.1],[G5.2.2.2],[G5.2.2.3],[G5.2.2.4],[G5.2.2.5],[G5.2.2.6],[G5.2.2.7],[G5.2.2.8],[G5.2.2.9],[G5.2.2.10],[G5.2.2.11],[G5.2.2.12],[G5.2.2.13],[G5.2.2.14],[G5.2.2.15],[G5.2.2.16],[G5.2.2.17],[G5.2.2.18],[G5.2.2.19],[G5.2.2.20],[G5.2.2.21],[G5.2.2.22],[G5.2.2.23],[G5.2.2.24],[G5.2.2.25],[G5.2.2.26],[G5.2.2.27],[G5.2.2.28],[G5.2.2.29],[G5.2.2.30],[G5.2.2.31],[G5.2.2.32],[G5.2.2.33],[G5.2.2.34],[G5.2.2.35],[G5.2.2.36],[G5.2.2.37],[G5.2.2.38],[G5.2.2.39],[G5.2.2.40],[G5.2.2.41],[G5.2.2.42],[G5.2.2.43],[G5.2.2.44],[G5.2.2.45],[G5.2.2.46],[G5.2.2.47],[G5.2.2.48],[G5.2.2.49],[G5.2.2.50]
seq3000,34.212217,30.194278,26.205687,25.271163,27.757090,30.583506,27.667237,25.478808,28.068310,30.053662,29.273386,23.172024,23.135096,28.675275,27.598570,27.563344,24.689918,28.945709,26.128241,20.218749,25.429956,24.978479,25.849730,21.557485,22.702979,22.677713,21.104105,20.924970,19.324131,22.619383,0.000959,0.000000,0.000799,0.000959,0.000320,0.001119,0.000000,0.000000,0.001119,0.001279,0.000480,0.000639,0.000320,0.000639,0.000480,0.000320,0.000000,0.002238,0.000480,0.000639,0.043746,0.038609,0.033508,0.032314,0.035492,0.039106,0.035377,0.032579,0.035890,0.038429,0.037431,0.029629,0.029582,0.036666,0.035290,0.035244,0.031570,0.037012,0.033409,0.025853,0.032517,0.031939,0.033053,0.027565,0.029030,0.028997,0.026985,0.026756,0.024709,0.028923,19.509854,17.109876,14.984705,14.924803,17.009173,17.652136,15.497610,16.529735,16.517339,18.172720,15.283548,14.565062,14.073770,14.861352,14.059427,15.078507,11.993835,15.347518,14.895230,10.753229,13.505311,12.445841,13.182196,11.406490,12.016160,12.572569,9.960195,11.340530,11.411011,11.290016,0.001713,0.000856,0.001142,0.001427,0.000000,0.001142,0.001713,0.001998,0.000000,0.000000,0.002283,0.001998,0.000856,0.000571,0.000571,0.000571,0.000000,0.000856,0.001142,0.003996,0.044548,0.039068,0.034216,0.034079,0.038838,0.040306,0.035387,0.037743,0.037715,0.041495,0.034898,0.033257,0.032136,0.033934,0.032103,0.034430,0.027386,0.035044,0.034011,0.024554,0.030838,0.028418,0.030100,0.026045,0.027437,0.028708,0.022743,0.025895,0.026056,0.025779
seq3001,18.988601,19.859159,18.384961,15.762047,21.302432,20.378365,16.389301,15.991720,17.562183,19.474840,13.630985,16.995631,19.492330,17.103167,15.127232,17.974628,18.548146,15.029677,16.551328,15.406920,15.851650,13.254093,11.321485,15.257127,16.173439,13.252950,13.422920,14.073560,12.573448,11.160614,0.001511,0.000000,0.000000,0.001007,0.000504,0.001259,0.000252,0.000252,0.000252,0.001511,0.000252,0.000504,0.002015,0.006549,0.001259,0.001007,0.000504,0.001007,0.000000,0.000504,0.038261,0.040015,0.037044,0.031759,0.042923,0.041061,0.033023,0.032222,0.035387,0.039240,0.027465,0.034245,0.039276,0.034462,0.030480,0.036218,0.037373,0.030284,0.033350,0.031044,0.031940,0.026706,0.022812,0.030742,0.032588,0.026704,0.027046,0.028357,0.025335,0.022488,10.418172,10.687637,10.351888,7.590222,11.732115,10.298064,8.015554,8.481211,10.924738,10.447377,9.813997,9.980963,10.942455,9.741006,9.274938,9.501244,10.403137,10.418064,10.838615,10.379600,9.167139,8.520130,8.515782,9.801082,9.577956,8.513878,8.183645,7.901460,7.209173,6.635760,0.002549,0.002124,0.000850,0.000000,0.000000,0.011044,0.001699,0.002124,0.000425,0.000425,0.002549,0.000425,0.000425,0.000850,0.003398,0.001699,0.000850,0.000000,0.000850,0.001699,0.035404,0.036320,0.035179,0.025794,0.039869,0.034996,0.027239,0.028821,0.037125,0.035503,0.033351,0.033918,0.037185,0.033103,0.031519,0.032288,0.035353,0.035403,0.036833,0.035273,0.031152,0.028954,0.028939,0.033307,0.032549,0.028932,0.027810,0.026851,0.024499,0.022550
seq3002,22.832733,22.938990,21.092965,23.316797,19.081783,20.552242,21.241626,21.455044,19.802732,18.039836,15.904117,20.019646,17.591870,20.956468,18.427598,16.740647,19.676026,15.144126,19.880964,16.907970,18.206976,15.050603,14.571943,17.535884,17.052707,15.391570,14.625688,15.841503,12.597009,16.299256,0.000895,0.001790,0.000224,0.000671,0.000224,0.001566,0.000000,0.000671,0.000895,0.002461,0.000224,0.000671,0.001119,0.000224,0.000895,0.002013,0.001342,0.001342,0.000000,0.000671,0.040862,0.041052,0.037748,0.041728,0.034149,0.036781,0.038014,0.038396,0.035439,0.032284,0.028462,0.035828,0.031483,0.037504,0.032978,0.029959,0.035213,0.027102,0.035579,0.030259,0.032584,0.026935,0.026078,0.031383,0.030518,0.027545,0.026174,0.028350,0.022544,0.029170,20.043764,21.492655,21.019708,19.144381,20.556495,18.328610,20.648978,21.318659,19.951087,16.857220,18.522661,18.594462,18.456203,19.203699,17.889778,16.749811,17.244067,18.300076,19.290384,17.049346,17.281904,14.599913,13.155370,15.514678,17.754959,15.077707,14.376939,14.763721,11.941092,13.453348,0.000928,0.000928,0.000696,0.000232,0.001857,0.000232,0.000696,0.001625,0.000000,0.000696,0.002553,0.000928,0.000232,0.000232,0.001160,0.002089,0.001393,0.000000,0.000696,0.001393,0.037216,0.039906,0.039028,0.035546,0.038168,0.034031,0.038340,0.039583,0.037044,0.031299,0.034392,0.034525,0.034268,0.035656,0.033216,0.031100,0.032018,0.033978,0.035817,0.031656,0.032088,0.027108,0.024426,0.028807,0.032966,0.027995,0.026694,0.027412,0.022171,0.024979
seq3003,30.255843,27.499842,25.177515,29.428422,24.835980,34.485426,29.325874,30.514975,33.219284,24.981105,30.125415,25.991376,25.324245,25.639829,18.176034,26.160889,19.742323,22.620032,25.902391,21.207215,28.578479,24.912380,27.791800,26.607304,20.525473,27.040983,21.247169,19.082185,20.551558,13.790798,0.002108,0.000162,0.000324,0.001622,0.000162,0.001297,0.000000,0.000000,0.000000,0.002433,0.000162,0.000000,0.000649,0.000487,0.001622,0.000811,0.000162,0.000649,0.000162,0.000162,0.039255,0.035680,0.032667,0.038182,0.032223,0.044743,0.038049,0.039592,0.043100,0.032412,0.039086,0.033723,0.032857,0.033266,0.023583,0.033942,0.025615,0.029348,0.033607,0.027515,0.037079,0.032323,0.036058,0.034522,0.026631,0.035084,0.027567,0.024758,0.026665,0.017893,15.454451,15.260898,14.679286,14.496117,14.387453,17.393597,16.675197,16.308296,17.311498,15.000433,15.900725,15.853759,14.075587,14.473856,13.121147,14.167810,13.143905,13.760000,13.589789,12.042380,14.818410,12.894300,14.889259,12.720952,12.684262,12.476647,11.730038,11.151996,10.171357,7.965495,0.003791,0.002916,0.000000,0.000583,0.000292,0.000875,0.002916,0.002333,0.000000,0.000000,0.004375,0.000000,0.000292,0.000292,0.001167,0.001458,0.000292,0.000292,0.000292,0.001167,0.036058,0.035606,0.034249,0.033822,0.033569,0.040582,0.038906,0.038050,0.040391,0.034999,0.037099,0.036990,0.032841,0.033770,0.030614,0.033056,0.030667,0.032105,0.031707,0.028097,0.034574,0.030085,0.034739,0.029680,0.029595,0.029110,0.027368,0.026020,0.023732,0.018585
seq3004,28.062647,31.068300,29.290270,26.533310,26.786468,26.411472,26.235266,27.732954,30.645074,26.128941,22.571117,26.347374,27.088449,22.894106,24.296728,23.463172,20.590679,25.625430,25.236307,22.549012,20.016036,19.942044,21.162733,24.168183,20.794858,22.637716,19.523117,20.063714,19.068804,19.736999,0.000509,0.000509,0.000339,0.001188,0.000509,0.000848,0.000170,0.000679,0.000679,0.001527,0.000509,0.000509,0.000679,0.000679,0.000848,0.001697,0.000170,0.000509,0.000679,0.000339,0.038094,0.042174,0.039760,0.036018,0.036361,0.035852,0.035613,0.037646,0.041599,0.035469,0.030639,0.035765,0.036771,0.031078,0.032982,0.031850,0.027951,0.034785,0.034257,0.030609,0.027171,0.027070,0.028728,0.032807,0.028228,0.030730,0.026502,0.027236,0.025885,0.026792,16.533867,18.080216,18.133283,18.020379,17.873164,19.710200,17.198486,17.477231,19.243872,19.232645,16.884976,17.733651,18.946068,16.309292,16.831563,18.385592,15.607096,17.173953,16.175122,15.680714,15.247182,12.769843,15.612915,16.147474,14.402639,14.535295,15.248524,14.488048,12.620660,13.331357,0.000742,0.001236,0.000742,0.000494,0.000742,0.000989,0.001730,0.001236,0.000247,0.000989,0.002225,0.000989,0.000742,0.000742,0.000989,0.002472,0.000247,0.000989,0.000494,0.000742,0.032699,0.035757,0.035862,0.035639,0.035348,0.038981,0.034014,0.034565,0.038059,0.038037,0.033394,0.035072,0.037470,0.032255,0.033288,0.036361,0.030866,0.033965,0.031990,0.031012,0.030155,0.025255,0.030878,0.031935,0.028484,0.028747,0.030157,0.028653,0.024960,0.026366
seq3005,28.859086,26.189049,27.856285,26.956785,25.777240,25.758598,23.388829,27.502845,24.007741,21.731983,24.434819,24.040990,21.359681,23.390145,19.754217,21.506588,19.213656,23.989228,21.798478,18.868777,19.378193,15.481983,21.654499,15.775660,21.820792,18.581612,18.133911,15.448547,19.001165,18.567481,0.001492,0.000000,0.001119,0.001679,0.000746,0.000746,0.000000,0.001306,0.000560,0.002238,0.000373,0.000933,0.000187,0.000560,0.000373,0.000933,0.000933,0.000560,0.000000,0.000187,0.043059,0.039075,0.041562,0.040220,0.038460,0.038433,0.034897,0.041035,0.035820,0.032425,0.036457,0.035870,0.031869,0.034899,0.029474,0.032088,0.028667,0.035793,0.032524,0.028153,0.028913,0.023100,0.032309,0.023538,0.032557,0.027724,0.027056,0.023050,0.028350,0.027703,16.872688,15.999827,16.958637,17.589811,18.019686,16.855295,15.857653,17.541136,16.398204,14.492807,16.877382,14.488264,15.130838,13.543472,14.104294,14.256463,15.222369,14.454711,13.593770,12.985376,10.195176,11.284240,12.751498,9.729389,13.306933,11.614797,12.967701,9.983645,12.366144,12.477945,0.002284,0.000571,0.001427,0.001713,0.000000,0.000856,0.002569,0.001142,0.000000,0.001998,0.003425,0.000856,0.000571,0.001142,0.000285,0.001427,0.001427,0.000000,0.000285,0.000856,0.038529,0.036536,0.038725,0.040167,0.041148,0.038489,0.036211,0.040056,0.037446,0.033095,0.038540,0.033084,0.034552,0.030927,0.032207,0.032555,0.034761,0.033008,0.031042,0.029652,0.023281,0.025768,0.029118,0.022217,0.030387,0.026523,0.029612,0.022798,0.028238,0.028494
seq3006,36.783797,36.407828,30.810721,28.570711,29.935773,31.787935,30.854863,32.040585,23.226521,27.794593,36.842913,24.938260,26.052369,29.659018,28.636863,24.848393,26.720956,26.272706,26.792037,28.674065,21.037970,20.910334,25.125958,25.562119,20.567007,17.618376,24.330118,20.208571,22.715599,20.617686,0.000459,0.000000,0.001837,0.001531,0.000000,0.001531,0.000306,0.000000,0.000153,0.000000,0.000306,0.000153,0.000306,0.000612,0.001837,0.001531,0.000459,0.000000,0.000000,0.001225,0.045059,0.044599,0.037742,0.034998,0.036671,0.038939,0.037796,0.039249,0.028452,0.034048,0.045132,0.030549,0.031913,0.036331,0.035079,0.030439,0.032732,0.032183,0.032820,0.035125,0.025771,0.025615,0.030779,0.031313,0.025194,0.021582,0.029804,0.024755,0.027826,0.025256,15.571249,13.126122,12.320714,12.745527,13.359156,13.609432,12.247204,13.746977,9.822693,12.720757,13.702693,11.819924,11.362683,13.076149,12.087593,10.558680,12.767572,9.326663,13.179189,11.709876,10.556712,11.554419,9.939254,11.582628,9.159091,8.944446,8.910330,10.402661,9.006879,9.307950,0.001047,0.004187,0.000349,0.004187,0.000000,0.001396,0.003489,0.003489,0.000698,0.000000,0.000000,0.000349,0.000698,0.000000,0.000698,0.003489,0.001047,0.000000,0.002792,0.000000,0.043468,0.036642,0.034394,0.035580,0.037293,0.037991,0.034189,0.038375,0.027420,0.035511,0.038252,0.032996,0.031719,0.036503,0.033743,0.029475,0.035641,0.026036,0.036790,0.032689,0.029469,0.032255,0.027746,0.032333,0.025568,0.024969,0.024874,0.029039,0.025143,0.025984
seq3007,26.361637,24.863075,25.424111,26.383203,20.921380,27.048581,23.375848,24.011618,23.175164,23.371160,24.819106,26.813335,23.564688,23.159358,23.226201,18.898530,23.212890,19.611615,21.039122,25.331704,20.336867,23.746826,19.170131,20.490539,20.600260,19.055567,24.001822,18.405638,22.157043,17.282269,0.002174,0.000181,0.001450,0.001993,0.000000,0.001087,0.000544,0.000181,0.000181,0.000906,0.000181,0.000362,0.002356,0.000725,0.000544,0.000725,0.000362,0.000362,0.000000,0.000181,0.038213,0.036041,0.036854,0.038244,0.030327,0.039209,0.033885,0.034807,0.033594,0.033878,0.035977,0.038868,0.034159,0.033571,0.033668,0.027395,0.033649,0.028428,0.030498,0.036720,0.029480,0.034423,0.027788,0.029702,0.029862,0.027622,0.034792,0.026680,0.032118,0.025052,12.955738,13.456614,13.476063,14.817588,13.125214,14.136052,11.959913,12.485279,13.320195,11.741698,13.533694,12.845430,11.710352,12.475241,12.525235,11.328415,12.029465,10.246641,11.417112,10.707042,10.358486,11.521904,9.308253,9.598442,9.744121,9.307929,10.800346,8.300811,9.169951,7.228253,0.004218,0.001054,0.000703,0.002812,0.000351,0.001406,0.003866,0.002109,0.001054,0.000351,0.001757,0.000351,0.000351,0.000000,0.004569,0.001406,0.000703,0.000000,0.000351,0.000703,0.036430,0.037839,0.037893,0.041666,0.036907,0.039749,0.033630,0.035107,0.037455,0.033016,0.038055,0.036120,0.032928,0.035079,0.035220,0.031854,0.033826,0.028813,0.032104,0.030107,0.029127,0.032398,0.026174,0.026990,0.027399,0.026173,0.030369,0.023341,0.025785,0.020325
seq3008,27.148304,26.391124,27.888154,21.634543,24.595234,22.015165,23.641811,23.860720,21.558335,19.628840,24.513293,22.833552,21.958932,16.670746,21.926317,19.937858,20.291713,18.141218,18.807688,18.671942,17.998678,20.118404,18.138665,14.095255,16.233381,18.329963,16.872745,15.450930,15.666631,16.371057,0.001006,0.000000,0.001006,0.000402,0.000805,0.000805,0.000000,0.000402,0.000805,0.001810,0.000201,0.001207,0.000805,0.000603,0.000805,0.001207,0.000805,0.001810,0.000201,0.001408,0.043690,0.042471,0.044880,0.034816,0.039581,0.035429,0.038047,0.038399,0.034694,0.031589,0.039449,0.036746,0.035338,0.026828,0.035286,0.032086,0.032655,0.029195,0.030267,0.030049,0.028965,0.032376,0.029190,0.022683,0.026124,0.029498,0.027153,0.024865,0.025212,0.026346,18.022585,16.306284,19.495425,14.921276,16.353380,14.544770,16.440519,14.924305,14.951282,13.333283,16.729908,14.738496,15.268296,12.602639,14.639264,12.388902,12.110676,12.940638,11.866241,13.317404,12.122163,13.736009,12.020617,9.853348,10.558442,11.179492,11.002250,12.280000,10.242423,11.403937,0.001487,0.001190,0.001784,0.001487,0.000000,0.000892,0.000595,0.001190,0.000000,0.000595,0.002677,0.001190,0.000297,0.001190,0.001190,0.001784,0.001190,0.000297,0.002082,0.002677,0.042881,0.038797,0.046385,0.035502,0.038909,0.034606,0.039117,0.035509,0.035573,0.031724,0.039805,0.035067,0.036328,0.029985,0.034831,0.029477,0.028815,0.030789,0.028233,0.031686,0.028842,0.032682,0.028600,0.023444,0.025122,0.026599,0.026177,0.029218,0.024370,0.027133
seq3009,26.376409,25.987520,23.322347,23.181104,27.256694,25.826011,19.303842,24.035991,23.632155,21.985501,22.701450,22.503102,22.298408,25.509516,25.242827,19.170047,24.311870,22.625001,19.819881,18.852033,22.246751,18.559100,18.775526,20.835822,20.642317,19.627238,18.464677,18.815323,16.181638,18.847146,0.000937,0.000187,0.000562,0.000750,0.000375,0.000937,0.000562,0.000750,0.000750,0.001874,0.000750,0.000750,0.001687,0.000375,0.000750,0.000750,0.000937,0.000937,0.000000,0.000375,0.039549,0.038965,0.034969,0.034758,0.040868,0.038723,0.028944,0.036039,0.035434,0.032965,0.034038,0.033741,0.033434,0.038249,0.037849,0.028743,0.036453,0.033924,0.029718,0.028267,0.033357,0.027827,0.028152,0.031241,0.030951,0.029429,0.027686,0.028212,0.024263,0.028259,14.965149,16.444327,16.457112,15.399156,15.781655,15.933348,12.853824,13.590806,14.884305,12.212353,11.125906,11.733413,13.307561,15.429118,15.450362,12.133283,12.719329,12.942326,10.067020,10.244997,12.793467,11.507518,10.537674,11.557923,13.275349,11.817631,9.976333,10.768545,9.782931,7.351714,0.001590,0.001272,0.001272,0.000954,0.000318,0.000636,0.001272,0.001590,0.000954,0.001272,0.003180,0.001272,0.001272,0.000636,0.002862,0.001272,0.001590,0.000000,0.000636,0.001590,0.038075,0.041838,0.041871,0.039179,0.040152,0.040538,0.032703,0.034578,0.037869,0.031071,0.028307,0.029853,0.033858,0.039255,0.039309,0.030870,0.032361,0.032928,0.025613,0.026066,0.032550,0.029278,0.026810,0.029406,0.033776,0.030067,0.025382,0.027398,0.024890,0.018705
