Feature,[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G9.1],[G9.2],[G9.3]
seq7000,0.020458,0.013639,0.006819,0.034097,0.000000,0.040917,0.013639,0.013639,0.013639,0.047736,0.054556,0.047736,0.013639,0.040917,0.040917,0.095473,0.020458,0.000000,0.000000,0.027278,0.018382,0.016387,0.014502,0.014848,0.013392,0.017490,0.015861,0.014575,0.018522,0.012056,0.015626,0.014716,0.018281,0.014584,0.011236,0.018466,0.015348,0.013738,0.014210,0.013213,0.017379,0.014241,0.012800,0.016078,0.014920,0.014755,0.016364,0.015481,0.013748,0.013243,0.037176,0.024784,0.012392,0.061960,0.000000,0.074352,0.024784,0.024784,0.024784,0.086744,0.099136,0.086744,0.024784,0.074352,0.074352,0.173488,0.037176,0.000000,0.000000,0.049568,0.000335,0.000289,0.000306,0.000257,0.000297,0.000295,0.000278,0.000360,0.000312,0.000299,0.000272,0.000287,0.000315,0.000305,0.000217,0.000302,0.000237,0.000314,0.000241,0.000303,0.000264,0.000274,0.000314,0.000242,0.000279,0.000254,0.000306,0.000303,0.000330,0.000249,0.017175,0.011450,0.005725,0.028625,0.000000,0.034350,0.011450,0.011450,0.011450,0.040075,0.045800,0.040075,0.011450,0.034350,0.034350,0.080151,0.017175,0.000000,0.000000,0.022900,0.021091,0.017582,0.017495,0.017431,0.018715,0.021195,0.019089,0.017933,0.022351,0.014009,0.019010,0.015986,0.020008,0.018790,0.015185,0.021418,0.019413,0.015463,0.016206,0.016049,0.019333,0.016513,0.015762,0.017974,0.020892,0.018508,0.019259,0.018868,0.014448,0.016020,41.2098765,28.6150943,27.7163121
seq7001,0.061709,0.034283,0.020570,0.020570,0.013713,0.027426,0.013713,0.020570,0.006857,0.020570,0.061709,0.006857,0.020570,0.041139,0.034283,0.041139,0.034283,0.027426,0.000000,0.041139,0.012538,0.014296,0.014357,0.016028,0.012794,0.014182,0.012382,0.013126,0.014589,0.015874,0.016290,0.015333,0.014383,0.014767,0.014789,0.017575,0.017310,0.017625,0.016494,0.013388,0.016386,0.014627,0.015976,0.015025,0.015399,0.016981,0.015698,0.015887,0.011517,0.015864,0.111442,0.061912,0.037147,0.037147,0.024765,0.049530,0.024765,0.037147,0.012382,0.037147,0.111442,0.012382,0.037147,0.074295,0.061912,0.074295,0.061912,0.049530,0.000000,0.074295,0.000301,0.000297,0.000311,0.000310,0.000334,0.000298,0.000336,0.000346,0.000319,0.000448,0.000353,0.000318,0.000336,0.000324,0.000268,0.000322,0.000292,0.000224,0.000276,0.000253,0.000338,0.000321,0.000318,0.000271,0.000357,0.000267,0.000303,0.000312,0.000374,0.000277,0.050692,0.028162,0.016897,0.016897,0.011265,0.022530,0.011265,0.016897,0.005632,0.016897,0.050692,0.005632,0.016897,0.033795,0.028162,0.033795,0.028162,0.022530,0.000000,0.033795,0.017417,0.018570,0.016889,0.021237,0.016431,0.016745,0.015883,0.017205,0.021165,0.019104,0.018685,0.019323,0.017263,0.018979,0.019046,0.020434,0.019957,0.019636,0.017718,0.016074,0.021976,0.018548,0.019927,0.017956,0.014589,0.016179,0.018842,0.020518,0.014034,0.019069,42.2098765,30.1924528,32.0531915
seq7002,0.045945,0.038288,0.000000,0.030630,0.068918,0.015315,0.030630,0.038288,0.015315,0.030630,0.030630,0.030630,0.022973,0.007658,0.030630,0.045945,0.053603,0.015315,0.015315,0.045945,0.012990,0.013560,0.012922,0.013507,0.013016,0.012304,0.014200,0.012517,0.013042,0.012726,0.012532,0.013150,0.012805,0.010616,0.013768,0.013943,0.012316,0.012881,0.012317,0.012843,0.012914,0.012205,0.011771,0.013941,0.013940,0.014597,0.013397,0.010746,0.012241,0.013685,0.074303,0.061919,0.000000,0.049535,0.111454,0.024768,0.049535,0.061919,0.024768,0.049535,0.049535,0.049535,0.037151,0.012384,0.049535,0.074303,0.086687,0.024768,0.024768,0.074303,0.000341,0.000355,0.000308,0.000351,0.000342,0.000274,0.000232,0.000348,0.000386,0.000265,0.000315,0.000352,0.000216,0.000255,0.000340,0.000320,0.000253,0.000358,0.000335,0.000221,0.000312,0.000374,0.000279,0.000295,0.000334,0.000298,0.000266,0.000305,0.000384,0.000280,0.038175,0.031813,0.000000,0.025450,0.057263,0.012725,0.025450,0.031813,0.012725,0.025450,0.025450,0.025450,0.019088,0.006363,0.025450,0.038175,0.044538,0.012725,0.012725,0.038175,0.015131,0.017987,0.017626,0.015611,0.015982,0.017957,0.018047,0.016130,0.014912,0.016605,0.016436,0.016681,0.015709,0.014759,0.018377,0.019119,0.014181,0.014538,0.014917,0.016495,0.017177,0.014011,0.012614,0.016808,0.017782,0.018249,0.017560,0.014588,0.017884,0.017125,41.4197531,27.2339623,25.6028369
seq7003,0.034058,0.013623,0.034058,0.027247,0.013623,0.034058,0.020435,0.027247,0.020435,0.027247,0.047682,0.006812,0.027247,0.013623,0.054494,0.027247,0.040870,0.006812,0.040870,0.027247,0.015905,0.014868,0.013270,0.015283,0.015533,0.015708,0.015403,0.014277,0.015481,0.015436,0.014735,0.013351,0.013936,0.015979,0.017140,0.013451,0.015412,0.015121,0.014892,0.015608,0.013390,0.016203,0.015276,0.012624,0.016807,0.015447,0.014239,0.018665,0.015678,0.015947,0.061927,0.024771,0.061927,0.049542,0.024771,0.061927,0.037156,0.049542,0.037156,0.049542,0.086698,0.012385,0.049542,0.024771,0.099083,0.049542,0.074312,0.012385,0.074312,0.049542,0.000289,0.000314,0.000323,0.000334,0.000253,0.000371,0.000354,0.000297,0.000307,0.000226,0.000244,0.000336,0.000220,0.000311,0.000293,0.000318,0.000368,0.000256,0.000340,0.000289,0.000283,0.000296,0.000274,0.000259,0.000353,0.000289,0.000340,0.000354,0.000306,0.000373,0.028540,0.011416,0.028540,0.022832,0.011416,0.028540,0.017124,0.022832,0.017124,0.022832,0.039956,0.005708,0.022832,0.011416,0.045664,0.022832,0.034248,0.005708,0.034248,0.022832,0.020176,0.016718,0.018378,0.018745,0.018493,0.018057,0.019180,0.015618,0.022287,0.017246,0.017603,0.014103,0.016475,0.020737,0.018394,0.016477,0.019366,0.018241,0.017413,0.020769,0.016002,0.017261,0.018585,0.013934,0.020185,0.019305,0.015229,0.022671,0.014445,0.021274,43.9012346,29.0037736,27.0212766
seq7004,0.046092,0.038410,0.030728,0.061456,0.000000,0.023046,0.015364,0.069137,0.015364,0.007682,0.038410,0.038410,0.007682,0.023046,0.015364,0.122911,0.015364,0.007682,0.023046,0.015364,0.012963,0.011554,0.012398,0.012300,0.012527,0.013954,0.013804,0.014925,0.010760,0.013888,0.012589,0.011695,0.013728,0.013338,0.012754,0.013714,0.013093,0.013923,0.012261,0.010779,0.013162,0.010739,0.013468,0.013129,0.013524,0.014590,0.011753,0.013632,0.010174,0.014326,0.074324,0.061936,0.049549,0.099098,0.000000,0.037162,0.024775,0.111485,0.024775,0.012387,0.061936,0.061936,0.012387,0.037162,0.024775,0.198196,0.024775,0.012387,0.037162,0.024775,0.000307,0.000308,0.000324,0.000310,0.000318,0.000315,0.000243,0.000300,0.000301,0.000325,0.000275,0.000235,0.000343,0.000308,0.000298,0.000353,0.000339,0.000269,0.000320,0.000295,0.000313,0.000271,0.000292,0.000326,0.000245,0.000348,0.000337,0.000344,0.000231,0.000226,0.038519,0.032099,0.025679,0.051359,0.000000,0.019259,0.012840,0.057778,0.012840,0.006420,0.032099,0.032099,0.006420,0.019259,0.012840,0.102717,0.012840,0.006420,0.019259,0.012840,0.014476,0.013965,0.012900,0.015264,0.015831,0.016188,0.017769,0.017933,0.015972,0.018902,0.018582,0.013695,0.016306,0.015951,0.016729,0.017341,0.015196,0.019372,0.014852,0.016092,0.016417,0.014200,0.016832,0.019031,0.015482,0.017647,0.015975,0.016614,0.012946,0.017955,45.4814815,19.6075472,20.7730496
seq7005,0.052845,0.019817,0.000000,0.033028,0.000000,0.013211,0.019817,0.033028,0.013211,0.052845,0.072662,0.026423,0.026423,0.039634,0.013211,0.046240,0.019817,0.000000,0.019817,0.026423,0.015962,0.014472,0.015846,0.015832,0.017877,0.014840,0.013539,0.014651,0.015480,0.015059,0.013711,0.015647,0.016483,0.014803,0.015162,0.016813,0.014460,0.016077,0.013232,0.019793,0.014896,0.015214,0.017482,0.014559,0.014381,0.018440,0.016318,0.018058,0.016368,0.016093,0.099024,0.037134,0.000000,0.061890,0.000000,0.024756,0.037134,0.061890,0.024756,0.099024,0.136158,0.049512,0.049512,0.074268,0.024756,0.086646,0.037134,0.000000,0.037134,0.049512,0.000252,0.000361,0.000351,0.000347,0.000362,0.000378,0.000329,0.000343,0.000353,0.000265,0.000271,0.000305,0.000354,0.000362,0.000324,0.000370,0.000349,0.000291,0.000327,0.000314,0.000279,0.000223,0.000263,0.000273,0.000303,0.000424,0.000375,0.000364,0.000328,0.000322,0.048596,0.018224,0.000000,0.030373,0.000000,0.012149,0.018224,0.030373,0.012149,0.048596,0.066820,0.024298,0.024298,0.036447,0.012149,0.042522,0.018224,0.000000,0.018224,0.024298,0.014876,0.018299,0.017232,0.017817,0.021597,0.016267,0.015274,0.018438,0.017083,0.015782,0.015994,0.017919,0.016159,0.016159,0.015566,0.016636,0.016957,0.015815,0.016788,0.018620,0.014688,0.016318,0.016925,0.015411,0.014271,0.022722,0.020406,0.018954,0.019584,0.015477,37.5802469,31.4377358,33.8475177
seq7006,0.088824,0.048450,0.016150,0.016150,0.000000,0.008075,0.048450,0.072675,0.008075,0.056525,0.016150,0.016150,0.024225,0.008075,0.008075,0.056525,0.032300,0.000000,0.008075,0.113049,0.012689,0.014000,0.012399,0.011939,0.011670,0.010705,0.013591,0.010333,0.012269,0.011268,0.010785,0.011574,0.011724,0.011339,0.011959,0.008861,0.012523,0.011331,0.011506,0.011816,0.012187,0.011482,0.012302,0.011067,0.013927,0.012462,0.011883,0.011345,0.012150,0.010918,0.136161,0.074269,0.024756,0.024756,0.000000,0.012378,0.074269,0.111404,0.012378,0.086648,0.024756,0.024756,0.037135,0.012378,0.012378,0.086648,0.049513,0.000000,0.012378,0.173295,0.000366,0.000316,0.000333,0.000365,0.000342,0.000321,0.000319,0.000279,0.000302,0.000353,0.000339,0.000322,0.000267,0.000342,0.000323,0.000310,0.000299,0.000389,0.000340,0.000336,0.000271,0.000354,0.000389,0.000281,0.000313,0.000321,0.000327,0.000299,0.000296,0.000327,0.074352,0.040556,0.013519,0.013519,0.000000,0.006759,0.040556,0.060833,0.006759,0.047315,0.013519,0.013519,0.020278,0.006759,0.006759,0.047315,0.027037,0.000000,0.006759,0.094630,0.016244,0.018002,0.016844,0.016232,0.012555,0.014657,0.018492,0.012960,0.016014,0.013457,0.012253,0.015420,0.014906,0.016396,0.015424,0.011122,0.014372,0.015346,0.016857,0.013840,0.012467,0.017252,0.016554,0.015832,0.018358,0.016255,0.016054,0.014098,0.014343,0.016655,29.3703704,24.4264151,25.7836879
seq7007,0.057787,0.014447,0.021670,0.021670,0.000000,0.043340,0.021670,0.057787,0.021670,0.043340,0.057787,0.036117,0.007223,0.014447,0.021670,0.043340,0.021670,0.000000,0.014447,0.057787,0.013082,0.015670,0.012833,0.014199,0.013542,0.014691,0.014601,0.015027,0.013893,0.014882,0.013895,0.013394,0.013419,0.014962,0.015240,0.014638,0.014139,0.013176,0.015773,0.016086,0.012187,0.012728,0.016595,0.013464,0.013736,0.015417,0.013188,0.011862,0.012954,0.012856,0.099063,0.024766,0.037149,0.037149,0.000000,0.074297,0.037149,0.099063,0.037149,0.074297,0.099063,0.061914,0.012383,0.024766,0.037149,0.074297,0.037149,0.000000,0.024766,0.099063,0.000286,0.000300,0.000287,0.000278,0.000351,0.000323,0.000311,0.000315,0.000288,0.000284,0.000352,0.000377,0.000300,0.000333,0.000296,0.000260,0.000260,0.000306,0.000260,0.000308,0.000319,0.000369,0.000323,0.000296,0.000316,0.000277,0.000360,0.000353,0.000310,0.000369,0.049396,0.012349,0.018524,0.018524,0.000000,0.037047,0.018524,0.049396,0.018524,0.037047,0.049396,0.030873,0.006175,0.012349,0.018524,0.037047,0.018524,0.000000,0.012349,0.049396,0.017220,0.017749,0.015669,0.016463,0.014863,0.016806,0.015219,0.016575,0.014402,0.017711,0.019416,0.016117,0.014299,0.017788,0.017444,0.017270,0.016232,0.015657,0.018444,0.019162,0.016489,0.015657,0.022950,0.016222,0.016529,0.018744,0.016227,0.016127,0.016085,0.016502,34.1975309,25.8830189,26.4432624
seq7008,0.112571,0.035178,0.000000,0.063321,0.000000,0.014071,0.028143,0.049250,0.007036,0.014071,0.070357,0.021107,0.021107,0.014071,0.014071,0.021107,0.007036,0.014071,0.021107,0.035178,0.016584,0.015810,0.013333,0.016587,0.014235,0.014427,0.015523,0.011797,0.015952,0.011605,0.012662,0.015281,0.013442,0.016897,0.017888,0.014308,0.013919,0.016302,0.014367,0.014211,0.013345,0.013926,0.014087,0.015640,0.013850,0.015444,0.014811,0.015002,0.012539,0.013372,0.198142,0.061919,0.000000,0.111455,0.000000,0.024768,0.049535,0.086687,0.012384,0.024768,0.123839,0.037152,0.037152,0.024768,0.024768,0.037152,0.012384,0.024768,0.037152,0.061919,0.000311,0.000360,0.000259,0.000309,0.000364,0.000338,0.000285,0.000418,0.000336,0.000259,0.000336,0.000372,0.000345,0.000322,0.000298,0.000350,0.000281,0.000325,0.000305,0.000264,0.000320,0.000252,0.000287,0.000227,0.000297,0.000307,0.000273,0.000303,0.000260,0.000327,0.107107,0.033471,0.000000,0.060248,0.000000,0.013388,0.026777,0.046859,0.006694,0.013388,0.066942,0.020083,0.020083,0.013388,0.013388,0.020083,0.006694,0.013388,0.020083,0.033471,0.019041,0.012340,0.013008,0.017658,0.014729,0.013428,0.018311,0.009901,0.017446,0.013137,0.012518,0.017626,0.013964,0.015781,0.020360,0.015755,0.018213,0.016888,0.010846,0.018808,0.013718,0.015518,0.016311,0.016275,0.014944,0.016522,0.014574,0.017377,0.013232,0.016238,39.382716,27.2792453,30.0106383
seq7009,0.062698,0.020899,0.041799,0.020899,0.000000,0.027866,0.006966,0.055732,0.013933,0.027866,0.048765,0.020899,0.027866,0.034832,0.006966,0.041799,0.027866,0.013933,0.006966,0.048765,0.016583,0.014601,0.014356,0.014899,0.015242,0.013782,0.014639,0.012301,0.015113,0.014255,0.015839,0.012347,0.016329,0.016597,0.012745,0.014536,0.016234,0.011787,0.015587,0.015212,0.015631,0.014795,0.014769,0.013821,0.014751,0.016123,0.014026,0.015187,0.016286,0.014311,0.111180,0.037060,0.074120,0.037060,0.000000,0.049413,0.012353,0.098827,0.024707,0.049413,0.086474,0.037060,0.049413,0.061767,0.012353,0.074120,0.049413,0.024707,0.012353,0.086474,0.000374,0.000404,0.000367,0.000346,0.000401,0.000335,0.000270,0.000450,0.000448,0.000386,0.000390,0.000380,0.000372,0.000369,0.000446,0.000394,0.000433,0.000421,0.000412,0.000420,0.000405,0.000464,0.000334,0.000449,0.000414,0.000381,0.000376,0.000434,0.000368,0.000288,0.053724,0.017908,0.035816,0.017908,0.000000,0.023877,0.005969,0.047754,0.011939,0.023877,0.041785,0.017908,0.023877,0.029846,0.005969,0.035816,0.023877,0.011939,0.005969,0.041785,0.020631,0.017208,0.020269,0.017011,0.018305,0.015932,0.018616,0.014550,0.018780,0.016051,0.020427,0.015604,0.019526,0.018399,0.018123,0.015967,0.019539,0.012805,0.016663,0.020291,0.017053,0.015158,0.016302,0.015801,0.016191,0.020054,0.016488,0.018422,0.017194,0.015096,39.2592593,25.6641509,29.6985816
