Feature,[G7.1.1.1],[G7.1.1.2],[G7.1.1.3],[G7.1.1.4],[G7.1.1.5],[G7.1.1.6],[G7.1.1.7],[G7.1.1.8],[G7.1.1.9],[G7.1.1.10],[G7.1.1.11],[G7.1.1.12],[G7.1.1.13],[G7.1.1.14],[G7.1.1.15],[G7.1.1.16],[G7.1.1.17],[G7.1.1.18],[G7.1.1.19],[G7.1.1.20],[G7.1.1.21],[G7.1.1.22],[G7.1.1.23],[G7.1.1.24],[G7.1.1.25],[G7.1.1.26],[G7.1.1.27],[G7.1.1.28],[G7.1.1.29],[G7.1.1.30],[G7.1.1.31],[G7.1.1.32],[G7.1.1.33],[G7.1.1.34],[G7.1.1.35],[G7.1.1.36],[G7.1.1.37],[G7.1.1.38],[G7.1.1.39],[G7.1.1.40],[G7.1.1.41],[G7.1.1.42],[G7.1.1.43],[G7.1.1.44],[G7.1.1.45],[G7.1.1.46],[G7.1.1.47],[G7.1.1.48],[G7.1.1.49],[G7.1.1.50],[G7.1.1.51],[G7.1.1.52],[G7.1.1.53],[G7.1.1.54],[G7.1.1.55],[G7.1.1.56],[G7.1.1.57],[G7.1.1.58],[G7.1.1.59],[G7.1.1.60],[G7.1.1.61],[G7.1.1.62],[G7.1.1.63],[G7.1.1.64],[G7.1.1.65],[G7.1.1.66],[G7.1.1.67],[G7.1.1.68],[G7.1.1.69],[G7.1.1.70],[G7.1.1.71],[G7.1.1.72],[G7.1.1.73],[G7.1.1.74],[G7.1.1.75],[G7.1.1.76],[G7.1.1.77],[G7.1.1.78],[G7.1.1.79],[G7.1.1.80]
seq6000,0.113469,0.050431,0.012608,0.012608,0.012608,0.050431,0.063038,0.100862,0.012608,0.063038,0.100862,0.025215,0.050431,0.037823,0.088254,0.075646,0.037823,0.000000,0.025215,0.075646,0.001417,0.005197,-0.000525,0.006976,0.003564,-0.001013,-0.004674,0.000011,-0.007252,-0.008672,-0.005587,-0.003305,0.001509,0.005090,-0.007983,-0.010377,-0.002206,-0.001293,-0.004666,-0.004949,0.001472,0.004276,-0.003294,-0.006235,-0.002043,0.004798,0.014286,0.010415,0.003630,0.004710,-0.000534,0.003628,0.007673,0.009761,-0.006192,0.004975,-0.007751,-0.003758,0.000410,0.004862,0.002436,0.004477,-0.001165,0.001462,-0.003651,-0.003840,0.001267,0.005626,-0.002825,-0.001713,-0.000373,-0.003462,-0.005701,-0.008210,0.008768,0.002403,-0.003567,-0.003184,-0.002568,-0.001147
seq6001,0.020795,0.093578,0.020795,0.051988,0.010398,0.072783,0.041590,0.010398,0.020795,0.062385,0.062385,0.083181,0.020795,0.051988,0.072783,0.041590,0.020795,0.000000,0.010398,0.062385,0.007156,0.010040,-0.004513,-0.001131,0.003208,-0.002364,-0.003735,-0.009869,0.001371,0.001493,0.015700,0.016814,0.010201,0.003041,0.003719,0.005018,0.002382,-0.003669,-0.002019,-0.008936,0.003084,0.002554,0.007613,0.007911,0.007668,0.015022,0.014595,0.009741,-0.000517,-0.005780,-0.005007,-0.006720,0.000212,-0.005077,-0.002148,-0.000153,0.008906,0.015097,0.016226,0.012263,0.013591,0.012969,-0.002021,-0.006394,-0.002099,-0.011010,0.000506,-0.009979,0.004594,-0.000533,0.017509,0.010973,0.006402,0.016335,-0.003104,-0.005187,0.002444,-0.001151,-0.003117,-0.011930
seq6002,0.021021,0.094594,0.031531,0.031531,0.000000,0.063063,0.073573,0.010510,0.021021,0.073573,0.073573,0.084084,0.021021,0.052552,0.052552,0.031531,0.031531,0.000000,0.010510,0.063063,0.003160,0.005531,-0.001585,-0.001173,0.003144,-0.001079,-0.003613,-0.009494,0.003876,0.004848,0.015689,0.012552,0.008426,-0.001787,0.001978,0.001805,0.004916,0.000253,-0.001903,-0.006760,0.004790,0.004533,0.006282,0.004942,0.005659,0.012076,0.011304,0.003391,-0.000803,-0.005217,0.002319,0.000246,-0.002158,-0.008120,-0.001005,0.002674,0.005959,0.008473,0.015602,0.007588,0.012823,0.011829,-0.001364,-0.004590,0.000573,-0.009831,-0.003797,-0.011461,0.006587,-0.001246,0.013053,0.007979,0.007166,0.016905,0.002076,0.000913,0.002771,0.000646,-0.001661,-0.007524
seq6003,0.021021,0.094594,0.031531,0.031531,0.000000,0.063063,0.073573,0.010510,0.021021,0.073573,0.073573,0.084084,0.021021,0.052552,0.052552,0.031531,0.031531,0.000000,0.010510,0.063063,0.003160,0.005531,-0.001585,-0.001173,0.003144,-0.001079,-0.003613,-0.009494,0.003876,0.004848,0.015689,0.012552,0.008426,-0.001787,0.001978,0.001805,0.004916,0.000253,-0.001903,-0.006760,0.004790,0.004533,0.006282,0.004942,0.005659,0.012076,0.011304,0.003391,-0.000803,-0.005217,0.002319,0.000246,-0.002158,-0.008120,-0.001005,0.002674,0.005959,0.008473,0.015602,0.007588,0.012823,0.011829,-0.001364,-0.004590,0.000573,-0.009831,-0.003797,-0.011461,0.006587,-0.001246,0.013053,0.007979,0.007166,0.016905,0.002076,0.000913,0.002771,0.000646,-0.001661,-0.007524
seq6004,0.021160,0.095219,0.031740,0.031740,0.000000,0.063479,0.074059,0.010580,0.021160,0.074059,0.074059,0.084639,0.021160,0.052900,0.052900,0.021160,0.042320,0.000000,0.010580,0.063479,0.003081,0.005469,-0.002289,-0.001424,0.003074,-0.001214,-0.004349,-0.009864,0.004302,0.005055,0.015449,0.012573,0.007741,-0.001990,0.001765,0.001844,0.004507,0.000033,-0.001751,-0.006707,0.005147,0.004732,0.005926,0.004759,0.005292,0.012091,0.011326,0.003339,-0.000771,-0.005287,0.002306,0.000258,-0.002147,-0.008179,-0.001448,0.002552,0.006217,0.008660,0.015675,0.007650,0.013091,0.012013,-0.001143,-0.004482,0.000811,-0.009755,-0.004305,-0.011613,0.006139,-0.001520,0.013464,0.008059,0.006703,0.016852,0.002055,0.000973,0.002259,0.000566,-0.002213,-0.007748
seq6005,0.063352,0.076023,0.050682,0.063352,0.000000,0.050682,0.076023,0.114034,0.025341,0.088693,0.076023,0.050682,0.038011,0.063352,0.025341,0.063352,0.038011,0.000000,0.038011,0.012670,-0.000794,-0.006884,-0.006691,-0.016059,0.006147,0.008325,0.002987,-0.001333,0.003383,-0.002159,0.008300,0.001253,-0.004478,-0.005091,0.012416,0.009182,-0.001253,-0.001483,-0.011101,-0.007495,0.002666,-0.002605,0.016188,0.013511,-0.013282,-0.012900,0.002703,0.001699,-0.002424,0.008731,-0.000250,-0.003165,0.004419,-0.002906,0.002282,0.000358,0.000695,-0.001662,0.014482,0.017123,-0.011151,-0.011575,-0.006128,-0.013268,0.004544,0.008338,0.006943,0.014913,-0.003381,-0.013845,-0.004868,-0.007194,-0.004087,-0.003268,0.012809,0.005522,0.001572,-0.004980,-0.007773,-0.009596
seq6006,0.117610,0.047044,0.058805,0.082327,0.000000,0.023522,0.011761,0.047044,0.011761,0.070566,0.141132,0.011761,0.023522,0.023522,0.035283,0.082327,0.094088,0.000000,0.000000,0.058805,-0.000373,-0.002747,0.001193,0.008186,-0.003442,-0.002123,0.002038,0.006455,0.002779,0.002495,-0.001292,0.003620,-0.003739,-0.002994,0.001478,0.007422,0.005211,0.007347,-0.008677,-0.011455,0.008293,0.012554,-0.002619,-0.004801,0.006283,0.005246,-0.003867,-0.004389,0.000140,0.009949,0.003056,0.005391,0.004524,0.010701,-0.007242,-0.009809,0.001941,0.001764,-0.000262,0.007931,-0.000054,0.003258,0.002352,-0.003725,-0.008033,-0.006032,0.001024,0.002366,-0.001103,-0.003670,0.003694,0.004462,-0.002544,-0.008696,0.006457,0.013317,-0.008762,-0.003764,0.006642,0.005769
seq6007,0.098646,0.086316,0.012331,0.086316,0.000000,0.024662,0.061654,0.098646,0.000000,0.049323,0.024662,0.024662,0.036992,0.086316,0.098646,0.049323,0.049323,0.000000,0.024662,0.073985,-0.002215,-0.001051,0.000610,-0.005817,0.000947,-0.004565,0.000761,-0.004433,-0.000950,-0.001464,-0.000241,-0.003281,0.020613,0.015600,0.002501,-0.004338,-0.006004,-0.012891,0.002039,-0.009684,-0.001226,0.000085,-0.011318,-0.011544,-0.006195,-0.005597,0.010261,0.008424,0.001175,0.002963,0.004907,0.001366,0.002169,0.002331,0.001975,0.007966,-0.006404,-0.002963,-0.010058,-0.013253,0.010981,0.006047,0.007302,0.000810,0.003996,0.007391,0.013795,0.009248,-0.004576,-0.006984,-0.001109,-0.008044,-0.008047,-0.018394,0.008267,0.002038,0.006461,0.008871,0.004504,0.009776
seq6008,0.036052,0.060087,0.060087,0.048069,0.012017,0.024035,0.132190,0.036052,0.024035,0.120173,0.084121,0.036052,0.012017,0.036052,0.012017,0.084121,0.060087,0.000000,0.012017,0.072104,-0.014443,-0.008830,0.001335,-0.004125,-0.000323,0.001736,0.012693,0.008463,-0.003833,-0.004065,0.001020,-0.006322,0.000363,-0.003491,0.000340,0.002211,0.014185,0.005557,-0.005210,-0.013189,0.003306,0.000193,-0.000925,0.001315,0.012510,0.012043,-0.009370,-0.010952,0.007740,0.001957,-0.000593,0.004425,0.004047,-0.003977,-0.002487,-0.005024,0.003018,-0.005511,0.012029,0.008222,-0.014183,-0.012465,0.010668,-0.002107,-0.000059,-0.004139,0.005341,0.002830,-0.008252,-0.006862,0.018004,0.010837,-0.001694,-0.000609,0.008665,0.011056,0.007199,0.004783,-0.004929,-0.001506
seq6009,0.086497,0.012357,0.024714,0.111211,0.049427,0.061784,0.074141,0.074141,0.000000,0.074141,0.074141,0.024714,0.012357,0.024714,0.037070,0.061784,0.098854,0.000000,0.037070,0.049427,0.001514,-0.003746,0.001965,-0.000402,-0.007451,-0.003669,-0.001555,-0.007175,0.001793,0.000675,-0.001937,-0.000019,-0.001535,-0.004029,0.004820,0.003677,0.004755,0.001197,0.007241,0.005204,0.000350,0.000028,0.007218,-0.000388,-0.002036,-0.000327,-0.002724,-0.007417,-0.005520,-0.002843,-0.006102,-0.006240,-0.002121,-0.003011,0.002082,0.005904,0.005510,0.002990,0.007465,0.006029,0.002106,0.007821,-0.003072,-0.006557,-0.002657,-0.000023,0.000459,-0.002460,-0.007251,-0.007930,0.004328,0.001832,0.001668,0.008731,0.006059,0.001305,-0.005305,-0.000882,0.005354,0.007764
