Feature,[G3.1.1.1.1],[G3.1.1.1.2],[G3.1.1.1.3],[G3.1.1.1.4],[G3.1.1.1.5],[G3.1.1.1.6],[G3.1.1.1.7],[G3.1.1.1.8],[G3.1.1.1.9],[G3.1.1.1.10],[G3.1.1.1.11],[G3.1.1.1.12],[G3.1.1.1.13],[G3.1.1.1.14],[G3.1.1.1.15],[G3.1.1.1.16],[G3.1.1.1.17],[G3.1.1.1.18],[G3.1.1.1.19],[G3.1.1.1.20],[G3.1.1.1.21],[G3.1.1.1.22],[G3.1.1.1.23],[G3.1.1.1.24],[G3.1.1.1.25],[G3.1.1.1.26],[G3.1.1.1.27],[G3.1.1.1.28],[G3.1.1.1.29],[G3.1.1.1.30],[G3.1.2.1.1],[G3.1.2.1.2],[G3.1.2.1.3],[G3.1.2.1.4],[G3.1.2.1.5],[G3.1.2.1.6],[G3.1.2.1.7],[G3.1.2.1.8],[G3.1.2.1.9],[G3.1.2.1.10],[G3.1.2.1.11],[G3.1.2.1.12],[G3.1.2.1.13],[G3.1.2.1.14],[G3.1.2.1.15],[G3.1.2.1.16],[G3.1.2.1.17],[G3.1.2.1.18],[G3.1.2.1.19],[G3.1.2.1.20],[G3.1.2.1.21],[G3.1.2.1.22],[G3.1.2.1.23],[G3.1.2.1.24],[G3.1.2.1.25],[G3.1.2.1.26],[G3.1.2.1.27],[G3.1.2.1.28],[G3.1.2.1.29],[G3.1.2.1.30],[G3.1.4.1.1],[G3.1.4.1.2],[G3.1.4.1.3],[G3.1.4.1.4],[G3.1.4.1.5],[G3.1.4.1.6],[G3.1.4.1.7],[G3.1.4.1.8],[G3.1.4.1.9],[G3.1.4.1.10],[G3.1.4.1.11],[G3.1.4.1.12],[G3.1.4.1.13],[G3.1.4.1.14],[G3.1.4.1.15],[G3.1.4.1.16],[G3.1.4.1.17],[G3.1.4.1.18],[G3.1.4.1.19],[G3.1.4.1.20],[G3.1.4.1.21],[G3.1.4.1.22],[G3.1.4.1.23],[G3.1.4.1.24],[G3.1.4.1.25],[G3.1.4.1.26],[G3.1.4.1.27],[G3.1.4.1.28],[G3.1.4.1.29],[G3.1.4.1.30]
seq2000,-0.062599,-0.005510,0.153417,0.134302,0.041363,0.093883,0.054405,0.091123,0.158540,-0.027429,-0.030499,0.090155,0.083550,0.036255,-0.018129,0.057390,0.232915,-0.221527,0.047082,0.199983,-0.078025,-0.071379,-0.085006,-0.039184,-0.179259,0.189029,-0.104720,0.003653,0.060317,-0.188572,-0.111214,-0.032182,-0.074771,0.128550,-0.000014,-0.111263,0.022368,-0.073360,0.231855,-0.013214,-0.001058,0.151678,0.066889,-0.160036,-0.116328,0.020785,0.082334,-0.085578,0.087454,0.044415,0.080844,0.041567,0.021492,-0.087088,-0.035626,-0.036026,-0.174688,0.151371,0.062112,0.107697,0.093054,0.020778,-0.126847,0.062554,-0.064019,-0.008596,0.167683,-0.039767,0.164925,-0.241651,-0.074254,-0.014903,0.361417,-0.111810,-0.093943,0.058527,-0.001317,-0.062751,0.097527,0.490657,0.214640,0.083901,-0.276214,-0.295508,0.075057,0.148287,-0.008026,-0.055396,0.078051,-0.144918
seq2001,0.061338,0.259757,0.093690,0.006944,0.115607,0.003420,0.145444,0.013858,0.101052,0.071421,0.129757,0.185742,0.146773,0.117540,0.052828,0.010713,0.097766,0.004876,0.214114,0.094642,0.103403,0.071330,0.114746,0.175920,0.057009,0.143867,0.236566,0.194092,0.124698,0.048258,0.122807,0.142723,0.213479,-0.021836,-0.080839,0.046359,0.074837,-0.012015,0.006344,0.011253,-0.022176,-0.133752,0.057457,-0.081195,0.077176,0.029394,0.067931,0.153405,0.114734,0.204117,0.209165,0.162226,0.194879,0.187976,0.287772,0.212718,-0.005261,0.118658,0.080106,0.008030,0.064101,0.043768,-0.013247,-0.017893,0.020239,-0.082070,0.074213,0.020498,0.123406,-0.132816,0.032395,-0.095258,0.037690,-0.051055,-0.004333,0.074613,0.055249,0.253435,-0.050322,0.054458,0.080467,-0.003433,-0.118879,-0.140376,0.147129,0.109473,-0.057681,-0.111497,-0.106617,-0.011421
seq2002,-0.011186,-0.020429,-0.000769,0.005784,0.089545,0.002039,0.213982,0.101815,0.050788,0.032014,-0.099631,-0.003170,0.076858,0.117740,0.090273,0.062367,0.012980,-0.105410,-0.027845,0.089586,0.106398,0.098102,0.034948,0.080221,0.060491,0.010296,0.040020,0.139417,0.064796,0.207926,0.045948,0.030994,0.305131,0.115967,0.142246,0.110090,0.080453,0.157503,0.013986,-0.026978,0.229593,0.005162,-0.132252,0.121063,0.028284,0.019675,-0.057100,0.033714,0.123002,-0.108777,-0.044188,0.123958,-0.087421,-0.074254,-0.014886,-0.072950,0.049444,-0.040472,0.026470,0.049799,0.053412,-0.117103,0.092549,-0.139167,-0.124598,-0.170837,0.198326,0.019086,0.036636,-0.053476,0.143773,0.017623,-0.193074,-0.084405,0.005683,0.147472,-0.153156,0.341546,0.193086,0.041505,0.057381,-0.258326,-0.008857,-0.213323,-0.249184,-0.113860,0.301231,0.055179,-0.158410,0.039610
seq2003,0.004341,-0.005936,-0.021393,-0.208803,-0.032021,0.014428,-0.062740,0.080059,-0.034248,-0.005327,-0.164866,-0.123178,-0.026538,0.141394,0.107682,0.027104,-0.075590,-0.165802,-0.013846,0.074860,-0.075893,0.244943,0.189110,-0.096872,0.019801,-0.071249,-0.143242,0.003391,-0.175459,0.074689,0.005780,-0.121913,0.028828,0.119968,-0.183638,0.016646,0.138240,-0.113277,0.003069,-0.091484,-0.093281,-0.066755,0.113865,-0.032756,-0.006700,0.058270,0.045366,0.095212,-0.152168,0.006893,-0.088585,0.054621,-0.153511,0.156199,0.022739,-0.051746,0.101939,0.063176,-0.030553,-0.038146,0.036097,-0.111187,-0.025193,0.272935,0.188826,-0.049221,-0.036593,-0.025184,0.010937,-0.130750,-0.062709,-0.179916,0.056082,-0.002048,-0.136925,-0.077588,-0.004075,0.177939,0.071090,-0.121375,0.037931,0.255231,-0.001640,0.082200,0.101495,0.029480,0.095400,-0.079184,0.154167,-0.162030
seq2004,-0.099855,0.093780,0.052672,0.122776,0.121319,0.061669,0.084261,0.214365,0.159375,-0.045822,0.181908,0.067909,0.246569,-0.055781,0.220197,-0.141809,0.377299,-0.006440,0.141572,0.118604,-0.048712,0.174694,0.163254,0.055177,-0.045465,0.331401,-0.022355,0.245167,-0.157647,0.228507,-0.032283,0.064040,-0.091262,-0.247134,-0.097794,-0.156162,0.006784,0.087429,-0.030916,0.126504,-0.050935,0.094879,-0.050354,0.005300,0.101709,-0.030714,0.060572,-0.100428,-0.048252,-0.027701,0.146290,0.027415,0.027934,-0.107520,-0.042018,-0.091147,-0.140082,-0.035375,0.207199,0.113616,0.088711,-0.198932,-0.019236,-0.075999,-0.238499,-0.255519,0.006028,0.248879,0.136335,0.117511,0.023571,-0.155012,-0.146968,-0.211108,0.007040,-0.139578,0.034826,0.369919,0.157313,0.119958,-0.050469,-0.168847,-0.128556,-0.185876,-0.114833,0.245831,0.084089,0.126984,0.105807,0.021237
seq2005,-0.120449,-0.006054,0.040135,0.347044,-0.070757,0.134420,0.151542,0.028189,-0.142057,0.177914,0.072542,0.090785,-0.116316,0.172146,0.016887,-0.030085,0.163769,0.187214,-0.188064,-0.081298,0.244284,-0.101391,0.054696,0.022841,0.072469,-0.202164,0.042598,0.002504,-0.150214,-0.134275,-0.017949,-0.085779,-0.041697,-0.057252,0.023098,0.065185,0.032060,0.163142,-0.122796,-0.121684,-0.094760,0.024821,0.043304,0.149499,-0.055799,0.063872,0.002003,-0.117361,-0.010509,0.100783,0.060336,0.009602,0.020033,-0.163674,-0.004112,-0.007689,0.064025,0.069745,0.161901,-0.053808,0.103474,0.127728,0.126014,0.046846,0.133571,-0.112348,0.155301,-0.063051,-0.024918,-0.195187,-0.237852,-0.083980,-0.052818,-0.061561,0.092528,-0.187457,-0.013971,-0.117795,-0.287388,-0.031381,-0.120111,-0.026783,-0.043262,-0.108626,-0.043606,0.052854,-0.168869,-0.159765,0.350765,0.298990
seq2006,-0.011236,0.013673,0.161869,0.019250,0.115404,0.136316,0.015250,0.117014,0.003978,0.026484,0.020124,0.110149,-0.058829,0.038587,0.210740,-0.075534,-0.008607,0.159455,-0.195330,0.031169,0.036484,-0.058293,-0.011380,-0.187405,0.141304,-0.145314,-0.052938,0.022216,-0.006076,0.065176,0.093453,-0.061923,-0.110639,0.049457,0.049625,-0.153862,0.019540,0.000295,0.179973,-0.039232,-0.059050,-0.016875,0.109445,-0.026728,-0.105258,0.057409,0.051734,0.156236,-0.074668,-0.034672,-0.071418,0.075691,0.110876,-0.001620,0.063482,-0.107063,0.090487,-0.088899,0.044147,-0.120907,0.193482,-0.154169,-0.066001,0.049248,0.083415,-0.037486,0.191171,0.205515,0.044294,0.117159,-0.048323,0.021840,0.054849,-0.201532,0.136175,0.400084,0.246697,-0.035712,-0.115582,0.069318,0.048160,0.012282,0.097088,-0.040357,-0.030178,0.143962,-0.111579,-0.284374,0.045178,0.060077
seq2007,0.059385,0.327452,0.241465,0.433988,-0.046698,0.131307,0.291589,0.321656,-0.141910,0.267021,0.294322,0.079925,0.073072,0.298413,0.194594,0.182675,0.097683,0.446824,0.213536,0.154054,0.276952,0.260591,0.199318,0.029037,0.226146,0.391211,0.059081,0.271360,0.501754,0.355845,-0.010724,0.014692,0.062640,0.258520,-0.076228,0.162403,0.159160,0.054011,0.066471,0.127972,0.079172,0.182925,0.235475,0.138485,0.096153,0.074294,0.211059,0.082007,0.226584,0.105974,0.234434,-0.030588,0.113206,-0.073038,0.232716,0.119627,0.188095,-0.001648,0.186308,-0.007166,-0.083435,0.057221,-0.138022,0.102372,-0.133684,0.017312,0.162723,-0.068771,-0.102882,0.026191,0.199786,-0.191560,-0.080286,0.095468,0.164129,-0.058023,0.188484,0.035930,-0.102071,-0.113341,0.249148,-0.093670,-0.063377,-0.208631,0.077071,-0.052860,0.134174,0.127904,-0.044751,-0.218799
seq2008,0.094344,0.126217,-0.062791,-0.007898,0.084496,-0.156243,0.058050,-0.136092,-0.005809,0.054735,0.161396,0.055487,-0.107273,-0.133447,-0.056955,0.193601,0.061110,0.016504,-0.098206,0.085399,0.068765,-0.104389,-0.081751,-0.172285,-0.123079,-0.026006,0.150322,0.254476,-0.019566,0.115129,-0.190616,-0.136424,0.086041,-0.052274,0.056731,-0.052667,-0.208651,0.145552,0.031620,-0.197889,-0.017614,0.137629,0.140032,-0.186902,-0.034920,0.113028,0.087434,-0.050478,-0.120797,0.087157,0.004644,-0.090207,-0.120223,0.120074,0.072281,0.005485,-0.165285,0.071743,0.217765,-0.110934,-0.204993,0.013711,0.193485,0.167716,-0.186697,-0.081646,0.000449,0.018581,0.153375,-0.188574,0.020237,0.028285,0.102693,-0.282020,0.310622,0.074895,-0.033184,0.236881,0.005299,-0.188094,0.206469,-0.121137,-0.337519,0.185838,0.070012,0.105494,0.248440,0.069129,0.298479,0.238281
seq2009,0.051650,0.147352,0.053520,0.153014,0.205062,0.013979,-0.012706,-0.051330,-0.089225,0.139079,0.142150,-0.000796,0.137042,0.001120,0.198811,0.112895,0.155679,0.081102,0.002189,0.000728,0.247775,0.226745,0.073698,0.041316,0.001871,0.215046,0.164786,0.110443,-0.163485,-0.210996,0.104991,-0.065919,0.012558,0.066773,-0.084661,-0.145689,0.061106,0.078973,-0.042536,0.008220,0.123224,0.147195,0.038242,-0.053496,-0.036422,-0.059044,-0.075401,-0.090438,-0.047400,-0.040745,-0.211318,0.100804,0.118432,-0.124130,-0.221194,-0.174447,-0.075541,-0.361633,-0.086024,-0.030813,-0.153925,0.037419,0.008013,-0.054357,0.034810,-0.022332,-0.110092,-0.043444,-0.060141,0.070299,0.234263,-0.074618,-0.075101,0.088437,-0.095045,0.010627,0.001977,-0.132503,0.168258,-0.072192,0.148281,0.079685,-0.008287,0.010209,0.099718,-0.061904,-0.040779,-0.100520,-0.101977,0.218820
