seq,class,predicted class na�ve,predicted class knn,nondrna na_Ѣve,drna na_Ѣve,rna na_Ѣve,dna na_Ѣve,nondrna knn,drna knn,rna knn,dna knn,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,,,,
1,DNA,DNA,nonDRNA,1.04E-04,6.29E-05,9.51E-08,0.999832693,0.874160239,0,0,0.125839761,0,0,37,6,37,18,54,40,3,0,25,34,0,4,0,17,29,69,36,41,0,30,7,0,19,0,7,0,19,0
2,DNA,DNA,nonDRNA,6.05E-06,4.46E-06,0.007855176,0.99213432,0.623421703,0,0,0.376578297,41,0,8,17,20,26,34,11,16,0,19,30,12,16,0,69,26,22,90,46,0,14,1,0,15,0,1,0,15,0
3,DNA,DNA,nonDRNA,2.08E-06,1.44E-09,0.382187723,0.617810193,0.875408855,0,0,0.124591145,41,0,5,10,25,12,57,32,4,0,16,27,6,5,0,27,13,19,27,7,0,12,1,0,7,0,1,0,7,0
4,DNA,DNA,nonDRNA,2.18E-07,8.84E-10,0.073629038,0.926370743,0.871683113,0,0,0.128316887,31,0,6,7,36,5,49,6,16,0,15,37,4,10,0,42,19,23,28,23,0,34,9,0,4,0,9,0,4,0
5,DNA,DNA,nonDRNA,2.24E-05,3.07E-07,0.384678942,0.615298401,0.874041691,0.125958309,0,0,62,0,4,27,22,18,30,11,25,0,14,53,7,14,0,35,43,31,25,17,0,14,18,0,14,0,18,0,14,0
6,DNA,DNA,nonDRNA,3.17E-07,4.82E-09,0.006544181,0.993455497,0.751517253,0,0,0.248482747,21,0,20,10,26,21,24,14,9,0,34,26,6,18,0,25,22,40,43,26,0,23,3,0,10,0,3,0,10,0
7,DNA,DNA,nonDRNA,6.90E-05,0.001296942,6.00E-04,0.9980339,0.749289422,0,0.125064921,0.125645657,43,0,11,30,54,30,43,18,21,0,33,43,17,26,0,51,31,38,75,34,0,47,12,0,8,0,12,0,8,0
8,DNA,DNA,nonDRNA,5.23E-07,5.77E-10,0.455315206,0.544684271,0.62656919,0,0,0.37343081,22,0,6,26,32,15,29,8,9,0,26,36,8,13,0,22,16,25,41,20,0,14,9,0,14,0,9,0,14,0
9,DNA,DNA,nonDRNA,2.84E-06,2.11E-09,0.206532015,0.793465147,1,0,0,0,62,0,1,45,50,7,25,3,20,0,34,44,7,5,0,18,22,33,20,29,0,28,4,0,9,0,4,0,9,0
10,DNA,RNA,nonDRNA,1.79E-07,1.67E-10,0.968917303,0.031082518,0.749373177,0,0,0.250626823,3,0,0,4,11,2,5,1,5,0,9,8,2,4,0,2,0,3,4,2,0,3,3,0,1,0,3,0,1,0
